院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	2％グルタルアルデヒド－兼一		兼一薬品工業		液：外用			劇	殺菌消毒剤	732	グルタラール	glutaral（JAN）	732170AQ1140						界面活性剤，ドデシルベンゼンスルホン酸ナトリウム，香料，酢酸塩，緩衝用塩，青色1号，黄色4号（タートラジン），緩衝化剤
	2％ステリキット	Sterikit	山善製薬	太平化学産業	液：外用			劇	殺菌消毒剤	732	グルタラール	glutaral（JAN）	732170AQ1167						エデト酸ナトリウム水和物，その他2成分，緩衝化剤（液体），pH調整剤，青色1号，黄色4号
	20％グルタルアルデヒド－兼一		兼一薬品工業		液：外用			劇	殺菌消毒剤	732	グルタラール	glutaral（JAN）	732170AQ2171						界面活性剤，ドデシルベンゼンスルホン酸ナトリウム，香料，酢酸塩，緩衝用塩，青色1号，黄色4号（タートラジン），緩衝化剤
	20％ステリキット	Sterikit	山善製薬	太平化学産業	液：外用			劇	殺菌消毒剤	732	グルタラール	glutaral（JAN）	732170AQ2180						エデト酸ナトリウム水和物，その他2成分，緩衝化剤（液体），pH調整剤，青色1号，黄色4号
	D－ソルビトール経口液75％「コーワ」	D－Sorbitol“kowa”	興和		液：内服	75％10mL	1.02円／mL	局処	糖類剤	799	D-ソルビトール	D-sorbitol（JP）	7990001S3054	112010302	薬価収載2012.06.01				パラベン
	D－ソルビトール原末「マルイシ」	D－Sorbitol「Maruishi」	丸石製薬		末：内服	10g	1.26円／g	局処	糖類剤	799	D-ソルビトール	D-sorbitol（JP）	7990001X1040	112011002	薬価収載2008.12.01				
	D－ソルビトール内用液65％「マルイシ」	D－Sorbitol「Maruishi」	丸石製薬		液：内服	65％10mL	1.02円／mL	局処	糖類剤	799	D-ソルビトール	D-sorbitol（JP）	7990001S2031	112009701	薬価収載2007.06.01				
	EOB・プリモビスト注シリンジ	EOB・Primovist	バイエル薬品		キット：注射	18.143％5mL1筒	14,292.00円／筒	処	線状型MRI用肝臓造影剤	729	ガドキセト酸ナトリウム	gadoxetate sodium（JAN）	7290415G1020	118221701	薬価収載2007.12.14				トロメタモール，カロキセト酸三ナトリウム，pH調整剤（2成分）
	EOB・プリモビスト注シリンジ	EOB・Primovist	バイエル薬品		キット：注射	18.143％10mL1筒	21,303.00円／筒	処	線状型MRI用肝臓造影剤	729	ガドキセト酸ナトリウム	gadoxetate sodium（JAN）	7290415G2027	118222401	薬価収載2007.12.14				トロメタモール，カロキセト酸三ナトリウム，pH調整剤（2成分）
	l－メントール「ケンエー」	l－Menthol	健栄製薬		末：内服	1g	25.10円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1052	111738706					
	l－メントール「コザカイ・M」	l－Menthol	小堺製薬	日興製薬販売	末：内服	1g	20.40円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1060	111738723，111738726，111738729					
	l－メントール「コザカイ・M」	l－Menthol	小堺製薬	吉田製薬	末：内服	1g	20.40円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1060	111738723，111738726，111738729					
	l－メントール「司生堂」	l－Menthol	司生堂製薬		末：内服	1g	16.90円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1087	111738720					
	l－メントール「日医工」	l－Menthol	日医工		末：内服	1g	22.00円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1214	111738727	薬価収載2012.06.01				
	l－メントール「ホエイ」		マイラン製薬	ファイザー	末：内服	1g	28.40円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1117	111738703，111738728					
	【削除品】l－メントール「ヤマゼン」	l－Menthol“Yamazen”	山善製薬		末：内服	1g	22.60円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1150		薬価削除2021.03.31				
	l－メントール「ヨシダ」【経過措置】	l－Menthol	吉田製薬	中北薬品	末：内服	1g	22.60円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1192	111738707，111738722	薬価削除予定2022.03.31				
	l－メントール＜ハチ＞		東洋製薬化成	小野薬品工業	末：内服	1g	16.90円／g	局	矯味矯臭・消炎剤，胃蠕動運動抑制剤	714	l-メントール	l-menthol（JP）	7149004X1095	111738702					
	LH－RH注0.1mg「タナベ」	LH－RH	ニプロESファーマ		注射液：注射	0.1mg1管	3,719.00円／管	処	LH-RH	722	ゴナドレリン酢酸塩	gonadorelin acetate（JP）	7223400A1037	111941101，111941102	薬価収載2006.06.09				氷酢酸，酢酸ナトリウム水和物，D-ソルビトール
	T＆Tオルファクトメーター【本文未収載】	Olfactometer	第一薬品産業		その他：その他					722	イソ吉草酸　スカトール　メチルシクロペンテノロン　β－フェニルエチルアルコール　γ－ウンデカラクトン		722970BT1027						溶剤，プロピレングリコール，流動パラフィン
	TRH注0.5mg「タナベ」	TRH	ニプロESファーマ		注射液：注射	0.5mg1管	3,831.00円／管	処	TSH・プロラクチン分泌，視床下部ホルモン	722	プロチレリン	protirelin（JP）	7223402A1036	111955801，111955802	薬価収載2006.06.09				リン酸二水素カリウム，塩化ナトリウム
	アグサール	Agsal	アグサジャパン		液：外用				殺菌消毒剤	732	ベンゼトニウム塩化物	benzethonium chloride（JP）	732480BQ1021						
	アセサイド6％消毒液	Acecide	サラヤ		液：外用			劇	化学的滅菌・殺菌消毒剤	732	過酢酸	peracetic acid	732170CQ1026						
	アセサイドMA6％消毒液		サラヤ	ジーシー	液：外用			劇	化学的滅菌・殺菌消毒剤	732	過酢酸	peracetic acid	732170CQ1042						
	アデノシン負荷用静注60mgシリンジ「FRI」	Adenosine FRI	富士フイルム富山化学		キット：注射	60mg20mL1筒	5,822.00円／筒	後処	心臓疾患診断補助剤	799	アデノシン	adenosine（JAN）	7990402G1021	123647701	薬価収載2015.12.11				塩化ナトリウム
	アデノスキャン注60mg	Adenoscan	第一三共		注射液：注射	60mg20mL1瓶	9,356.00円／瓶	処	心臓疾患診断補助剤	799	アデノシン	adenosine（JAN）	7990402A1029	116658301，116658302	薬価収載2005.06.03				塩化ナトリウム
	アラグリオ顆粒剤分包1.5g	Alaglio	SBIファーマ	日本化薬	顆粒：内服	1.5g1包	76,190.50円／包	処	光線力学診断用剤	729	アミノレブリン酸塩酸塩	aminolevulinic acid hydrochloride（JAN）	7290007D1027	125727401	薬価収載2017.11.22				
	アラビアゴム	Acacia	司生堂		その他（外用原体）：外用	10g	2.64円／g	局	乳化・賦形剤	711	アラビアゴム末	powdered acacia（JP）	7119700X1052	114598402					
	アラビアゴム末	Acacia	金田直隆商店		その他（外用原体）：外用	10g	3.98円／g	局	乳化・賦形剤	711	アラビアゴム末	powdered acacia（JP）	7119700L1077	111691511					
	アラビアゴム末	Acacia	小堺製薬		その他（外用原体）：外用	10g	3.98円／g	局	乳化・賦形剤	711	アラビアゴム末	powdered acacia（JP）	7119700L1085	111691516					
	アラビアゴム末		鈴粉末薬品		その他（外用原体）：外用	10g	3.98円／g	局	乳化・賦形剤	711	アラビアゴム末	powdered acacia（JP）	7119700L1107	111691502，111691518					
	【削除品】アラビアゴム末	Acacia	山善製薬		その他（外用原体）：外用	10g	3.98円／g	局	乳化・賦形剤	715	アラビアゴム末	powdered acacia（JP）	7119700L1158		薬価削除2021.03.31				
	アラビアゴム末	Acacia	司生堂		その他（外用原体）：外用	10g	3.98円／g	局	乳化・賦形剤	711	アラビアゴム末	powdered acacia（JP）	7119700L1174	111691515					
	アラベル内用剤1.5g	Alabel	ノーベルファーマ		末：内服	1.5g1瓶	92,051.50円／瓶	処	光線力学診断用剤	729	アミノレブリン酸塩酸塩	aminolevulinic acid hydrochloride（JAN）	7290007X1031	122421401	薬価収載2013.08.27				
	亜硫酸水素ナトリウム【本文未収載】	Sodium bisulfate	司生堂		末：内服	10g	1.03円／g	局		711	亜硫酸水素ナトリウム		7119001X1025	116010901					
	アルギニン点滴静注30g「AY」		エイワイファーマ	陽進堂	注射液：注射	10％300mL1袋	2,017.00円／袋	処	尿素サイクル異常症薬・下垂体機能検査負荷剤	722	L-アルギニン塩酸塩	L-arginine hydrochloride（JP）	7223404A2031	119210002	薬価収載2013.07.01				
	アレルゲンスクラッチエキス「トリイ」アーモンド		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アカマツ花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アキノキリン草花粉		鳥居薬品		注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
	アレルゲンスクラッチエキス「トリイ」アサ布		鳥居薬品	鳥居薬品	注射液：注射	1mL1瓶	8,114.00円／瓶	処	アレルギー性疾患の診断・特異的減感作療法剤	729	アレルゲンエキス（診断用・治療用）	allergen extract（diagnostic，therapeutic）	7290401A1026	180165101，180166801，180167501，180168201，180169901，180170501，180172901，180175001	薬価収載1965.12.01				濃グリセリン，塩化ナトリウム
