診療年月：H30年04月～H31年03月　内服薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
type_code,type_name,code,name,measure,shusai_code,price,generic,total,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
112,催眠鎮静剤，抗不安剤,611170508,ソラナックス０．４ｍｇ錠,錠,1124023F1037,7.9,0,125760058.5,-,-,18690,117727.25,303150.5,704573.5,1618381.25,2810028.75,4320427,5183593.75,5131927.75,4245471.97,3164186.5,3273983,3071988.2,2888682.9,2419080.6,1396419.3,458446.5,59117,5120,-,-,28947.75,199906.65,622070.65,1374447.75,2769376.75,4528902.6,6791336.275,8244955.75,7625594.975,6517699.25,5795244.75,7414027.7,8279796.39,8780888,7889388.65,5218485.875,2040947.49,404091.75,42171.5
112,催眠鎮静剤，抗不安剤,610443047,マイスリー錠５ｍｇ,錠,1129009F1025,37,0,119739951.2,-,2292.5,25554,85940.5,201968,389272.25,666392.5,939621.75,1328726.5,1742680.75,1921003.5,2043104,2025257.25,2993483.406,4132003.9,5648082.4,5103515,3198803.5,1124398,163778.5,14215,-,-,24062.32,138813.5,326653.2,673344.15,1183487.75,1783471.25,2554377.9,3209039.25,3436920,3966542.5,4559613.35,7645468.89,11206720.29,15524183.75,14746062.6,10053830.75,4030957.65,835097.75,90048
112,催眠鎮静剤，抗不安剤,620049101,ロラゼパム錠０．５ｍｇ「サワイ」,錠,1124022F1083,5,1,108399230,-,3490.55,38073.5,326236,1075030.1,2065881.1,3023828.875,4030497.87,5198286.5,5795854.5,4813487.6,3764772,2572687.75,2380041.25,1965881.75,1674652,1156818.75,673520.25,237981.5,30660.5,-,-,1324,48982.75,622966.75,1950861.95,3258334.25,4313946,5338880.2,6736442.3,7175170.45,5904613.05,4947776.05,4347462.5,5148920.25,5053154.5,4705647.2,4009357.25,2629338.25,1096191.18,250651.25,30848
112,催眠鎮静剤，抗不安剤,620049901,アルプラゾラム錠０．４ｍｇ「サワイ」,錠,1124023F1118,5.6,1,96428682.16,-,1173,22914.25,171969.5,600592.25,1334099.4,2163924.25,3116311.25,4392946.3,5045170.75,4541979,3814824,2781365,2714567.5,2396181.25,1966676.25,1562013.917,898768.18,268954.5,42300,1940,-,1198.5,30171.75,344266.25,1259681,2151465.15,3074023.25,4209613.75,5424210.9,6156921.8,5129890.25,4346015.75,3802638.45,4674736.25,4844769.99,4435076.25,4070356.995,2926798.75,1321895.576,343422.5,42858.5
112,催眠鎮静剤，抗不安剤,610444126,フルニトラゼパム錠１ｍｇ「アメル」,錠,1124008F1067,5.6,1,76583014.78,-,2092.2,16403,75619.25,340672.25,877995,1604430.55,2302057.5,3463811.54,4229733.825,4025764.75,3484597.45,2812048.5,3097296.71,3004920.6,2758868.75,2063821.75,1150321.55,413659.25,68502.4,4632,-,-,13001.25,131319.75,651274.7,1322344,1875711.85,2400971.9,3260249.75,3823793.79,3445824.9,3155199.75,2877453.4,3545141.35,3649849.45,3658870.15,3125872.61,2333226.4,1150303.35,323765.5,40332
112,催眠鎮静剤，抗不安剤,611120055,ハルシオン０．２５ｍｇ錠,錠,1124007F2026,13,0,74353969.37,-,-,2453,26227.5,104223,313220.3,624138,995267.65,1575159.5,2228902.25,2371947.2,2378030.5,2158964,2968492.5,3680943.4,4016524,3569117.5,2125834.5,740485.75,97705.5,7301,-,-,3143.5,37662.5,221811.5,551109.75,931582.75,1330127,1990116,2557199.25,2491462.5,2393365.75,2332749.25,3664507.88,4935477.7,6610071.5,6716036.985,4971523.75,2114857.25,470707,45433
112,催眠鎮静剤，抗不安剤,622148801,ルネスタ錠１ｍｇ,錠,1129010F1028,48.8,0,73176991.04,-,2308,21171.5,112636,310048.25,581446.5,823947,1046508.25,1454087.5,1713533.25,1714467.66,1612444.75,1477993.5,2136982.5,2812705.5,3736722.25,3594463.575,2636369,1116840.13,177427.5,16540.5,-,1166,26790.5,216727,544229,925314.25,1144885.625,1388162.75,1754404.25,2016705.75,1910281.5,1956728.5,2052966.25,3190220.5,4509654,6393968.75,7252772.65,6356134.9,3401574,924182.25,111465.5
112,催眠鎮静剤，抗不安剤,610443048,マイスリー錠１０ｍｇ,錠,1129009F2021,59.2,0,72197602.05,-,-,4219.8,26776,138204.5,345434.5,771579.25,1046934.25,1377657,1711759,1870256,1808233,1773556.5,2464472.8,3140180.5,3875737.5,3196131.5,1688669.5,506580.5,58935,4037,-,-,3712.3,43354.6,223987,703175.6,1161626.5,1732563.4,2442239,2713014.25,2604595.5,2750949,2884869.5,4331939.05,5853393.25,7324794.95,6262442,3794685.5,1294360.25,239526.5,22923
112,催眠鎮静剤，抗不安剤,610463223,レンドルミンＤ錠０．２５ｍｇ,錠,1124009F2025,22.5,0,69808110.39,-,1092,12711,33531,75154.75,146669.5,258642,428234.75,722761,980941.75,1160404.5,1281123.75,1489238,2389925.5,3381095.9,4748312,4355594.25,2685209.95,920357.25,126510.75,8114.5,-,-,8993,54841,111616.75,243255,415331.25,695155.25,1085831.23,1439225,1546920.76,1720056.75,2087621.75,3686190,5641572.5,8254101.6,8328820.2,6072935.5,2578907,562118.5,68314.5
