院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	2mgクロダミン注	Chlodamin	日医工		注射液：注射	0.2％1mL1管	82.00円／管	局処	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419401A1028	109414502					ブドウ糖
	5－FU錠50協和	5－FU Kyowa	協和発酵キリン		錠：内服	50mg1錠	146.80円／錠	劇処	抗悪性腫瘍代謝拮抗剤	422	フルオロウラシル	fluorouracil（JP）	4223003F1031	109093201		KH006	白		カルナウバロウ，クロスカルメロースナトリウム，軽質無水ケイ酸，酸化チタン，ステアリン酸マグネシウム，ヒドロキシプロピルセルロース，ヒプロメロース（置換度タイプ：2910），マクロゴール6000，D-マンニトール
	5－FU錠100協和	5－FU Kyowa	協和発酵キリン		錠：内服	100mg1錠	266.10円／錠	劇処	抗悪性腫瘍代謝拮抗剤	422	フルオロウラシル	fluorouracil（JP）	4223003F2038	109095601		KH007	白		カルナウバロウ，クロスカルメロースナトリウム，軽質無水ケイ酸，酸化チタン，ステアリン酸マグネシウム，ヒドロキシプロピルセルロース，ヒプロメロース（置換度タイプ：2910），マクロゴール6000，D-マンニトール
	5－FU注250mg	5－FU	協和発酵キリン		注射液：注射	250mg1瓶	313.00円／瓶	劇処	抗悪性腫瘍代謝拮抗剤	422	フルオロウラシル	fluorouracil（JP）	4223401A4029	122291301	薬価収載2013.06.21				トロメタモール
	5－FU注1000mg	5－FU	協和発酵キリン		注射液：注射	1,000mg1瓶	1,166.00円／瓶	劇処	抗悪性腫瘍代謝拮抗剤	422	フルオロウラシル	fluorouracil（JP）	4223401A3022	120479701	薬価収載2011.06.24				トロメタモール
	5－FU軟膏5％協和	5－FU Kyowa	協和発酵キリン		軟膏・硬膏：外用	5％1g	331.50円／g	劇処	抗悪性腫瘍代謝拮抗剤	422	フルオロウラシル	fluorouracil（JP）	4223701M1047	109134201	薬価収載2007.12.21	KH001	白		パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，モノステアリン酸ポリオキシエチレンソルビタン（20E.O.）
	5mgクロダミン注	Chlodamin	日医工		注射液：注射	0.5％1mL1管	82.00円／管	局処	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419401A2032	109415206					ブドウ糖
	d－クロルフェニラミンマレイン酸塩シロップ0.04％「ツルハラ」	d－Chlorpheniramine Maleate「TSURUHARA」	鶴原製薬		シロップ：内服	0.04％10mL	1.05円／mL	後	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419002Q1133	113312701	薬価収載2015.06.19				安息香酸ナトリウム，香料，黄色5号，白糖
	d－クロルフェニラミンマレイン酸塩シロップ0.04％「トーワ」	d－Chlorpheniramine Maleate“TOWA”	東和薬品		シロップ：内服	0.04％10mL	1.05円／mL	後	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419002Q1125	109362901	薬価収載2013.12.13				精製白糖，D-ソルビトール液，パラオキシ安息香酸メチル，パラオキシ安息香酸プロピル，香料，pH調整剤，塩酸，水酸化Na
	EEエスワン配合錠T20	EES－1	エルメッドエーザイ		錠：内服	20mg1錠（テガフール相当量）	251.80円／錠	後劇処	抗悪性腫瘍剤	422	テガフール・ギメラシル・オテラシルカリウム	tegafur・gimeracil・oteracil potassium	4229101F3029	123971301	薬価収載2014.12.12	EES1／T20 EES1T20	白		酸化チタン，ステアリン酸マグネシウム，乳糖水和物，ヒドロキシプロピルセルロース，ヒプロメロース，プロピレングリコール
