院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	25mgプロトゲン錠	Protogen	田辺三菱製薬		錠：内服			処	皮膚疾患，ハンセン病治療剤	623	ジアフェニルスルホン	diaphenylsulfone（JAN）(dapsone（INN）)	623100AF1025						乳糖水和物，トウモロコシデンプン，タルク，ステアリン酸マグネシウム
	COVID－19ワクチンモデルナ筋注	COVID－19 Vaccine Moderna	武田薬品工業		懸濁注射液：注射			劇処承	ウイルスワクチン類	631	コロナウイルス修飾ウリジンRNAワクチン（SARS-CoV-2）	coronavirus modified uridine RNA vaccine（SARS-CoV-2）（生）	631341EA1020						ヘプタデカン-9-イル8-（（2-ヒドロキシエチル）（6-オキソ-6-（ウンデシルオキシ）ヘキシル）アミノ）オクタン酸エステル，コレステロール，1,2-ジステアロイル-sn-グリセロ-3-ホスホコリン，1,2-ジミリストイル-rac-グリセロ-3-メチルポリオキシエチレン（PEG2000-DMG），トロメタモール，トロメタモール塩酸塩，氷酢酸，酢酸ナトリウム水和物，精製白糖
	DTビック	DTbik	阪大微生物病研究会	田辺三菱製薬	注射液：注射			局生劇処	ワクチン・トキソイド混合製剤	636	沈降ジフテリア破傷風混合トキソイド	adsorbed diphtheria-tetanus combined toxoid（JP）	636140AA5020						リン酸水素ナトリウム水和物，リン酸二水素ナトリウム，塩化ナトリウム，塩酸，水酸化ナトリウム，塩化アルミニウム（III）六水和物（アルミニウム），ホルマリン（ホルムアルデヒド）
	L－ケフラール顆粒	L－Kefral	共和薬品工業		複粒：内服	375mg1包	105.40円／包	局処	セフェム系抗生物質	613	セファクロル	cefaclor（JP）	6132005E1020	110885901，110885902					D-マンニトール，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，メチルセルロース，β-カロテン，流動パラフィン，アラビアゴム，プロピレングリコール，リン酸，アスコルビン酸，ヒプロメロース酢酸エステルコハク酸エステル，タルク，クエン酸トリエチル，ソルビタンセスキオレイン酸エステル，含水二酸化ケイ素
	L－ケフレックス顆粒	L－Keflex	共和薬品工業		複粒：内服	500mg1g	80.90円／g	局処	セファロスポリン系抗生物質	613	セファレキシン	cefalexin（JP）	6132002E2030	110825501，110825502					白糖，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，ヒドロキシプロピルセルロース，D-マンニトール，メチルセルロース，タルク，ヒプロメロース酢酸エステルコハク酸エステル，クエン酸トリエチル，サラシミツロウ，含水二酸化ケイ素，黄色5号
	L－ケフレックス小児用顆粒	L－Keflex	共和薬品工業		複粒：内服	200mg1g	71.40円／g	局処	セファロスポリン系抗生物質	613	セファレキシン	cefalexin（JP）	6132002E1034	110822401，110822402					白糖，トウモロコシデンプン，低置換度ヒドロキシプロピルセルロース，D-マンニトール，メチルセルロース，タルク，ヒプロメロース酢酸エステルコハク酸エステル，クエン酸トリエチル，サラシミツロウ，含水二酸化ケイ素，香料，黄色5号
	PPSB－HT静注用200単位「ニチヤク」	PPSB－HT「NICHIYAKU」	日本製薬	武田薬品工業	静注用：注射	200国際単位1瓶（溶解液付）	14,236.00円／瓶	特処	血友病治療用血漿分画剤	634	乾燥人血液凝固第IX因子	freeze-dried human blood-coagulation factor IX	6343409X5030	111543701	薬価収載2009.09.01				ヘパリンナトリウム，クエン酸ナトリウム水和物，塩化ナトリウム
	PPSB－HT静注用500単位「ニチヤク」	PPSB－HT「NICHIYAKU」	日本製薬	武田薬品工業	静注用：注射	500国際単位1瓶（溶解液付）	32,411.00円／瓶	特処	血友病治療用血漿分画剤	634	乾燥人血液凝固第IX因子	freeze-dried human blood-coagulation factor IX	6343409X7059	111545101	薬価収載2009.09.01				ヘパリンナトリウム，クエン酸ナトリウム水和物，塩化ナトリウム
	アイセントレス錠400mg	Isentress	MSD		錠：内服	400mg1錠	1,582.40円／錠	劇処	HIVインテグラーゼ阻害剤	625	ラルテグラビルカリウム	raltegravir potassium（JAN）	6250032F1026	118317701	薬価収載2008.06.27	〓227 〓227	薄赤		結晶セルロース，乳糖水和物，無水リン酸水素カルシウム，ヒプロメロース，ポリオキシエチレン（196）ポリオキシプロピレン（67）グリコール，フマル酸ステアリルナトリウム，ステアリン酸マグネシウム，ポリビニルアルコール（部分けん化物），マクロゴール4000，タルク，酸化チタン，三二酸化鉄，黒酸化鉄
	アイセントレス錠600mg	Isentress	MSD		錠：内服	600mg1錠	1,582.40円／錠	劇処	HIVインテグラーゼ阻害剤	625	ラルテグラビルカリウム	raltegravir potassium（JAN）	6250032F2022	126260501	薬価収載2018.05.22	〓242	薄黄		ヒプロメロース，クロスカルメロースナトリウム，結晶セルロース，ステアリン酸マグネシウム，乳糖水和物，酸化チタン，トリアセチン，黄色三二酸化鉄，黒酸化鉄，カルナウバロウ
