院内採用状況	製品名（■/◇：一般用薬/要指導医薬品）	製品名（英名）	製造販売会社	発売・販売会社	剤形	規格単位	薬価	規制区分	薬効	薬効分類	一般名	一般名（英名）	YJコード	HOTコード	製品備考	識別コード	色	割線の有無	添加物
	2mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	2mg1錠	6.00円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F2135	100436601		〓110／2	白～黄みの白	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物
	5mcgチロナミン錠	Thyronamin	武田薬品工業		錠：内服	5μg1錠	9.80円／錠	局処	甲状腺ホルモン	243	リオチロニンナトリウム	liothyronine sodium（JP）	2431003F1035	105156801		〓228 5 〓228	白		D-マンニトール，プルラン，低置換度ヒドロキシプロピルセルロース，タルク，ステアリン酸マグネシウム，トウモロコシデンプン
	5mgアリナミンF糖衣錠	Alinamin－F	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	5.90円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F1024	106824501		〓306	白		香料，トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，精製セラック，ヒマシ油，モノステアリン酸グリセリン，カルナウバロウ，サラシミツロウ，精製白糖
	5mgコントール錠	Contol	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	9.80円／錠	局向処	マイナートランキライザー	112	クロルジアゼポキシド	chlordiazepoxide（JP）	1124028F1030	100533201		〓107／5	白～帯黄白		乳糖水和物，ゼラチン，アラビアゴム末，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，カルナウバロウ，サラシミツロウ，精製白糖
	5mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	5mg1錠	9.40円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F4049	100445801		〓111／5	淡黄～淡橙黄	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物，リボフラビン
	10％食塩注シリンジ「タイヨー」		武田テバファーマ	武田薬品工業	キット：注射	10％20mL1筒	135.00円／筒	後局処	無機電解質物質	331	塩化ナトリウム	sodium chloride（JP）	3311403G1030	116724501，116724502	薬価収載2005.07.08				
	10mgコントール錠	Contol	武田テバ薬品	武田薬品工業	錠：内服	10mg1錠	9.80円／錠	局向処	マイナートランキライザー	112	クロルジアゼポキシド	chlordiazepoxide（JP）	1124028F2036	100534901		〓108／10	白～帯黄白		乳糖水和物，ゼラチン，アラビアゴム末，ステアリン酸マグネシウム，タルク，トウモロコシデンプン，カルナウバロウ，サラシミツロウ，精製白糖
	10mgセルシン錠	Cercine	武田テバ薬品	武田薬品工業	錠：内服	10mg1錠	14.60円／錠	局向処	マイナートランキライザー	112	ジアゼパム	diazepam（JP）	1124017F5037	100460101		〓112／10	白～黄みの白	○	トウモロコシデンプン，ステアリン酸マグネシウム，乳糖水和物
	25mcgチロナミン錠	Thyronamin	武田薬品工業		錠：内服	25μg1錠	10.10円／錠	局劇処	甲状腺ホルモン	243	リオチロニンナトリウム	liothyronine sodium（JP）	2431003F2031	105157501		〓229 25 〓229	白	○	D-マンニトール，プルラン，低置換度ヒドロキシプロピルセルロース，タルク，ステアリン酸マグネシウム，トウモロコシデンプン
	25mgアリナミンF糖衣錠	Alinamin－F	武田テバ薬品	武田薬品工業	錠：内服	25mg1錠	5.90円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F2039	106826901		〓307	黄		トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，酸化チタン，ヒマシ油，モノステアリン酸グリセリン，精製セラック，カルナウバロウ，サラシミツロウ，リボフラビン，精製白糖
	50mgアリナミンF糖衣錠	Alinamin－F	武田テバ薬品	武田薬品工業	錠：内服	50mg1錠	9.00円／錠		活性型ビタミンB1	312	フルスルチアミン	fursultiamine（JAN）	3122007F3027	106829001		〓308 50 〓308	黄		トウモロコシデンプン，アルファー化デンプン，ゼラチン，ステアリン酸マグネシウム，乳糖水和物，タルク，アラビアゴム末，酸化チタン，ヒマシ油，モノステアリン酸グリセリン，精製セラック，カルナウバロウ，サラシミツロウ，リボフラビン，精製白糖
	COVID－19ワクチンモデルナ筋注	COVID－19 Vaccine Moderna	武田薬品工業		懸濁注射液：注射			劇処承	ウイルスワクチン類	631	コロナウイルス修飾ウリジンRNAワクチン（SARS-CoV-2）	coronavirus modified uridine RNA vaccine（SARS-CoV-2）（生）	631341EA1020						ヘプタデカン-9-イル8-（（2-ヒドロキシエチル）（6-オキソ-6-（ウンデシルオキシ）ヘキシル）アミノ）オクタン酸エステル，コレステロール，1,2-ジステアロイル-sn-グリセロ-3-ホスホコリン，1,2-ジミリストイル-rac-グリセロ-3-メチルポリオキシエチレン（PEG2000-DMG），トロメタモール，トロメタモール塩酸塩，氷酢酸，酢酸ナトリウム水和物，精製白糖
	d－クロルフェニラミンマレイン酸塩錠2mg「武田テバ」	d－Chlorpheniramine Maleate“TAKEDA TEVA”	武田テバファーマ	武田薬品工業	錠：内服	2mg1錠	5.70円／錠	後	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419002F1043	117297303	薬価収載2018.12.14	t68 t068	白	○	アルファー化デンプン，ステアリン酸マグネシウム，トウモロコシデンプン，乳糖水和物，部分アルファー化デンプン
	d－クロルフェニラミンマレイン酸塩徐放錠6mg「武田テバ」	d－Chlorpheniramine Maleate“TAKEDA TEVA”	武田テバファーマ	武田薬品工業	徐放錠：内服	6mg1錠	5.70円／錠	後	抗ヒスタミン剤	441	クロルフェニラミンマレイン酸塩	chlorpheniramine maleate（JP）(chlorphenamine（INN）)	4419002G1120	109356805	薬価収載2018.12.14	144 t144［6mg］	白		カルナウバロウ，カルメロースカルシウム，クエン酸カルシウム水和物，結晶セルロース，硬化油，酢酸ビニル樹脂，酸化チタン，ステアリン酸マグネシウム，ゼラチン，タルク，乳酸カルシウム水和物，乳糖水和物，白糖，ヒプロメロースフタル酸エステル，ポビドン
	HMG筋注用75単位「あすか」	HMG	あすか製薬	武田薬品工業	筋注用：注射	75単位1管（溶解液付）	1,099.00円／管	後生処	HMG剤	241	ヒト下垂体性性腺刺激ホルモン	human menopausal gonadotrophin（JP）	2413400D3135	105130802	薬価収載2019.12.13				乳糖水和物（ウシ乳由来），pH調節剤
	HMG筋注用150単位「あすか」	HMG	あすか製薬	武田薬品工業	筋注用：注射	150単位1管（溶解液付）	1,377.00円／管	後生処	HMG剤	241	ヒト下垂体性性腺刺激ホルモン	human menopausal gonadotrophin（JP）	2413400D4115	105134602	薬価収載2019.12.13				乳糖水和物（ウシ乳由来），pH調節剤
	L－アスパラギン酸K点滴静注液10mEq「タイヨー」	L－Aspartate K	武田テバファーマ	武田薬品工業	注射液：注射	17.12％10mL1管	57.00円／管	後処	カリウム補給剤	322	L-アスパラギン酸カリウム	potassium L-aspartate（JAN）	3229401A1134	107337901，107337902	薬価収載2009.09.25				pH調節剤
	PPSB－HT静注用200単位「ニチヤク」	PPSB－HT「NICHIYAKU」	日本製薬	武田薬品工業	静注用：注射	200国際単位1瓶（溶解液付）	14,236.00円／瓶	特処	血友病治療用血漿分画剤	634	乾燥人血液凝固第IX因子	freeze-dried human blood-coagulation factor IX	6343409X5030	111543701	薬価収載2009.09.01				ヘパリンナトリウム，クエン酸ナトリウム水和物，塩化ナトリウム
