"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
611170508,ソラナックス０．４ｍｇ錠,1124023F1037,9.2 ,0,"56,667,787 "
611120055,ハルシオン０．２５ｍｇ錠,1124007F2026,14.7 ,0,"48,365,507 "
610443047,マイスリー錠５ｍｇ,1129009F1025,43.7 ,0,"46,288,637 "
610463223,レンドルミンＤ錠０．２５ｍｇ,1124009F2025,26.4 ,0,"41,006,803 "
620004625,レンドルミン錠０．２５ｍｇ,1124009F1223,26.4 ,0,"40,980,956 "
610443048,マイスリー錠１０ｍｇ,1129009F2021,69.7 ,0,"37,474,399 "
611170499,コンスタン０．４ｍｇ錠,1124023F1029,9.4 ,0,"27,590,937 "
611170005,２ｍｇセルシン錠,1124017F2135,5.9 ,0,"24,227,055 "
611170689,メイラックス錠１ｍｇ,1124029F1026,21.6 ,0,"21,806,295 "
611170470,ワイパックス錠０．５　０．５ｍｇ,1124022F1067,6.1 ,0,"20,295,395 "
611120097,ロヒプノール錠１　１ｍｇ,1124008F1032,14.2 ,0,"18,718,956 "
611170435,レキソタン錠２　２ｍｇ,1124020F2030,6.0 ,0,"17,822,725 "
611170639,グランダキシン錠５０　５０ｍｇ,1124026F1022,15.7 ,0,"17,731,095 "
610453117,ベンザリン錠５　５ｍｇ,1124003F2222,11.0 ,0,"15,999,465 "
611120111,アモバン錠７．５　７．５ｍｇ,1129007F1026,23.1 ,0,"14,982,115 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,1124022F1083,5.0 ,1,"14,422,685 "
611120081,ユーロジン２ｍｇ錠,1124001F2029,15.6 ,0,"12,168,068 "
611120098,ロヒプノール錠２　２ｍｇ,1124008F2039,20.9 ,0,"11,713,549 "
610422093,グッドミン錠０．２５ｍｇ,1124009F1037,10.7 ,1,"11,579,573 "
620038001,トリアゾラム錠０．２５ｍｇ「日医工」,1124007F2239,5.8 ,1,"10,236,841 "
620005022,セディール錠１０ｍｇ,1129008F2035,31.2 ,0,"9,041,836 "
620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,1124023F1100,5.6 ,1,"8,819,119 "
611120087,サイレース錠１ｍｇ,1124008F1024,15.1 ,0,"8,789,732 "
611170436,レキソタン錠５　５ｍｇ,1124020F4032,14.0 ,0,"8,384,171 "
611120118,エバミール錠１．０　１ｍｇ,1124010F1021,20.8 ,0,"8,212,713 "
620039001,ブロチゾラム錠０．２５ｍｇ「トーワ」,1124009F1010,8.5 ,1,"7,583,471 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,1124008F1067,5.6 ,1,"7,534,991 "
611170159,セパゾン錠１　１ｍｇ,1124014F1038,5.6 ,0,"7,395,642 "
611120114,リスミー錠２ｍｇ,1129006F2028,29.7 ,0,"7,384,092 "
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,1124009F2076,10.7 ,1,"7,093,215 "
620066201,デパケンＲ錠２００ｍｇ,1139004G2063,18.4 ,0,"64,183,233 "
620003654,リボトリール錠０．５ｍｇ,1139003F1040,9.1 ,0,"20,616,253 "
611130101,テグレトール錠２００ｍｇ,1139002F1062,12.1 ,0,"16,235,274 "
611130100,テグレトール錠１００ｍｇ,1139002F2026,7.6 ,0,"14,055,305 "
620007132,ランドセン錠０．５ｍｇ,1139003F1059,9.1 ,0,"11,945,256 "
611130087,エクセグラン錠１００ｍｇ,1139005F1023,32.2 ,0,"10,571,153 "
610453094,バレリン錠２００ｍｇ,1139004F2106,11.8 ,1,"9,541,390 "
620006033,デパケンシロップ５％,1139004Q1100,7.6 ,0,"9,264,198 "
620066101,デパケンＲ錠１００ｍｇ,1139004G1040,11.2 ,0,"9,245,221 "
620008564,ラミクタール錠２５ｍｇ,1139009F3024,102.3 ,0,"8,611,516 "
621997501,イーケプラ錠５００ｍｇ,1139010F2020,237.6 ,0,"8,100,058 "
620065701,デパケン錠２００ｍｇ,1139004F2173,14.6 ,0,"7,878,954 "
620067201,ヒダントールＦ配合錠,1139105X1035,5.8 ,0,"7,500,671 "
611130096,アレビアチン錠１００ｍｇ,1132002F2017,12.7 ,0,"7,032,542 "
620002054,セレニカＲ錠２００ｍｇ,1139004G2039,24.1 ,0,"5,070,762 "
610421006,アレビアチン散１０％,1132002B1019,11.9 ,0,"5,010,812 "
620008565,ラミクタール錠１００ｍｇ,1139009F4020,273.8 ,0,"4,504,759 "
620003156,セレニカＲ顆粒４０％,1139004D1052,39.8 ,0,"3,936,305 "
611130095,ヒダントール錠２５ｍｇ,1132002F1010,11.9 ,0,"3,532,212 "
620004028,バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,1139004G2055,12.1 ,1,"3,458,388 "
610453041,カルバマゼピン錠２００ｍｇ「アメル」,1139002F1070,7.7 ,1,"3,121,360 "
620004350,ガバペン錠２００ｍｇ,1139007F1022,40.4 ,0,"3,117,392 "
620003655,リボトリール錠１ｍｇ,1139003F2047,15.2 ,0,"2,882,117 "
620003662,レキシン錠２００ｍｇ,1139002F1097,7.7 ,1,"2,811,975 "
621997401,イーケプラ錠２５０ｍｇ,1139010F1024,145.5 ,0,"2,749,545 "
620005827,トピナ錠５０ｍｇ,1139008F1027,105.6 ,0,"2,653,229 "
621210704,バルプロ酸ナトリウムシロップ５％「日医工」,1139004Q1119,6.7 ,1,"2,602,624 "
620003578,デパケン細粒４０％,1139004C2061,24.8 ,0,"2,359,430 "
621748201,バルプロ酸Ｎａ徐放Ｂ錠２００ｍｇ「トーワ」,1139004G2071,12.1 ,1,"2,060,298 "
611130039,バレリン錠１００ｍｇ,1139004F1045,9.1 ,1,"1,926,218 "
620098801,ロキソニン錠６０ｍｇ,1149019F1560,17.5 ,0,"265,437,626 "
620004857,セレコックス錠１００ｍｇ,1149037F1020,68.7 ,0,"126,758,506 "
620002023,カロナール錠２００　２００ｍｇ,1141007F1063,8.1 ,1,"103,253,752 "
620007022,ノイロトロピン錠４単位,1149023F1036,32.4 ,0,"91,120,446 "
622081101,トラムセット配合錠,1149117F1020,70.1 ,0,"49,114,800 "
620099301,ロキソプロフェンＮａ錠６０ｍｇ「サワイ」,1149019F1587,7.8 ,1,"27,603,342 "
620100901,ロキソプロフェンナトリウム錠６０ｍｇ「日医工」,1149019F1013,5.6 ,1,"27,363,963 "
620007096,ボルタレン錠２５ｍｇ,1147002F1560,13.1 ,0,"24,895,394 "
620000033,カロナール錠３００　３００ｍｇ,1141007F2027,9.0 ,1,"22,869,837 "
610406388,ハイペン錠２００ｍｇ,1149032F2023,27.6 ,0,"21,588,806 "
610443080,ロルカム錠４ｍｇ,1149036F2021,25.8 ,0,"20,307,344 "
621558101,ＳＧ配合顆粒,1149116D1033,11.1 ,0,"20,134,656 "
620008780,ロブ錠６０ｍｇ,1149019F1544,7.8 ,1,"19,284,960 "
620007150,ロキソプロフェン錠６０ｍｇ「ＥＭＥＣ」,1149019F1480,7.8 ,1,"18,936,877 "
