"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,1119402A1030,844.0 ,1,"31,386 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"19,511 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,1115400X2015,"1,104.0 ",0,"13,906 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,1119402A1022,"1,232.0 ",0,"13,593 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,1115400X1019,889.0 ,0,"13,119 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,1119400A3026,292.0 ,0,"7,309 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,1119400A1031,718.0 ,0,"7,114 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,1119402A1073,844.0 ,1,"6,525 "
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,1119401A1036,123.0 ,0,"5,257 "
620002989,プロポフォール注１％「Ｆ」　２００ｍｇ２０ｍＬ,1119402A4021,844.0 ,1,"4,802 "
621702401,プロポフォール１％静注２０ｍＬ「マイラン」　２００ｍｇ,1119402A1090,844.0 ,1,"4,687 "
621652801,プロポフォール静注１％「ＫＡＢＩ」　２００ｍｇ２０ｍＬ,1119402A1081,844.0 ,1,"4,567 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,1119402G2021,"2,084.0 ",0,"3,961 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,1119402G1025,"1,448.0 ",0,"3,315 "
621702501,プロポフォール１％静注５０ｍＬ「マイラン」　５００ｍｇ,1119402A2126,"1,193.0 ",1,"2,586 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,1119402A2037,"1,193.0 ",1,"2,260 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,1115403D4015,469.0 ,0,"1,998 "
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,1119400A2038,"1,526.0 ",0,"1,904 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"1,046 "
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,1119402A2029,"1,830.0 ",0,-
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,1119402A3025,"1,841.0 ",1,-
621652901,プロポフォール静注１％「ＫＡＢＩ」　５００ｍｇ５０ｍＬ,1119402A2118,890.0 ,1,-
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,1119402A2100,"1,193.0 ",1,-
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,-
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,1119402A1103,844.0 ,1,-
622255301,１％ディプリバン注　２００ｍｇ２０ｍＬ,1119402A4056,"1,232.0 ",0,-
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,1119402A3084,"1,003.0 ",1,-
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,1119402A5028,"1,841.0 ",1,-
641110010,注射用チオペンタールナトリウム　５００ｍｇ,1115400X2015,"1,104.0 ",0,-
620002990,プロポフォール注１％「Ｆ」　５００ｍｇ５０ｍＬ,1119402A2053,"1,193.0 ",1,-
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,1124401A1052,133.0 ,0,"1,011,662 "
640454021,セルシン注射液５ｍｇ,1124402A1030,67.0 ,0,"618,760 "
641170026,ホリゾン注射液１０ｍｇ,1124402A2045,98.0 ,0,"586,165 "
640454022,セルシン注射液１０ｍｇ,1124402A2053,98.0 ,0,"585,934 "
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,1124401A1060,75.0 ,1,"372,881 "
620003835,ロヒプノール静注用２ｍｇ,1124400A1040,144.0 ,0,"271,975 "
620005164,サイレース静注２ｍｇ,1124400A1058,159.0 ,0,"261,507 "
620005169,ジアゼパム注射液１０ｍｇ「タイヨー」,1124402A2061,58.0 ,1,"143,214 "
620008232,ミダゾラム注射液１０ｍｇ「タイヨー」　２ｍＬ,1124401A1079,75.0 ,1,"111,690 "
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,1125402A1054,75.0 ,0,"34,404 "
622103701,ジアゼパム注射液５ｍｇ「タイヨー」,1124402A1049,56.0 ,1,"24,603 "
620004156,注射用アイオナール・ナトリウム（０．２）　２００ｍｇ,1125401D2028,243.0 ,0,-
620001913,プレセデックス静注液２００μｇ「マルイシ」　２ｍＬ,1129400A1038,"5,192.0 ",0,-
620003264,プレセデックス静注液２００μｇ「ホスピーラ」　２ｍＬ,1129400A1046,"5,192.0 ",0,-
620000188,アレビアチン注２５０ｍｇ　５％５ｍＬ,1132400A1033,132.0 ,0,"10,612 "
622093701,ホストイン静注７５０ｍｇ　１０ｍＬ,1132401A1020,"6,361.0 ",0,"5,047 "
620008567,ノーベルバール静注用２５０ｍｇ,1139400F1023,"2,119.0 ",0,"1,115 "
620004717,ノイロトロピン注射液３．６単位　３ｍＬ,1149601A2062,167.0 ,0,"19,993,229 "
620001936,ネオビタカイン注シリンジ５ｍＬ,1149503G1027,353.0 ,0,"4,959,096 "
620003776,ネオビタカイン注５ｍＬ,1149503A1083,226.0 ,0,"1,870,873 "
620004651,カピステン筋注５０ｍｇ,1149402A1056,128.0 ,0,"1,294,686 "
620006217,カシロン静注１０ｍＬ,1149501A1122,61.0 ,1,"1,251,194 "
620005153,カシワドール静注　２０ｍＬ,1149500A1110,77.0 ,0,"1,083,735 "
620003775,ネオビタカイン注２ｍＬ,1149502A1089,183.0 ,0,"976,964 "
620111101,ザルソロイチン静注２０ｍＬ,1149500A1128,61.0 ,1,"900,529 "
640412023,ジブカルソー注　５ｍＬ,1149503A1032,75.0 ,1,"862,794 "
620004716,ノイロトロピン注射液１．２単位　１ｍＬ,1149601A1031,87.0 ,0,"699,629 "
620006232,ザルソロン静注５００ｍｇ　５％１０ｍＬ,1143400A2114,58.0 ,1,"682,124 "
620001935,ネオビタカイン注シリンジ２ｍＬ,1149502G1022,314.0 ,0,"656,994 "
620008941,メジェイド筋注５０ｍｇ,1149402A1072,56.0 ,1,"579,192 "
620008930,ヘパルス静注０．５ｇ　５％１０ｍＬ,1143400A2130,58.0 ,1,"539,424 "
620004696,タイオゼット注５ｍＬ,1149503A1016,65.0 ,1,"405,055 "
640412022,ジブカルソー注　２ｍＬ,1149502A1038,59.0 ,1,"382,201 "
641140119,ロイサールＳ注射液　２０ｍＬ,1149500A1080,61.0 ,1,"338,846 "
621217201,ザルソロイチン静注１０ｍＬ,1149501A1130,61.0 ,1,"280,564 "
620004727,ハフトロン静注０．５ｇ　５％１０ｍＬ,1143400A2092,58.0 ,1,"265,238 "
641140051,ソセゴン注射液１５ｍｇ,1149401A1027,68.0 ,0,"243,795 "
641140136,メチロン注２５％　１ｍＬ,1144400A2014,92.0 ,0,"234,563 "
620005168,サルソニン静注０．５ｇ　５％１０ｍＬ,1143400A2106,58.0 ,1,"195,005 "
620008892,ネオザルベリン静注０．５ｇ　５％１０ｍＬ,1143400A2122,58.0 ,1,"189,091 "
620004649,カシミタール静注　２０ｍＬ,1149500A1101,60.0 ,0,"186,630 "
640412018,ザルチロン注　１０ｍＬ,1149501A1092,61.0 ,1,"176,588 "
640407152,サイリジン注　１０ｍＬ,1149501A1068,61.0 ,1,"173,458 "
640433062,ビーセルファ注　５ｍＬ,1149503A1075,75.0 ,1,"163,893 "
620004695,タイオゼット注２ｍＬ,1149502A1097,59.0 ,1,"159,231 "
641140070,ペンタジン注射液１５　１５ｍｇ,1149401A1051,68.0 ,0,"152,148 "
620007313,ジカベリン注５ｍＬ,1149503A1105,75.0 ,1,"143,401 "
640463132,メヂバール注５０ｍｇ　０．５％１０ｍＬ,1153400A1033,374.0 ,0,-
620005147,アキネトン注射液５ｍｇ　０．５％１ｍＬ,1162400A1059,58.0 ,0,"52,908 "
620000243,タスモリン注５ｍｇ　０．５％１ｍＬ,1162400A1040,56.0 ,1,"28,606 "
620008889,ドパストン静注２５ｍｇ　０．２５％１０ｍＬ,1164400A1045,153.0 ,0,"13,273 "
622149301,アポカイン皮下注３０ｍｇ　３ｍＬ,1169400G1028,"7,766.0 ",0,"4,577 "
620008890,ドパストン静注５０ｍｇ　０．２５％２０ｍＬ,1164400A2041,282.0 ,0,"4,176 "
641170001,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）　２．５％１ｍＬ,1179401A1026,56.0 ,0,"473,472 "
621905401,リスパダール　コンスタ筋注用５０ｍｇ　（懸濁用液付）,1179407G3029,"38,780.0 ",0,"108,230 "
640463106,フルデカシン筋注２５ｍｇ　１ｍＬ,1172405A1031,"1,564.0 ",0,"102,606 "
641170047,ハロマンス注５０ｍｇ　１ｍＬ,1179406A1037,"1,728.0 ",0,"88,528 "
641170048,ハロマンス注１００ｍｇ　１ｍＬ,1179406A2033,"2,766.0 ",0,"76,366 "
620000242,セレネース注５ｍｇ　０．５％１ｍＬ,1179404A1070,92.0 ,0,"61,148 "
620007173,アナフラニール点滴静注液２５ｍｇ,1174401A1038,230.0 ,0,"54,950 "
621905201,リスパダール　コンスタ筋注用２５ｍｇ　（懸濁用液付）,1179407G1026,"24,192.0 ",0,"51,048 "
641170002,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）　５％１ｍＬ,1179401A2022,62.0 ,0,"47,484 "
621905301,リスパダール　コンスタ筋注用３７．５ｍｇ　（懸濁用液付）,1179407G2022,"31,883.0 ",0,"36,569 "
620008951,リントン注５ｍｇ　０．５％１ｍＬ,1179404A1089,56.0 ,1,"31,494 "
641170046,ネオペリドール注１００　１００ｍｇ１ｍＬ,1179406A2025,"2,526.0 ",0,"25,006 "
641170045,ネオペリドール注５０　５０ｍｇ１ｍＬ,1179406A1029,"1,609.0 ",0,"24,611 "
622278601,ゼプリオン水懸筋注１００ｍｇシリンジ,1179409G4024,"48,716.0 ",0,"17,387 "
620004718,ノバミン筋注５ｍｇ　０．５％１ｍＬ,1172404A1037,61.0 ,0,"15,889 "
620004712,ドグマチール筋注１００ｍｇ,1179403A1050,141.0 ,0,"12,449 "
622278701,ゼプリオン水懸筋注１５０ｍｇシリンジ,1179409G5020,"64,202.0 ",0,"9,552 "
622278501,ゼプリオン水懸筋注７５ｍｇシリンジ,1179409G3028,"40,051.0 ",0,"9,260 "
622278401,ゼプリオン水懸筋注５０ｍｇシリンジ,1179409G2021,"30,391.0 ",0,"5,999 "
622210701,ジプレキサ筋注用１０ｍｇ,1179408E1020,"2,126.0 ",0,"5,564 "
640463138,レボトミン筋注２５ｍｇ　２．５％１ｍＬ,1172403A1040,56.0 ,0,"4,217 "
640463104,ピーゼットシー筋注２ｍｇ　０．２％１ｍＬ,1172402A1046,62.0 ,0,"3,756 "
641170052,コントミン筋注１０ｍｇ　０．５％２ｍＬ,1171400A1015,92.0 ,0,"3,549 "
620004746,ヒルナミン筋注２５ｍｇ　２．５％１ｍＬ,1172403A1059,56.0 ,0,"3,198 "
641170056,コントミン筋注２５ｍｇ　０．５％５ｍＬ,1171400A2011,92.0 ,0,"2,484 "
622278301,ゼプリオン水懸筋注２５ｍｇシリンジ,1179409G1025,"18,958.0 ",0,"1,683 "
620007398,トロペロン注４ｍｇ　２ｍＬ,1179405A1032,206.0 ,0,"1,478 "
641170058,コントミン筋注５０ｍｇ　１％５ｍＬ,1171400A3018,94.0 ,0,-
641170032,クロルプロマジン塩酸塩注射液　０．５％５ｍＬ,1171400A2011,92.0 ,0,-
641170031,クロルプロマジン塩酸塩注射液　０．５％２ｍＬ,1171400A1015,92.0 ,0,-
621974901,ラジカット点滴静注バッグ３０ｍｇ　１００ｍＬ,1190401G1026,"5,893.0 ",0,"6,666 "
640451014,ラジカット注３０ｍｇ　２０ｍＬ,1190401A1023,"5,893.0 ",0,"2,167 "
622072501,エダラボン点滴静注液バッグ３０ｍｇ「日医工」　１００ｍＬ,1190401G1115,"2,589.0 ",1,"1,235 "
622079601,エダラボン点滴静注液３０ｍｇバッグ「ＮＰ」　１００ｍＬ,1190401G1069,"2,589.0 ",1,"1,043 "
622339501,タイサブリ点滴静注３００ｍｇ　１５ｍＬ,1190402A1028,"228,164.0 ",0,-
622063801,エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」　１００ｍＬ,1190401G1131,"3,542.0 ",1,-
622044801,エダラボン点滴静注液３０ｍｇバッグ「明治」　１００ｍＬ,1190401G1093,"2,589.0 ",1,-
622043601,エダラボン点滴静注３０ｍｇバッグ「アイロム」　１００ｍＬ,1190401G1042,"2,589.0 ",1,-
622147101,エダラボン点滴静注バッグ３０ｍｇ「ファイザー」　１００ｍＬ,1190401G1190,"3,542.0 ",1,-
622067501,エダラボン点滴静注３０ｍｇバッグ「ＤＳＥＰ」　１００ｍＬ,1190401G1034,"3,542.0 ",1,-
622074601,エダラボン点滴静注バッグ３０ｍｇ「杏林」　１００ｍＬ,1190401G1166,"2,589.0 ",1,-
622075301,エダラボン点滴静注液３０ｍｇバッグ「ケミファ」　１００ｍＬ,1190401G1077,"3,542.0 ",1,-
