"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,1119401A1036,123.0 ,0,-
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,1119400A1031,718.0 ,0,-
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,1119400A3026,292.0 ,0,-
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,1119400A2038,"1,526.0 ",0,-
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,1124401A1052,133.0 ,0,-
620003835,ロヒプノール静注用２ｍｇ,1124400A1040,144.0 ,0,-
640454022,セルシン注射液１０ｍｇ,1124402A2053,98.0 ,0,-
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,1125402A1054,75.0 ,0,-
620005164,サイレース静注２ｍｇ,1124400A1058,159.0 ,0,-
640454021,セルシン注射液５ｍｇ,1124402A1030,67.0 ,0,-
641170026,ホリゾン注射液１０ｍｇ,1124402A2045,98.0 ,0,-
622093701,ホストイン静注７５０ｍｇ　１０ｍＬ,1132401A1020,"6,361.0 ",0,-
620000188,アレビアチン注２５０ｍｇ　５％５ｍＬ,1132400A1033,132.0 ,0,-
620003245,レペタン注０．２ｍｇ,1149403A1050,145.0 ,0,"13,441 "
620003246,レペタン注０．３ｍｇ,1149403A2057,213.0 ,0,"9,030 "
620006355,ロピオン静注５０ｍｇ　５ｍＬ,1149407A1040,239.0 ,0,"4,450 "
622267401,アセリオ静注液１０００ｍｇ　１，０００ｍｇ１００ｍＬ,1141400A1024,332.0 ,0,-
620004717,ノイロトロピン注射液３．６単位　３ｍＬ,1149601A2062,167.0 ,0,-
641140136,メチロン注２５％　１ｍＬ,1144400A2014,92.0 ,0,-
641140070,ペンタジン注射液１５　１５ｍｇ,1149401A1051,68.0 ,0,-
641140146,メチロン注２５％　２ｍＬ,1144400A3126,95.0 ,0,-
620006217,カシロン静注１０ｍＬ,1149501A1122,61.0 ,1,-
641140051,ソセゴン注射液１５ｍｇ,1149401A1027,68.0 ,0,-
620004651,カピステン筋注５０ｍｇ,1149402A1056,128.0 ,0,-
622149301,アポカイン皮下注３０ｍｇ　３ｍＬ,1169400G1028,"7,766.0 ",0,"21,186 "
620008890,ドパストン静注５０ｍｇ　０．２５％２０ｍＬ,1164400A2041,282.0 ,0,"1,244 "
620008889,ドパストン静注２５ｍｇ　０．２５％１０ｍＬ,1164400A1045,153.0 ,0,-
620005147,アキネトン注射液５ｍｇ　０．５％１ｍＬ,1162400A1059,58.0 ,0,-
620000242,セレネース注５ｍｇ　０．５％１ｍＬ,1179404A1070,92.0 ,0,"2,165 "
641170001,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）　２．５％１ｍＬ,1179401A1026,56.0 ,0,"2,005 "
620004718,ノバミン筋注５ｍｇ　０．５％１ｍＬ,1172404A1037,61.0 ,0,"1,317 "
620007173,アナフラニール点滴静注液２５ｍｇ,1174401A1038,230.0 ,0,-
641170002,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）　５％１ｍＬ,1179401A2022,62.0 ,0,-
641170056,コントミン筋注２５ｍｇ　０．５％５ｍＬ,1171400A2011,92.0 ,0,-
620008951,リントン注５ｍｇ　０．５％１ｍＬ,1179404A1089,56.0 ,1,-
641170058,コントミン筋注５０ｍｇ　１％５ｍＬ,1171400A3018,94.0 ,0,-
622067501,エダラボン点滴静注３０ｍｇバッグ「ＤＳＥＰ」　１００ｍＬ,1190401G1034,"3,542.0 ",1,-
622044401,エダラボン点滴静注３０ｍｇ「ファイザー」　２０ｍＬ,1190401A1139,"3,349.0 ",1,-
641210093,キシロカイン注射液０．５％,1214401A1027,10.2 ,0,-
641210102,キシロカイン注射液２％,1214401A4026,16.4 ,0,-
641210105,静注用キシロカイン２％　５ｍＬ,1214401A5014,92.0 ,0,-
640443005,マーカイン注脊麻用０．５％高比重　４ｍＬ,1214403A4025,451.0 ,0,-
640451003,アナペイン注７．５ｍｇ／ｍＬ　０．７５％２０ｍＬ,1214405A4024,"1,138.0 ",0,-
641210018,マーカイン注０．２５％,1214403A2022,15.0 ,0,-
640451001,アナペイン注２ｍｇ／ｍＬ　０．２％１００ｍＬ,1214405A2021,"1,673.0 ",0,-
620007265,キシロカイン注ポリアンプ２％　１０ｍＬ,1214400H1055,147.0 ,0,-
641210099,キシロカイン注射液１％,1214401A3020,11.2 ,0,-
640443006,マーカイン注脊麻用０．５％等比重　４ｍＬ,1214403A5021,451.0 ,0,-
620007264,キシロカイン注ポリアンプ２％　５ｍＬ,1214400A9058,81.0 ,0,-
