"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
660450003,笑気ガス,1116700X1010,3.9 ,0,"789,593 "
661110025,笑気ガス〈ショウワ〉,1116700X1100,4.3 ,0,"750,443 "
620032201,セボフレン吸入麻酔液,1119702G1062,58.3 ,0,"248,462 "
661110030,笑気ガス（住友精化）,1116700X1010,3.9 ,0,"151,257 "
660431001,アネスタ,1116700X1126,4.3 ,0,"125,648 "
620006769,液化亜酸化窒素（日産）,1116700X1061,4.3 ,0,"88,267 "
622086501,スープレン吸入麻酔液,1119703G1024,44.9 ,0,"52,068 "
620006715,セボフルラン吸入麻酔液「マイラン」,1119702G1054,46.8 ,1,"34,720 "
661110027,小池笑気,1116700X1088,4.3 ,0,"30,700 "
661110006,亜酸化窒素,1116700X1010,3.9 ,0,"16,665 "
620001380,液化亜酸化窒素（日本エア・リキード）,1116700X1053,4.3 ,0,"11,667 "
661110023,マルワ亜酸化窒素,1116700X1045,4.3 ,0,"6,481 "
661110021,フローセン,1112700X1011,54.4 ,0,-
620032001,フォーレン吸入麻酔液,1119701G1084,68.9 ,0,-
661110004,ハロタン,1112700X1011,54.4 ,0,-
621389401,エスカイン吸入麻酔液,1119701G1076,27.0 ,1,-
661120011,ダイアップ坐剤６　６ｍｇ,1124701J2029,70.4 ,0,"220,756 "
661120010,ダイアップ坐剤４　４ｍｇ,1124701J1022,61.9 ,0,"165,829 "
661120012,ダイアップ坐剤１０　１０ｍｇ,1124701J3025,82.5 ,0,"81,245 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,1123700J1020,38.6 ,0,"26,173 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,1123700J2027,49.5 ,0,"22,877 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,1123700X1023,259.8 ,0,"14,834 "
661120009,ワコビタール坐剤５０　５０ｍｇ,1125700J4032,59.1 ,0,"9,035 "
661120008,ワコビタール坐剤３０　３０ｍｇ,1125700J3028,47.2 ,0,"5,015 "
620055901,セニラン坐剤３ｍｇ,1124700J1036,104.0 ,0,"4,866 "
661120006,ワコビタール坐剤１００　１００ｍｇ,1125700J5039,73.6 ,0,"2,750 "
661120005,ルピアール坐剤５０　５０ｍｇ,1125700J4024,55.1 ,0,"2,510 "
661120003,ルピアール坐剤１００　１００ｍｇ,1125700J5020,69.4 ,0,"1,369 "
661120007,ワコビタール坐剤１５　１５ｍｇ,1125700J1025,34.0 ,0,"1,306 "
661120004,ルピアール坐剤２５　２５ｍｇ,1125700J2021,40.0 ,0,-
661140081,ボルタレンサポ５０ｍｇ,1147700J3084,63.1 ,0,"5,339,043 "
661140080,ボルタレンサポ２５ｍｇ,1147700J2061,51.4 ,0,"4,914,663 "
620002621,アンヒバ坐剤小児用１００ｍｇ,1141700J2130,19.3 ,0,"1,363,492 "
620002622,アンヒバ坐剤小児用２００ｍｇ,1141700J3110,30.0 ,0,"1,318,183 "
660454001,アルピニー坐剤１００　１００ｍｇ,1141700J2092,19.3 ,0,"882,390 "
661140205,ボナフェック坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"671,633 "
661140091,アルピニー坐剤２００　２００ｍｇ,1141700J3021,30.0 ,0,"625,520 "
661140201,アデフロニックズポ５０　５０ｍｇ,1147700J3017,19.3 ,1,"591,873 "
661140193,アデフロニックズポ２５　２５ｍｇ,1147700J2029,19.9 ,1,"490,195 "
661140195,ボナフェック坐剤２５　２５ｍｇ,1147700J2045,19.9 ,1,"471,012 "
661140079,ボルタレンサポ１２．５ｍｇ,1147700J1057,44.3 ,0,"297,090 "
661140242,インテバン坐剤５０　５０ｍｇ,1145700J3012,19.3 ,0,"292,191 "
621362356,ジクロフェナクナトリウム坐剤５０ｍｇ「タナベ」,1147700J3017,19.3 ,1,"259,771 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,1147700J3017,19.3 ,1,"249,680 "
661140181,カロナール坐剤２００　２００ｍｇ,1141700J3048,30.0 ,0,"215,373 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,1147700J2207,19.9 ,1,"202,785 "
621362238,ジクロフェナクナトリウム坐剤２５ｍｇ「タナベ」,1147700J2215,19.9 ,1,"178,612 "
