"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,1124009F2076,10.7 ,1,"5,144,210 "
610463223,レンドルミンＤ錠０．２５ｍｇ,1124009F2025,26.4 ,0,"4,736,024 "
610443047,マイスリー錠５ｍｇ,1129009F1025,43.7 ,0,"4,190,354 "
610453117,ベンザリン錠５　５ｍｇ,1124003F2222,11.0 ,0,"4,062,321 "
620006049,トリクロリールシロップ１０％,1129004Q1031,11.5 ,0,"3,957,461 "
611170470,ワイパックス錠０．５　０．５ｍｇ,1124022F1067,6.1 ,0,"3,938,079 "
610422093,グッドミン錠０．２５ｍｇ,1124009F1037,10.7 ,1,"3,650,323 "
611120097,ロヒプノール錠１　１ｍｇ,1124008F1032,14.2 ,0,"3,543,183 "
610463174,フルニトラゼパム錠２ｍｇ「アメル」,1124008F2012,6.2 ,1,"3,466,641 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,1124022F1083,5.0 ,1,"3,309,527 "
622148801,ルネスタ錠１ｍｇ,1129010F1028,51.0 ,0,"3,110,560 "
611120098,ロヒプノール錠２　２ｍｇ,1124008F2039,20.9 ,0,"2,960,183 "
611120055,ハルシオン０．２５ｍｇ錠,1124007F2026,14.7 ,0,"2,669,239 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,1124008F1067,5.6 ,1,"2,623,279 "
611170508,ソラナックス０．４ｍｇ錠,1124023F1037,9.2 ,0,"2,515,908 "
611170005,２ｍｇセルシン錠,1124017F2135,5.9 ,0,"2,355,566 "
620004625,レンドルミン錠０．２５ｍｇ,1124009F1223,26.4 ,0,"2,337,518 "
611120111,アモバン錠７．５　７．５ｍｇ,1129007F1026,23.1 ,0,"1,960,611 "
610443048,マイスリー錠１０ｍｇ,1129009F2021,69.7 ,0,"1,841,008 "
611120081,ユーロジン２ｍｇ錠,1124001F2029,15.6 ,0,"1,778,450 "
622137201,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「ＥＥ」,1129009F3028,20.2 ,1,"1,666,927 "
611170471,ワイパックス錠１．０　１ｍｇ,1124022F2071,11.2 ,0,"1,595,571 "
611120087,サイレース錠１ｍｇ,1124008F1024,15.1 ,0,"1,541,431 "
621671201,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,1124009F2017,8.5 ,1,"1,487,095 "
620000465,フェノバール散１０％,1125003B2031,8.5 ,0,"1,482,893 "
611120076,ベンザリン錠１０　１０ｍｇ,1124003F3121,17.1 ,0,"1,464,510 "
620049401,ロラゼパム錠１ｍｇ「サワイ」,1124022F2110,5.6 ,1,"1,462,256 "
622148901,ルネスタ錠２ｍｇ,1129010F2024,80.9 ,0,"1,444,901 "
611170435,レキソタン錠２　２ｍｇ,1124020F2030,6.0 ,0,"1,406,061 "
611120088,サイレース錠２ｍｇ,1124008F2020,21.5 ,0,"1,392,277 "
611170689,メイラックス錠１ｍｇ,1124029F1026,21.6 ,0,"1,367,437 "
611170499,コンスタン０．４ｍｇ錠,1124023F1029,9.4 ,0,"1,330,309 "
611120063,フェノバール錠３０ｍｇ,1125004F1023,7.1 ,0,"1,192,394 "
620005022,セディール錠１０ｍｇ,1129008F2035,31.2 ,0,"1,145,935 "
611170008,５ｍｇセルシン錠,1124017F4049,9.2 ,0,"1,099,928 "
610432030,ドラール錠１５　１５ｍｇ,1124030F1029,98.5 ,0,"1,082,012 "
611120118,エバミール錠１．０　１ｍｇ,1124010F1021,20.8 ,0,"1,078,674 "
622168001,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「サワイ」,1129009F3044,20.2 ,1,"1,075,530 "
610463183,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」　０．２５ｍｇ,1124009F1185,10.7 ,1,"1,075,275 "
620039901,ブロチゾラム錠０．２５ｍｇ「日医工」,1124009F1010,8.5 ,1,"980,053 "
620059301,ゾピクロン錠７．５ｍｇ「サワイ」,1129007F1123,8.7 ,1,"886,013 "
620003603,フェノバールエリキシル０．４％,1125004S1030,4.5 ,0,"881,323 "
611120112,アモバン錠１０　１０ｍｇ,1129007F2022,27.9 ,0,"852,583 "
620038001,トリアゾラム錠０．２５ｍｇ「日医工」,1124007F2239,5.8 ,1,"848,179 "
611120114,リスミー錠２ｍｇ,1129006F2028,29.7 ,0,"831,443 "
620006013,ゾピクロン錠７．５ｍｇ「トーワ」,1129007F1107,8.7 ,1,"806,787 "
611170436,レキソタン錠５　５ｍｇ,1124020F4032,14.0 ,0,"796,378 "
620039501,ブロチゾラム錠０．２５ｍｇ「サワイ」,1124009F1312,10.7 ,1,"789,485 "
620039001,ブロチゾラム錠０．２５ｍｇ「トーワ」,1124009F1010,8.5 ,1,"777,641 "
622141901,ゾルピデム酒石酸塩錠５ｍｇ「トーワ」,1129009F1289,20.2 ,1,"735,103 "
611170373,ホリゾン錠２ｍｇ,1124017F2151,5.9 ,0,"697,984 "
611120113,リスミー錠１ｍｇ,1129006F1021,18.9 ,0,"642,515 "
620003151,ジアゼパム錠２ｍｇ「アメル」,1124017F2194,5.6 ,1,"630,592 "
622015501,ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」,1124009F2017,8.5 ,1,"628,890 "
611170160,セパゾン錠２　２ｍｇ,1124014F2034,5.7 ,0,"621,404 "
620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,1124023F1100,5.6 ,1,"617,535 "
620039601,ブロチゾラム錠０．２５ｍｇ「アメル」,1124009F1010,8.5 ,1,"608,523 "
620003588,ニトラゼパム錠５ｍｇ「トーワ」,1124003F2249,5.4 ,1,"593,758 "
611170639,グランダキシン錠５０　５０ｍｇ,1124026F1022,15.7 ,0,"590,960 "
622139801,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＰ」,1129009F1076,20.2 ,1,"580,347 "
622276601,ブロチゾラムＯＤ錠０．２５ｍｇ「アメル」,1124009F2017,8.5 ,1,"572,270 "
610453023,エスタゾラム錠２ｍｇ「アメル」,1124001F2037,12.3 ,1,"569,004 "
622170301,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,1129009F1068,20.2 ,1,"565,881 "
620003152,ジアゼパム錠５ｍｇ「アメル」,1124017F4200,5.6 ,1,"559,149 "
611170159,セパゾン錠１　１ｍｇ,1124014F1038,5.6 ,0,"555,570 "
611170374,ホリゾン錠５ｍｇ,1124017F4162,9.2 ,0,"530,076 "
611120080,ユーロジン１ｍｇ錠,1124001F1022,9.9 ,0,"496,388 "
611120148,ハルラック錠０．２５ｍｇ,1124007F2107,5.8 ,1,"478,354 "
610454039,セルシン散１％,1124017B1129,17.3 ,0,"476,407 "
610412015,アモバンテス錠７．５　７．５ｍｇ,1129007F1034,8.7 ,1,"472,449 "
620004589,ベンザリン細粒１％,1124003C1092,18.1 ,0,"466,957 "
622148301,ゾルピデム酒石酸塩錠５ｍｇ「ファイザー」,1129009F1319,20.2 ,1,"452,880 "
622279601,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「トーワ」,1129009F3060,20.2 ,1,"452,600 "
620001978,塩酸リルマザホン錠２「ＭＥＥＫ」　２ｍｇ,1129006F2036,18.7 ,1,"449,195 "
620039402,ブロチゾラム錠０．２５ｍｇ「オーハラ」,1124009F1010,8.5 ,1,"447,899 "
620006017,ソレントミン錠０．２５ｍｇ,1124009F1010,8.5 ,1,"440,855 "
620001977,塩酸リルマザホン錠１「ＭＥＥＫ」　１ｍｇ,1129006F1030,11.7 ,1,"425,065 "
620059401,ゾピクロン錠７．５ｍｇ「アメル」,1129007F1018,6.6 ,1,"423,571 "
620049901,アルプラゾラム錠０．４ｍｇ「サワイ」,1124023F1118,5.6 ,1,"416,037 "
620009129,ブロチゾラムＯＤ錠０．２５ｍｇ「タイヨー」,1124009F2017,8.5 ,1,"412,015 "
611170127,ジアゼパム錠２「トーワ」　２ｍｇ,1124017F2054,5.6 ,1,"386,912 "
622134101,ゾルピデム酒石酸塩錠５ｍｇ「明治」,1129009F1335,20.2 ,1,"377,484 "
610454053,ネルボン錠５ｍｇ,1124003F2230,11.0 ,0,"375,336 "
622137001,ゾルピデム酒石酸塩錠５ｍｇ「ＥＥ」,1129009F1084,20.2 ,1,"366,947 "
