"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
611170508,ソラナックス０．４ｍｇ錠,1124023F1037,9.2 ,0,"169,587,425 "
610443047,マイスリー錠５ｍｇ,1129009F1025,43.7 ,0,"167,916,191 "
611120055,ハルシオン０．２５ｍｇ錠,1124007F2026,14.7 ,0,"109,722,293 "
610463223,レンドルミンＤ錠０．２５ｍｇ,1124009F2025,26.4 ,0,"107,690,430 "
610443048,マイスリー錠１０ｍｇ,1129009F2021,69.7 ,0,"106,030,235 "
620004625,レンドルミン錠０．２５ｍｇ,1124009F1223,26.4 ,0,"97,645,304 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,1124022F1083,5.0 ,1,"80,288,912 "
611170470,ワイパックス錠０．５　０．５ｍｇ,1124022F1067,6.1 ,0,"79,585,686 "
611170005,２ｍｇセルシン錠,1124017F2135,5.9 ,0,"67,368,287 "
611170689,メイラックス錠１ｍｇ,1124029F1026,21.6 ,0,"67,337,552 "
620049901,アルプラゾラム錠０．４ｍｇ「サワイ」,1124023F1118,5.6 ,1,"66,234,103 "
610422093,グッドミン錠０．２５ｍｇ,1124009F1037,10.7 ,1,"63,164,374 "
611170499,コンスタン０．４ｍｇ錠,1124023F1029,9.4 ,0,"60,936,231 "
611170435,レキソタン錠２　２ｍｇ,1124020F2030,6.0 ,0,"57,142,818 "
611120097,ロヒプノール錠１　１ｍｇ,1124008F1032,14.2 ,0,"53,843,460 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,1124008F1067,5.6 ,1,"52,847,204 "
611170639,グランダキシン錠５０　５０ｍｇ,1124026F1022,15.7 ,0,"48,299,143 "
611120111,アモバン錠７．５　７．５ｍｇ,1129007F1026,23.1 ,0,"43,446,107 "
610453117,ベンザリン錠５　５ｍｇ,1124003F2222,11.0 ,0,"41,669,730 "
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,1124009F2076,10.7 ,1,"39,341,793 "
610463174,フルニトラゼパム錠２ｍｇ「アメル」,1124008F2012,6.2 ,1,"38,357,465 "
620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,1124023F1100,5.6 ,1,"36,986,098 "
621671201,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,1124009F2017,8.5 ,1,"34,282,502 "
622148801,ルネスタ錠１ｍｇ,1129010F1028,51.0 ,0,"33,214,802 "
611120098,ロヒプノール錠２　２ｍｇ,1124008F2039,20.9 ,0,"32,905,436 "
611120063,フェノバール錠３０ｍｇ,1125004F1023,7.1 ,0,"31,926,033 "
620047101,セニラン錠２ｍｇ,1124020F2048,5.6 ,1,"31,331,726 "
622148901,ルネスタ錠２ｍｇ,1129010F2024,80.9 ,0,"31,326,260 "
611120081,ユーロジン２ｍｇ錠,1124001F2029,15.6 ,0,"29,682,590 "
