"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,1119401A1036,123.0 ,0,"1,767,891 "
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,1119402A1030,844.0 ,1,"1,293,948 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,1119402G2021,"2,084.0 ",0,"1,192,522 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,1119402A2037,"1,193.0 ",1,"539,281 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,1119402G1025,"1,448.0 ",0,"185,480 "
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,1119402A3025,"1,841.0 ",1,"152,164 "
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,1119402A2029,"1,830.0 ",0,"145,067 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"138,311 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,1119402A1022,"1,232.0 ",0,"130,787 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,1115400X2015,"1,104.0 ",0,"108,213 "
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,1119402A2134,890.0 ,1,"92,770 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,1119402A1103,844.0 ,1,"83,567 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,1115400X1019,889.0 ,0,"80,134 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,1119400A3026,292.0 ,0,"75,631 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,1119400A1031,718.0 ,0,"66,310 "
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,1119402A5028,"1,841.0 ",1,"66,229 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,1119402A1111,844.0 ,1,"26,684 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,1119402A1073,844.0 ,1,"24,420 "
620008171,１％ディプリバン注　１ｇ１００ｍＬ,1119402A3033,"2,110.0 ",0,"23,724 "
620002989,プロポフォール注１％「Ｆ」　２００ｍｇ２０ｍＬ,1119402A4021,844.0 ,1,"22,849 "
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,1119402A3084,"1,003.0 ",1,"21,194 "
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,1119402A2100,"1,193.0 ",1,"17,455 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,1119402A2142,"1,193.0 ",1,"15,414 "
621702401,プロポフォール１％静注２０ｍＬ「マイラン」　２００ｍｇ,1119402A1090,844.0 ,1,"14,545 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,1115403D3019,489.0 ,0,"9,877 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,1115403D4015,469.0 ,0,"6,744 "
620002990,プロポフォール注１％「Ｆ」　５００ｍｇ５０ｍＬ,1119402A2053,"1,193.0 ",1,"5,952 "
