"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
661110025,笑気ガス〈ショウワ〉,1116700X1100,4.3 ,0,"55,109,502 "
622086501,スープレン吸入麻酔液,1119703G1024,44.9 ,0,"44,019,911 "
620006715,セボフルラン吸入麻酔液「マイラン」,1119702G1054,46.8 ,1,"42,056,631 "
620032201,セボフレン吸入麻酔液,1119702G1062,58.3 ,0,"35,471,021 "
661110030,笑気ガス（住友精化）,1116700X1010,3.9 ,0,"15,618,505 "
660450003,笑気ガス,1116700X1010,3.9 ,0,"15,559,607 "
661110006,亜酸化窒素,1116700X1010,3.9 ,0,"14,212,466 "
661110027,小池笑気,1116700X1088,4.3 ,0,"8,208,598 "
661110023,マルワ亜酸化窒素,1116700X1045,4.3 ,0,"7,883,909 "
620006769,液化亜酸化窒素（日産）,1116700X1061,4.3 ,0,"7,762,430 "
660431001,アネスタ,1116700X1126,4.3 ,0,"5,771,423 "
620001380,液化亜酸化窒素（日本エア・リキード）,1116700X1053,4.3 ,0,"3,019,130 "
620032001,フォーレン吸入麻酔液,1119701G1084,68.9 ,0,"478,953 "
621389401,エスカイン吸入麻酔液,1119701G1076,27.0 ,1,"110,317 "
621389402,イソフルラン吸入麻酔液「ファイザー」,1119701G1092,27.0 ,1,"30,175 "
661110021,フローセン,1112700X1011,54.4 ,0,"22,440 "
661110004,ハロタン,1112700X1011,54.4 ,0,-
661110007,麻酔用エーテル,1114700X1016,9.4 ,0,-
661120010,ダイアップ坐剤４　４ｍｇ,1124701J1022,61.9 ,0,"99,437 "
661120011,ダイアップ坐剤６　６ｍｇ,1124701J2029,70.4 ,0,"99,369 "
661120012,ダイアップ坐剤１０　１０ｍｇ,1124701J3025,82.5 ,0,"95,112 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,1123700J2027,49.5 ,0,"50,323 "
661120009,ワコビタール坐剤５０　５０ｍｇ,1125700J4032,59.1 ,0,"50,089 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,1123700J1020,38.6 ,0,"44,849 "
620055901,セニラン坐剤３ｍｇ,1124700J1036,104.0 ,0,"29,991 "
661120008,ワコビタール坐剤３０　３０ｍｇ,1125700J3028,47.2 ,0,"28,563 "
661120006,ワコビタール坐剤１００　１００ｍｇ,1125700J5039,73.6 ,0,"25,612 "
661120007,ワコビタール坐剤１５　１５ｍｇ,1125700J1025,34.0 ,0,"22,020 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,1123700X1023,259.8 ,0,"19,935 "
661120005,ルピアール坐剤５０　５０ｍｇ,1125700J4024,55.1 ,0,"17,571 "
661120003,ルピアール坐剤１００　１００ｍｇ,1125700J5020,69.4 ,0,"7,475 "
661120004,ルピアール坐剤２５　２５ｍｇ,1125700J2021,40.0 ,0,"6,251 "
661140080,ボルタレンサポ２５ｍｇ,1147700J2061,51.4 ,0,"2,261,007 "
661140081,ボルタレンサポ５０ｍｇ,1147700J3084,63.1 ,0,"1,529,851 "
620002622,アンヒバ坐剤小児用２００ｍｇ,1141700J3110,30.0 ,0,"1,022,128 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,1147700J2207,19.9 ,1,"515,959 "
620002621,アンヒバ坐剤小児用１００ｍｇ,1141700J2130,19.3 ,0,"338,331 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,1147700J3017,19.3 ,1,"314,554 "
661140091,アルピニー坐剤２００　２００ｍｇ,1141700J3021,30.0 ,0,"301,329 "
661140079,ボルタレンサポ１２．５ｍｇ,1147700J1057,44.3 ,0,"271,762 "
661140198,ボンフェナック坐剤２５　２５ｍｇ,1147700J2088,19.9 ,1,"265,243 "
661140193,アデフロニックズポ２５　２５ｍｇ,1147700J2029,19.9 ,1,"252,044 "
621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,1147700J2231,19.9 ,1,"248,790 "
621362241,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,1147700J2223,19.9 ,1,"225,307 "
622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,1141700J3153,19.9 ,1,"190,564 "
661140201,アデフロニックズポ５０　５０ｍｇ,1147700J3017,19.3 ,1,"185,125 "
661140195,ボナフェック坐剤２５　２５ｍｇ,1147700J2045,19.9 ,1,"170,902 "
661140181,カロナール坐剤２００　２００ｍｇ,1141700J3048,30.0 ,0,"147,828 "
661140207,ボンフェナック坐剤５０　５０ｍｇ,1147700J3106,27.5 ,1,"137,551 "
621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,1147700J3017,19.3 ,1,"130,724 "
621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,1147700J3254,27.5 ,1,"119,394 "
661140205,ボナフェック坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"118,803 "
660454001,アルピニー坐剤１００　１００ｍｇ,1141700J2092,19.3 ,0,"115,074 "
621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,1141700J3137,19.9 ,1,"113,916 "
661140216,インテバン坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,"96,840 "
661140188,レペタン坐剤０．２ｍｇ,1149703J1020,171.4 ,0,"93,711 "
621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,1147700J2258,19.9 ,1,"76,783 "
621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,1147700J3017,19.3 ,1,"69,696 "
622057601,ノルスパンテープ５ｍｇ,1149704S1020,"1,572.8 ",0,"66,811 "
661140242,インテバン坐剤５０　５０ｍｇ,1145700J3012,19.3 ,0,"60,917 "
621939501,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,1147700J1146,19.3 ,1,"38,833 "
622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,1141700J2181,19.3 ,0,"34,268 "
661140274,ボンフェナック坐剤１２．５　１２．５ｍｇ,1147700J1090,19.3 ,1,"30,001 "
661140190,アデフロニックズポ１２．５　１２．５ｍｇ,1147700J1022,19.3 ,1,"29,503 "
661140189,レペタン坐剤０．４ｍｇ,1149703J2027,225.9 ,0,"28,337 "
660453033,パラセタ坐剤２００　２００ｍｇ,1141700J3072,19.9 ,1,"26,979 "
620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,1141700J3161,19.9 ,1,"24,496 "
661140180,カロナール坐剤１００　１００ｍｇ,1141700J2050,19.3 ,0,"24,178 "
621362118,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＣＨ」,1147700J1162,19.3 ,1,"22,200 "
621556901,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,1141700J2165,19.3 ,0,"21,584 "
621362116,ジクロフェナクナトリウム坐剤１２．５ｍｇ「日医工」,1147700J1170,19.3 ,1,"18,709 "
660406096,ベギータ坐剤２５　２５ｍｇ,1147700J2169,19.9 ,1,"16,407 "
620114703,ケトプロフェン坐剤５０ｍｇ「ＪＧ」,1149700J1108,19.3 ,1,"15,478 "
622057701,ノルスパンテープ１０ｍｇ,1149704S2027,"2,423.7 ",0,"15,421 "
661140020,インドメタシン坐剤　５０ｍｇ,1145700J3012,19.3 ,0,"15,072 "
660406108,ボナフェック坐剤１２．５　１２．５ｍｇ,1147700J1120,19.3 ,1,"13,336 "
620078542,インドメタシン坐剤２５ｍｇ「ＪＧ」,1145700J2016,19.3 ,0,"11,766 "
620001383,インドメタシン坐剤シオエ５０　５０ｍｇ,1145700J3012,19.3 ,0,"11,735 "
660407056,レイナノン坐剤７５　７５ｍｇ,1149700J2082,26.9 ,1,"11,630 "
661140092,アルピニー坐剤５０　５０ｍｇ,1141700J1029,19.3 ,0,"9,481 "
661140168,アネオール坐剤７５　７５ｍｇ,1149700J2023,38.3 ,0,"9,367 "
620115303,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,1149700J2104,21.5 ,1,"9,272 "
661140019,インドメタシン坐剤　２５ｍｇ,1145700J2016,19.3 ,0,"8,827 "
621362356,ジクロフェナクナトリウム坐剤５０ｍｇ「タナベ」,1147700J3017,19.3 ,1,"8,651 "
620078654,インドメタシン坐剤５０ｍｇ「ＪＧ」,1145700J3012,19.3 ,0,"8,635 "
620115402,ケトプロフェン坐剤７５ｍｇ「ＳＮ」,1149700J2120,26.9 ,1,"8,488 "
660453032,パラセタ坐剤１００　１００ｍｇ,1141700J2084,19.3 ,0,"7,715 "
620001382,インドメタシン坐剤シオエ２５　２５ｍｇ,1145700J2016,19.3 ,0,"7,420 "
620005282,バキソ坐剤２０ｍｇ,1149701J1102,141.1 ,0,"7,091 "
620115203,ケトプロフェン坐剤７５ｍｇ「日新」,1149700J2112,26.9 ,1,"6,553 "
620115601,フェルデン坐剤２０ｍｇ,1149701J1145,141.1 ,0,"6,474 "
620078541,インドメタシン坐剤２５「ＮＰ」　２５ｍｇ,1145700J2016,19.3 ,0,"6,413 "
620002620,アンヒバ坐剤小児用５０ｍｇ,1141700J1045,19.3 ,0,"5,966 "
620078653,インドメタシン坐剤５０「ＮＰ」　５０ｍｇ,1145700J3012,19.3 ,0,"5,527 "
621391601,レクトス注腸軟膏５０ｍｇ,1147700J5036,105.6 ,1,"5,421 "
622330800,ジクロフェナクナトリウム５０ｍｇ坐剤,1147700J3017,19.3 ,1,"5,258 "
621391501,レクトス注腸軟膏２５ｍｇ,1147700J4030,100.9 ,1,"5,193 "
620114603,ケトプロフェン坐剤５０ｍｇ「日新」,1149700J1116,23.4 ,1,"4,699 "
621362109,ジクロフェナクＮａ坐剤１２．５ｍｇ「日新」,1147700J1197,19.3 ,1,"4,691 "
661140167,アネオール坐剤５０　５０ｍｇ,1149700J1027,37.5 ,0,"4,668 "
661140225,インドメタシン坐剤２５「イセイ」　２５ｍｇ,1145700J2016,19.3 ,0,"3,871 "
661140251,インドメタシン坐剤５０「イセイ」　５０ｍｇ,1145700J3012,19.3 ,0,"3,637 "
620072001,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,1141700J2190,19.3 ,0,"3,582 "
622054402,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,1141700J1118,19.3 ,0,"2,901 "
622440201,カロナール坐剤４００　４００ｍｇ,1141700J4028,46.6 ,0,"2,750 "
660406097,ベギータ坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"2,176 "
622057801,ノルスパンテープ２０ｍｇ,1149704S3023,"3,735.1 ",0,"2,132 "
620078525,ミカメタン坐剤２５ｍｇ,1145700J2016,19.3 ,0,"2,123 "
661140196,ボラボミン坐剤２５ｍｇ,1147700J2053,19.9 ,1,"2,101 "
620078406,インドメタシン坐剤１２．５ｍｇ「ＪＧ」,1145700J1010,19.3 ,0,"2,040 "
660406115,メジェイド坐剤７５　７５ｍｇ,1149700J2066,26.9 ,1,"1,674 "
661140228,インメシン坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,"1,637 "
620078504,インドメタシン坐剤２５ｍｇ「タナベ」,1145700J2016,19.3 ,0,"1,574 "
621362225,ジクロフェナクＮａ坐剤２５ｍｇ「ツルハラ」,1147700J2240,19.9 ,1,"1,490 "
660406095,ベギータ坐剤１２．５　１２．５ｍｇ,1147700J1111,19.3 ,1,"1,199 "
620078630,ミカメタン坐剤５０ｍｇ,1145700J3012,19.3 ,0,"1,023 "
661140255,インメシン坐剤５０　５０ｍｇ,1145700J3012,19.3 ,0,-
620078604,インドメタシン坐剤５０ｍｇ「タナベ」,1145700J3012,19.3 ,0,-
660406114,メジェイド坐剤５０　５０ｍｇ,1149700J1060,23.4 ,1,-
661140022,インドメタシン坐剤　１２．５ｍｇ,1145700J1010,19.3 ,0,-
621362808,ピロキシカム坐剤２０ｍｇ「ＪＧ」,1149701J1013,22.6 ,1,-
621577201,ジクロフェナクＮａ坐剤５０ｍｇ「ツルハラ」,1147700J3289,27.5 ,1,-
620001384,ボラボミン坐剤５０ｍｇ,1147700J3211,27.5 ,1,-
620078401,インドメタシン坐剤１２．５ｍｇ「タナベ」,1145700J1010,19.3 ,0,-
621968301,カロナール坐剤小児用５０　５０ｍｇ,1141700J1088,19.3 ,0,-
620003463,ピロキシカム２０ｍｇ坐剤,1149701J1013,22.6 ,1,-
621362115,ジクロフェナクＮａ坐剤１２．５ｍｇ「ツルハラ」,1147700J1189,19.3 ,1,-
621953701,アセトアミノフェン坐剤小児用５０ｍｇ「ＴＹＫ」,1141700J1053,19.3 ,0,-
621938202,アセトアミノフェン坐剤小児用５０ｍｇ「日新」,1141700J1126,19.3 ,0,-
661140273,ボラボミン坐剤１２．５ｍｇ,1147700J1081,19.3 ,1,-
661140217,インデラニック坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,-
620006652,アルデイン坐剤２０ｍｇ,1149701J1013,22.6 ,1,-
622163701,ニュープロパッチ９ｍｇ,1169700S3028,660.1 ,0,"473,638 "
622163601,ニュープロパッチ４．５ｍｇ,1169700S2021,428.4 ,0,"463,969 "
622163801,ニュープロパッチ１３．５ｍｇ,1169700S4024,850.1 ,0,"336,061 "
622163501,ニュープロパッチ２．２５ｍｇ,1169700S1025,278.0 ,0,"93,978 "
622084801,リバスタッチパッチ４．５ｍｇ,1190700S1037,346.8 ,0,"336,409 "
622085101,リバスタッチパッチ１８ｍｇ,1190700S4036,439.7 ,0,"306,599 "
622082401,イクセロンパッチ１８ｍｇ,1190700S4028,439.7 ,0,"285,870 "
622084901,リバスタッチパッチ９ｍｇ,1190700S2033,390.5 ,0,"278,780 "
622081601,イクセロンパッチ４．５ｍｇ,1190700S1029,346.8 ,0,"245,912 "
622081701,イクセロンパッチ９ｍｇ,1190700S2025,390.5 ,0,"224,055 "
