"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
661110025,笑気ガス〈ショウワ〉,1116700X1100,4.3 ,0,"507,024 "
660450003,笑気ガス,1116700X1010,3.9 ,0,"364,952 "
661110030,笑気ガス（住友精化）,1116700X1010,3.9 ,0,"315,895 "
661110023,マルワ亜酸化窒素,1116700X1045,4.3 ,0,"288,756 "
620032201,セボフレン吸入麻酔液,1119702G1062,58.3 ,0,"208,342 "
661110006,亜酸化窒素,1116700X1010,3.9 ,0,"149,451 "
660431001,アネスタ,1116700X1126,4.3 ,0,"118,448 "
620006769,液化亜酸化窒素（日産）,1116700X1061,4.3 ,0,"118,162 "
620006715,セボフルラン吸入麻酔液「マイラン」,1119702G1054,46.8 ,1,"67,361 "
622086501,スープレン吸入麻酔液,1119703G1024,44.9 ,0,"62,100 "
661110027,小池笑気,1116700X1088,4.3 ,0,"36,224 "
620001380,液化亜酸化窒素（日本エア・リキード）,1116700X1053,4.3 ,0,"32,542 "
661110021,フローセン,1112700X1011,54.4 ,0,-
620032001,フォーレン吸入麻酔液,1119701G1084,68.9 ,0,-
661110004,ハロタン,1112700X1011,54.4 ,0,-
661120011,ダイアップ坐剤６　６ｍｇ,1124701J2029,70.4 ,0,"196,508 "
661120010,ダイアップ坐剤４　４ｍｇ,1124701J1022,61.9 ,0,"151,656 "
661120012,ダイアップ坐剤１０　１０ｍｇ,1124701J3025,82.5 ,0,"74,206 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,1123700J1020,38.6 ,0,"21,998 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,1123700J2027,49.5 ,0,"20,096 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,1123700X1023,259.8 ,0,"14,317 "
661120009,ワコビタール坐剤５０　５０ｍｇ,1125700J4032,59.1 ,0,"8,513 "
620055901,セニラン坐剤３ｍｇ,1124700J1036,104.0 ,0,"4,293 "
661120008,ワコビタール坐剤３０　３０ｍｇ,1125700J3028,47.2 ,0,"4,021 "
661120006,ワコビタール坐剤１００　１００ｍｇ,1125700J5039,73.6 ,0,"3,025 "
661120005,ルピアール坐剤５０　５０ｍｇ,1125700J4024,55.1 ,0,"1,970 "
661120003,ルピアール坐剤１００　１００ｍｇ,1125700J5020,69.4 ,0,"1,550 "
661120007,ワコビタール坐剤１５　１５ｍｇ,1125700J1025,34.0 ,0,"1,102 "
661120004,ルピアール坐剤２５　２５ｍｇ,1125700J2021,40.0 ,0,-
661140081,ボルタレンサポ５０ｍｇ,1147700J3084,63.1 ,0,"4,643,428 "
661140080,ボルタレンサポ２５ｍｇ,1147700J2061,51.4 ,0,"4,071,331 "
620002621,アンヒバ坐剤小児用１００ｍｇ,1141700J2130,19.3 ,0,"1,283,697 "
620002622,アンヒバ坐剤小児用２００ｍｇ,1141700J3110,30.0 ,0,"1,256,556 "
660454001,アルピニー坐剤１００　１００ｍｇ,1141700J2092,19.3 ,0,"809,313 "
661140091,アルピニー坐剤２００　２００ｍｇ,1141700J3021,30.0 ,0,"579,850 "
661140201,アデフロニックズポ５０　５０ｍｇ,1147700J3017,19.3 ,1,"554,217 "
661140193,アデフロニックズポ２５　２５ｍｇ,1147700J2029,19.9 ,1,"426,098 "
661140205,ボナフェック坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"414,956 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,1147700J3017,19.3 ,1,"310,128 "
661140195,ボナフェック坐剤２５　２５ｍｇ,1147700J2045,19.9 ,1,"293,629 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,1147700J2207,19.9 ,1,"273,224 "
