"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
661120011,ダイアップ坐剤６　６ｍｇ,1124701J2029,70.4 ,0,"703,706 "
661120010,ダイアップ坐剤４　４ｍｇ,1124701J1022,61.9 ,0,"579,953 "
661120012,ダイアップ坐剤１０　１０ｍｇ,1124701J3025,82.5 ,0,"498,344 "
620055901,セニラン坐剤３ｍｇ,1124700J1036,104.0 ,0,"68,888 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,1123700J2027,49.5 ,0,"55,559 "
661120009,ワコビタール坐剤５０　５０ｍｇ,1125700J4032,59.1 ,0,"36,161 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,1123700J1020,38.6 ,0,"32,114 "
661120006,ワコビタール坐剤１００　１００ｍｇ,1125700J5039,73.6 ,0,"26,794 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,1123700X1023,259.8 ,0,"26,530 "
661120008,ワコビタール坐剤３０　３０ｍｇ,1125700J3028,47.2 ,0,"25,580 "
661120005,ルピアール坐剤５０　５０ｍｇ,1125700J4024,55.1 ,0,"7,691 "
661120007,ワコビタール坐剤１５　１５ｍｇ,1125700J1025,34.0 ,0,"6,543 "
661120003,ルピアール坐剤１００　１００ｍｇ,1125700J5020,69.4 ,0,"4,927 "
661120004,ルピアール坐剤２５　２５ｍｇ,1125700J2021,40.0 ,0,"3,488 "
661140080,ボルタレンサポ２５ｍｇ,1147700J2061,51.4 ,0,"12,333,813 "
661140081,ボルタレンサポ５０ｍｇ,1147700J3084,63.1 ,0,"11,848,132 "
620002621,アンヒバ坐剤小児用１００ｍｇ,1141700J2130,19.3 ,0,"8,689,598 "
620002622,アンヒバ坐剤小児用２００ｍｇ,1141700J3110,30.0 ,0,"5,001,737 "
660454001,アルピニー坐剤１００　１００ｍｇ,1141700J2092,19.3 ,0,"3,269,449 "
661140091,アルピニー坐剤２００　２００ｍｇ,1141700J3021,30.0 ,0,"1,483,619 "
661140201,アデフロニックズポ５０　５０ｍｇ,1147700J3017,19.3 ,1,"1,421,405 "
661140193,アデフロニックズポ２５　２５ｍｇ,1147700J2029,19.9 ,1,"1,170,036 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,1147700J3017,19.3 ,1,"902,329 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,1147700J2207,19.9 ,1,"830,486 "
661140198,ボンフェナック坐剤２５　２５ｍｇ,1147700J2088,19.9 ,1,"827,903 "
661140079,ボルタレンサポ１２．５ｍｇ,1147700J1057,44.3 ,0,"822,627 "
661140180,カロナール坐剤１００　１００ｍｇ,1141700J2050,19.3 ,0,"802,053 "
661140207,ボンフェナック坐剤５０　５０ｍｇ,1147700J3106,27.5 ,1,"777,994 "
620002620,アンヒバ坐剤小児用５０ｍｇ,1141700J1045,19.3 ,0,"771,804 "
661140205,ボナフェック坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"751,556 "
661140195,ボナフェック坐剤２５　２５ｍｇ,1147700J2045,19.9 ,1,"723,292 "
622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,1141700J3153,19.9 ,1,"627,114 "
622057601,ノルスパンテープ５ｍｇ,1149704S1020,"1,572.8 ",0,"610,892 "
622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,1141700J2181,19.3 ,0,"589,814 "
661140242,インテバン坐剤５０　５０ｍｇ,1145700J3012,19.3 ,0,"586,729 "
661140092,アルピニー坐剤５０　５０ｍｇ,1141700J1029,19.3 ,0,"584,007 "
661140181,カロナール坐剤２００　２００ｍｇ,1141700J3048,30.0 ,0,"576,590 "
621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,1147700J3017,19.3 ,1,"534,434 "
621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,1147700J3254,27.5 ,1,"529,930 "
621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,1147700J2231,19.9 ,1,"512,482 "
621362241,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,1147700J2223,19.9 ,1,"466,663 "
621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,1147700J3017,19.3 ,1,"449,080 "
621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,1141700J3137,19.9 ,1,"381,246 "
661140216,インテバン坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,"373,207 "
621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,1147700J2258,19.9 ,1,"365,808 "
660453032,パラセタ坐剤１００　１００ｍｇ,1141700J2084,19.3 ,0,"286,963 "
621556901,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,1141700J2165,19.3 ,0,"284,026 "
660453033,パラセタ坐剤２００　２００ｍｇ,1141700J3072,19.9 ,1,"270,249 "
661140188,レペタン坐剤０．２ｍｇ,1149703J1020,171.4 ,0,"264,428 "
622057701,ノルスパンテープ１０ｍｇ,1149704S2027,"2,423.7 ",0,"262,771 "
661140189,レペタン坐剤０．４ｍｇ,1149703J2027,225.9 ,0,"139,506 "
620114703,ケトプロフェン坐剤５０ｍｇ「ＪＧ」,1149700J1108,19.3 ,1,"104,229 "
620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,1141700J3161,19.9 ,1,"103,644 "
620072001,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,1141700J2190,19.3 ,0,"92,423 "
620115303,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,1149700J2104,21.5 ,1,"85,152 "
620078654,インドメタシン坐剤５０ｍｇ「ＪＧ」,1145700J3012,19.3 ,0,"78,563 "
620115601,フェルデン坐剤２０ｍｇ,1149701J1145,141.1 ,0,"75,074 "
620001383,インドメタシン坐剤シオエ５０　５０ｍｇ,1145700J3012,19.3 ,0,"71,625 "
620078653,インドメタシン坐剤５０「ＮＰ」　５０ｍｇ,1145700J3012,19.3 ,0,"62,950 "
661140190,アデフロニックズポ１２．５　１２．５ｍｇ,1147700J1022,19.3 ,1,"55,383 "
661140274,ボンフェナック坐剤１２．５　１２．５ｍｇ,1147700J1090,19.3 ,1,"50,250 "
622057801,ノルスパンテープ２０ｍｇ,1149704S3023,"3,735.1 ",0,"49,493 "
620115203,ケトプロフェン坐剤７５ｍｇ「日新」,1149700J2112,26.9 ,1,"45,927 "
620078542,インドメタシン坐剤２５ｍｇ「ＪＧ」,1145700J2016,19.3 ,0,"43,462 "
621391601,レクトス注腸軟膏５０ｍｇ,1147700J5036,105.6 ,1,"43,038 "
660406097,ベギータ坐剤５０　５０ｍｇ,1147700J3017,19.3 ,1,"39,659 "
621939501,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,1147700J1146,19.3 ,1,"37,947 "
620001382,インドメタシン坐剤シオエ２５　２５ｍｇ,1145700J2016,19.3 ,0,"35,907 "
660406096,ベギータ坐剤２５　２５ｍｇ,1147700J2169,19.9 ,1,"31,458 "
621362808,ピロキシカム坐剤２０ｍｇ「ＪＧ」,1149701J1013,22.6 ,1,"29,683 "
620078541,インドメタシン坐剤２５「ＮＰ」　２５ｍｇ,1145700J2016,19.3 ,0,"29,374 "
620114603,ケトプロフェン坐剤５０ｍｇ「日新」,1149700J1116,23.4 ,1,"26,003 "
621362116,ジクロフェナクナトリウム坐剤１２．５ｍｇ「日医工」,1147700J1170,19.3 ,1,"24,999 "
660406108,ボナフェック坐剤１２．５　１２．５ｍｇ,1147700J1120,19.3 ,1,"24,965 "
620005282,バキソ坐剤２０ｍｇ,1149701J1102,141.1 ,0,"24,467 "
621362118,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＣＨ」,1147700J1162,19.3 ,1,"22,926 "
660407056,レイナノン坐剤７５　７５ｍｇ,1149700J2082,26.9 ,1,"19,054 "
661140168,アネオール坐剤７５　７５ｍｇ,1149700J2023,38.3 ,0,"18,949 "
621391501,レクトス注腸軟膏２５ｍｇ,1147700J4030,100.9 ,1,"18,727 "
622330800,ジクロフェナクナトリウム５０ｍｇ坐剤,1147700J3017,19.3 ,1,"18,659 "
661140225,インドメタシン坐剤２５「イセイ」　２５ｍｇ,1145700J2016,19.3 ,0,"18,429 "
621362356,ジクロフェナクナトリウム坐剤５０ｍｇ「タナベ」,1147700J3017,19.3 ,1,"17,740 "
661140020,インドメタシン坐剤　５０ｍｇ,1145700J3012,19.3 ,0,"16,939 "
661140251,インドメタシン坐剤５０「イセイ」　５０ｍｇ,1145700J3012,19.3 ,0,"16,188 "
622054402,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,1141700J1118,19.3 ,0,"15,061 "
661140167,アネオール坐剤５０　５０ｍｇ,1149700J1027,37.5 ,0,"14,028 "
660406115,メジェイド坐剤７５　７５ｍｇ,1149700J2066,26.9 ,1,"12,615 "
661140196,ボラボミン坐剤２５ｍｇ,1147700J2053,19.9 ,1,"12,128 "
661140019,インドメタシン坐剤　２５ｍｇ,1145700J2016,19.3 ,0,"11,987 "
621362109,ジクロフェナクＮａ坐剤１２．５ｍｇ「日新」,1147700J1197,19.3 ,1,"10,879 "
620078525,ミカメタン坐剤２５ｍｇ,1145700J2016,19.3 ,0,"10,279 "
620115402,ケトプロフェン坐剤７５ｍｇ「ＳＮ」,1149700J2120,26.9 ,1,"9,169 "
621953701,アセトアミノフェン坐剤小児用５０ｍｇ「ＴＹＫ」,1141700J1053,19.3 ,0,"9,156 "
620078630,ミカメタン坐剤５０ｍｇ,1145700J3012,19.3 ,0,"8,440 "
621968301,カロナール坐剤小児用５０　５０ｍｇ,1141700J1088,19.3 ,0,"7,699 "
660406114,メジェイド坐剤５０　５０ｍｇ,1149700J1060,23.4 ,1,"6,009 "
620078406,インドメタシン坐剤１２．５ｍｇ「ＪＧ」,1145700J1010,19.3 ,0,"5,468 "
621362225,ジクロフェナクＮａ坐剤２５ｍｇ「ツルハラ」,1147700J2240,19.9 ,1,"4,913 "
622440201,カロナール坐剤４００　４００ｍｇ,1141700J4028,46.6 ,0,"4,608 "
620001384,ボラボミン坐剤５０ｍｇ,1147700J3211,27.5 ,1,"4,490 "
621938202,アセトアミノフェン坐剤小児用５０ｍｇ「日新」,1141700J1126,19.3 ,0,"2,602 "
622131701,パラセタ坐剤小児用５０　５０ｍｇ,1141700J1100,19.3 ,0,"1,666 "
621577201,ジクロフェナクＮａ坐剤５０ｍｇ「ツルハラ」,1147700J3289,27.5 ,1,"1,556 "
661140255,インメシン坐剤５０　５０ｍｇ,1145700J3012,19.3 ,0,"1,463 "
660406095,ベギータ坐剤１２．５　１２．５ｍｇ,1147700J1111,19.3 ,1,"1,242 "
661140022,インドメタシン坐剤　１２．５ｍｇ,1145700J1010,19.3 ,0,-
620078604,インドメタシン坐剤５０ｍｇ「タナベ」,1145700J3012,19.3 ,0,-
620078504,インドメタシン坐剤２５ｍｇ「タナベ」,1145700J2016,19.3 ,0,-
661140228,インメシン坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,-
621362806,ピロキシカム坐剤２０ｍｇ「タイヨー」,1149701J1013,22.6 ,1,-
620006652,アルデイン坐剤２０ｍｇ,1149701J1013,22.6 ,1,-
620003463,ピロキシカム２０ｍｇ坐剤,1149701J1013,22.6 ,1,-
661140217,インデラニック坐剤２５　２５ｍｇ,1145700J2016,19.3 ,0,-
621362115,ジクロフェナクＮａ坐剤１２．５ｍｇ「ツルハラ」,1147700J1189,19.3 ,1,-
622163701,ニュープロパッチ９ｍｇ,1169700S3028,660.1 ,0,"4,116,933 "
622163801,ニュープロパッチ１３．５ｍｇ,1169700S4024,850.1 ,0,"3,290,228 "
622163601,ニュープロパッチ４．５ｍｇ,1169700S2021,428.4 ,0,"3,147,495 "
622163501,ニュープロパッチ２．２５ｍｇ,1169700S1025,278.0 ,0,"1,541,189 "
622085101,リバスタッチパッチ１８ｍｇ,1190700S4036,439.7 ,0,"7,597,539 "
622082401,イクセロンパッチ１８ｍｇ,1190700S4028,439.7 ,0,"6,738,250 "
622084901,リバスタッチパッチ９ｍｇ,1190700S2033,390.5 ,0,"3,833,232 "
622084801,リバスタッチパッチ４．５ｍｇ,1190700S1037,346.8 ,0,"2,892,177 "
622081701,イクセロンパッチ９ｍｇ,1190700S2025,390.5 ,0,"2,679,035 "
622085001,リバスタッチパッチ１３．５ｍｇ,1190700S3030,418.6 ,0,"2,158,667 "
622081601,イクセロンパッチ４．５ｍｇ,1190700S1029,346.8 ,0,"1,780,258 "
622082301,イクセロンパッチ１３．５ｍｇ,1190700S3021,418.6 ,0,"1,702,413 "
620003852,キシロカインゼリー２％,1214700P1054,7.9 ,0,"6,799,032 "
661210006,キシロカイン液「４％」,1214700Q1033,13.8 ,0,"681,944 "
620007571,アネトカインゼリー２％,1214700P1062,5.1 ,1,"445,118 "
620007779,ペンレステープ１８ｍｇ　３０．５ｍｍ×５０．０ｍｍ,1214701S1051,48.1 ,0,"149,882 "
620006542,ユーパッチテープ１８ｍｇ　３０．５ｍｍ×５０．０ｍｍ,1214701S1043,35.0 ,1,"123,965 "
620003854,キシロカインポンプスプレー８％,1214701R1050,23.6 ,1,"54,620 "
622133301,リドカインテープ１８ｍｇ「ニプロ」　３０．５ｍｍ×５０．０ｍｍ,1214701S1078,35.0 ,1,"47,502 "
622138101,エムラクリーム,1219800N1023,176.8 ,0,"5,820 "
621395001,リドカイン塩酸塩ゼリー２％「日新」,1214700P1070,5.1 ,1,"2,715 "
622125101,リドカインテープ１８ｍｇ「ＮＰ」　３０．５ｍｍ×５０．０ｍｍ,1214701S1060,35.0 ,1,"2,243 "
620006455,テーカイン原末,1211700X1036,265.8 ,0,-
660453030,パートランゼリー２％,1214700P1046,5.1 ,1,-
621395101,リドカインポンプスプレー８％「日新」,1214701R1068,23.6 ,1,-
620003853,キシロカイン点眼液４％,1214700Q1041,16.2 ,0,-
620008550,プロカイン塩酸塩原末「マルイシ」,1211701X1090,20.1 ,0,-
661210013,ジブカイン塩酸塩,1213700X1014,370.3 ,0,-
620006657,ペルカミン原末,1213700X1014,370.3 ,0,-
622104901,ムコスタ点眼液ＵＤ２％　０．３５ｍＬ,1319760Q1029,27.1 ,0,"165,330,651 "
620004365,パタノール点眼液０．１％,1319752Q1024,197.5 ,0,"55,773,287 "
620006407,カリーユニ点眼液０．００５％　５ｍＬ,1319706Q3035,63.7 ,1,"39,578,027 "
620007773,プロラノン点眼液０．１％,1319724Q1154,29.3 ,1,"29,244,715 "
620007764,フルメトロン点眼液０．１％,1315704Q3126,67.4 ,0,"26,998,730 "
620004816,ヒアレイン点眼液０．１％　５ｍＬ,1319720Q3078,431.8 ,0,"23,500,486 "
622279001,アレジオン点眼液０．０５％,1319762Q1028,382.7 ,0,"23,295,630 "
