"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
611170508,ソラナックス０．４ｍｇ錠,錠,1124023F1037,8.5 ,0,"151,572,788 "
610443047,マイスリー錠５ｍｇ,錠,1129009F1025,40.6 ,0,"146,276,248 "
611120055,ハルシオン０．２５ｍｇ錠,錠,1124007F2026,13.8 ,0,"95,719,129 "
610463223,レンドルミンＤ錠０．２５ｍｇ,錠,1124009F2025,24.3 ,0,"91,443,941 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,錠,1124022F1083,5.0 ,1,"91,136,573 "
610443048,マイスリー錠１０ｍｇ,錠,1129009F2021,65.0 ,0,"90,783,746 "
620004625,レンドルミン錠０．２５ｍｇ,錠,1124009F1223,24.3 ,0,"83,408,742 "
620049901,アルプラゾラム錠０．４ｍｇ「サワイ」,錠,1124023F1118,5.6 ,1,"79,464,014 "
611170470,ワイパックス錠０．５　０．５ｍｇ,錠,1124022F1067,5.8 ,0,"71,629,862 "
610422093,グッドミン錠０．２５ｍｇ,錠,1124009F1037,9.9 ,1,"63,994,107 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,錠,1124008F1067,5.6 ,1,"61,376,150 "
611170689,メイラックス錠１ｍｇ,錠,1124029F1026,20.1 ,0,"58,827,325 "
611170005,２ｍｇセルシン錠,錠,1124017F2135,5.9 ,0,"58,510,304 "
611170499,コンスタン０．４ｍｇ錠,錠,1124023F1029,8.7 ,0,"52,832,496 "
611170435,レキソタン錠２　２ｍｇ,錠,1124020F2030,5.8 ,0,"51,849,120 "
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,錠,1124009F2076,9.9 ,1,"49,999,384 "
611120097,ロヒプノール錠１　１ｍｇ,錠,1124008F1032,13.3 ,0,"46,024,503 "
622148801,ルネスタ錠１ｍｇ,錠,1129010F1028,51.0 ,0,"45,925,394 "
620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,錠,1124023F1100,5.6 ,1,"43,270,331 "
622148901,ルネスタ錠２ｍｇ,錠,1129010F2024,80.9 ,0,"41,876,553 "
610463174,フルニトラゼパム錠２ｍｇ「アメル」,錠,1124008F2012,5.8 ,1,"41,552,426 "
