"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,ｍＬＶ,1119401A1036,117.0 ,0,"1,727,741 "
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,管,1119402A1030,734.0 ,1,"1,369,759 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,筒,1119402G2021,"1,920.0 ",0,"1,220,443 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,瓶,1119402A2037,"1,016.0 ",1,"573,424 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,筒,1119402G1025,"1,356.0 ",0,"169,819 "
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,瓶,1119402A3025,"1,540.0 ",1,"156,714 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3019,476.0 ,0,"140,795 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,管,1119402A1022,"1,171.0 ",0,"109,990 "
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,瓶,1119402A2029,"1,712.0 ",0,"107,195 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,管,1115400X2015,"1,071.0 ",0,"105,952 "
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,瓶,1119402A2134,772.0 ,1,"90,346 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,管,1119402A1103,734.0 ,1,"89,492 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,管,1119400A3026,287.0 ,0,"82,948 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,管,1115400X1019,872.0 ,0,"79,253 "
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,瓶,1119402A5028,"1,540.0 ",1,"68,894 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,瓶,1119400A1031,705.0 ,0,"61,524 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,管,1119402A1111,734.0 ,1,"39,005 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,管,1119402A1073,734.0 ,1,"29,645 "
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,瓶,1119402A3084,"1,540.0 ",1,"24,687 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,瓶,1119402A2142,"1,016.0 ",1,"20,908 "
620002989,プロポフォール注１％「Ｆ」　２００ｍｇ２０ｍＬ,瓶,1119402A4021,734.0 ,1,"20,187 "
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,瓶,1119402A2100,"1,016.0 ",1,"15,328 "
620008171,１％ディプリバン注　１ｇ１００ｍＬ,瓶,1119402A3033,"1,781.0 ",0,"15,058 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3019,476.0 ,0,"9,216 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,瓶,1115403D4015,460.0 ,0,"5,917 "
620002990,プロポフォール注１％「Ｆ」　５００ｍｇ５０ｍＬ,瓶,1119402A2053,"1,016.0 ",1,"4,681 "
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,瓶,1119400A2038,"1,501.0 ",0,"3,962 "
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,瓶,1115403D3019,476.0 ,0,"3,533 "
622255301,１％ディプリバン注　２００ｍｇ２０ｍＬ,瓶,1119402A4056,"1,171.0 ",0,"1,940 "
622224202,プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,瓶,1119402A3092,"1,540.0 ",1,"1,400 "
622207301,プロポフォール１％静注１００ｍＬ「日医工」　１ｇ,瓶,1119402A3050,"1,540.0 ",1,"1,044 "
641110010,注射用チオペンタールナトリウム　５００ｍｇ,管,1115400X2015,"1,071.0 ",0,804 
641110009,注射用チオペンタールナトリウム　３００ｍｇ,管,1115400X1019,872.0 ,0,454 
620005677,注射用チアミラールナトリウム　３００ｍｇ（溶解液付）,瓶,1115403D4015,460.0 ,0,-
622121401,プロポフォール注１％「Ｆ」　１ｇ１００ｍＬ,瓶,1119402A3041,"1,540.0 ",1,-
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,管,1124401A1060,69.0 ,1,"2,212,653 "
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,管,1124401A1052,124.0 ,0,"1,647,403 "
620001913,プレセデックス静注液２００μｇ「マルイシ」　２ｍＬ,瓶,1129400A1038,"5,183.0 ",0,"566,208 "
621837101,ミダゾラム注射液１０ｍｇ「テバ」　２ｍＬ,管,1124401A1087,69.0 ,1,"530,373 "
620003264,プレセデックス静注液２００μｇ「ホスピーラ」　２ｍＬ,瓶,1129400A1046,"5,122.0 ",0,"452,924 "
641170026,ホリゾン注射液１０ｍｇ,管,1124402A2045,93.0 ,0,"250,017 "
640454022,セルシン注射液１０ｍｇ,管,1124402A2053,93.0 ,0,"235,129 "
620003835,ロヒプノール静注用２ｍｇ,管,1124400A1040,139.0 ,0,"210,518 "
640454021,セルシン注射液５ｍｇ,管,1124402A1030,64.0 ,0,"116,814 "
620005164,サイレース静注２ｍｇ,管,1124400A1058,154.0 ,0,"115,195 "
620008232,ミダゾラム注射液１０ｍｇ「タイヨー」　２ｍＬ,管,1124401A1079,69.0 ,1,"102,649 "
620005169,ジアゼパム注射液１０ｍｇ「タイヨー」,管,1124402A2061,58.0 ,1,"86,228 "
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,管,1125402A1054,73.0 ,0,"83,201 "
621711302,プレセデックス静注液２００μｇ「ファイザー」　２ｍＬ,瓶,1129400A1054,"5,122.0 ",0,"22,496 "
622103701,ジアゼパム注射液５ｍｇ「タイヨー」,管,1124402A1049,56.0 ,1,"17,261 "
620004156,注射用アイオナール・ナトリウム（０．２）　２００ｍｇ,瓶,1125401D2028,233.0 ,0,"3,260 "
622308401,イーケプラ点滴静注５００ｍｇ　５ｍＬ,瓶,1139402A1025,"1,978.0 ",0,"464,134 "
620000188,アレビアチン注２５０ｍｇ　５％５ｍＬ,管,1132400A1033,128.0 ,0,"184,689 "
622093701,ホストイン静注７５０ｍｇ　１０ｍＬ,瓶,1132401A1020,"6,361.0 ",0,"145,318 "
620008567,ノーベルバール静注用２５０ｍｇ,瓶,1139400F1023,"2,119.0 ",0,"37,546 "
622370301,ミダフレッサ静注０．１％　１０ｍｇ１０ｍＬ,瓶,1139401A1020,"3,340.0 ",0,"27,366 "
622267401,アセリオ静注液１０００ｍｇ　１，０００ｍｇ１００ｍＬ,瓶,1141400A1024,332.0 ,0,"4,348,903 "
620006355,ロピオン静注５０ｍｇ　５ｍＬ,管,1149407A1040,229.0 ,0,"2,578,287 "
641140051,ソセゴン注射液１５ｍｇ,管,1149401A1027,65.0 ,0,"1,401,215 "
620004717,ノイロトロピン注射液３．６単位　３ｍＬ,管,1149601A2062,163.0 ,0,"1,038,307 "
641140070,ペンタジン注射液１５　１５ｍｇ,管,1149401A1051,64.0 ,0,"925,719 "
620003245,レペタン注０．２ｍｇ,管,1149403A1050,137.0 ,0,"315,785 "
641140136,メチロン注２５％　１ｍＬ,管,1144400A2014,92.0 ,0,"163,357 "
622525501,アセリオ静注液１０００ｍｇバッグ　１，０００ｍｇ１００ｍＬ,袋,1141400A2020,332.0 ,0,"108,365 "
620004651,カピステン筋注５０ｍｇ,管,1149402A1056,123.0 ,0,"92,870 "
620000258,トラマール注１００　１００ｍｇ,管,1149400A1049,99.0 ,0,"82,449 "
620111101,ザルソロイチン静注２０ｍＬ,管,1149500A1128,58.0 ,1,"78,387 "
620005153,カシワドール静注　２０ｍＬ,管,1149500A1110,77.0 ,0,"77,312 "
641140052,ソセゴン注射液３０ｍｇ,管,1149401A2023,126.0 ,0,"62,889 "
620006217,カシロン静注１０ｍＬ,管,1149501A1122,60.0 ,1,"57,799 "
620001936,ネオビタカイン注シリンジ５ｍＬ,筒,1149503G1027,347.0 ,0,"55,348 "
640412048,ナブトピン注　３ｍＬ,管,1149601A2046,80.0 ,1,"49,478 "
620003246,レペタン注０．３ｍｇ,管,1149403A2057,203.0 ,0,"38,378 "
641140146,メチロン注２５％　２ｍＬ,管,1144400A3126,95.0 ,0,"36,466 "
620109703,ケトプロフェン筋注５０ｍｇ「日新」,管,1149402A1080,56.0 ,1,"34,986 "
641140071,ペンタジン注射液３０　３０ｍｇ,管,1149401A2058,127.0 ,0,"28,039 "
621217201,ザルソロイチン静注１０ｍＬ,管,1149501A1130,60.0 ,1,"27,273 "
620006232,ザルソロン静注５００ｍｇ　５％１０ｍＬ,管,1143400A2114,58.0 ,1,"26,991 "
620008930,ヘパルス静注０．５ｇ　５％１０ｍＬ,管,1143400A2130,58.0 ,1,"25,679 "
620074401,サリチル酸ナトリウム静注０．５ｇ「日新」　５％１０ｍＬ,管,1143400A2149,58.0 ,1,"24,185 "
620003776,ネオビタカイン注５ｍＬ,管,1149503A1083,224.0 ,0,"22,931 "
