"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,ｍＬＶ,1119401A1036,117.0 ,0,-
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,管,1119400A3026,287.0 ,0,-
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,瓶,1119400A2038,"1,501.0 ",0,-
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,瓶,1119400A1031,705.0 ,0,-
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,管,1124401A1052,124.0 ,0,"2,632 "
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,管,1124401A1060,69.0 ,1,-
640454022,セルシン注射液１０ｍｇ,管,1124402A2053,93.0 ,0,-
620005164,サイレース静注２ｍｇ,管,1124400A1058,154.0 ,0,-
620003835,ロヒプノール静注用２ｍｇ,管,1124400A1040,139.0 ,0,-
640454021,セルシン注射液５ｍｇ,管,1124402A1030,64.0 ,0,-
641170026,ホリゾン注射液１０ｍｇ,管,1124402A2045,93.0 ,0,-
621837101,ミダゾラム注射液１０ｍｇ「テバ」　２ｍＬ,管,1124401A1087,69.0 ,1,-
622103701,ジアゼパム注射液５ｍｇ「タイヨー」,管,1124402A1049,56.0 ,1,-
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,管,1125402A1054,73.0 ,0,-
622308401,イーケプラ点滴静注５００ｍｇ　５ｍＬ,瓶,1139402A1025,"1,978.0 ",0,-
620000188,アレビアチン注２５０ｍｇ　５％５ｍＬ,管,1132400A1033,128.0 ,0,-
620003245,レペタン注０．２ｍｇ,管,1149403A1050,137.0 ,0,"5,600 "
620006355,ロピオン静注５０ｍｇ　５ｍＬ,管,1149407A1040,229.0 ,0,"4,616 "
620003246,レペタン注０．３ｍｇ,管,1149403A2057,203.0 ,0,"4,300 "
622267401,アセリオ静注液１０００ｍｇ　１，０００ｍｇ１００ｍＬ,瓶,1141400A1024,332.0 ,0,"1,969 "
620004717,ノイロトロピン注射液３．６単位　３ｍＬ,管,1149601A2062,163.0 ,0,-
641140136,メチロン注２５％　１ｍＬ,管,1144400A2014,92.0 ,0,-
641140146,メチロン注２５％　２ｍＬ,管,1144400A3126,95.0 ,0,-
620005153,カシワドール静注　２０ｍＬ,管,1149500A1110,77.0 ,0,-
620004651,カピステン筋注５０ｍｇ,管,1149402A1056,123.0 ,0,-
641140051,ソセゴン注射液１５ｍｇ,管,1149401A1027,65.0 ,0,-
620111101,ザルソロイチン静注２０ｍＬ,管,1149500A1128,58.0 ,1,-
622525501,アセリオ静注液１０００ｍｇバッグ　１，０００ｍｇ１００ｍＬ,袋,1141400A2020,332.0 ,0,-
622149301,アポカイン皮下注３０ｍｇ　３ｍＬ,筒,1169400G1028,"7,766.0 ",0,"21,310 "
620008890,ドパストン静注５０ｍｇ　０．２５％２０ｍＬ,管,1164400A2041,270.0 ,0,"1,297 "
620008889,ドパストン静注２５ｍｇ　０．２５％１０ｍＬ,管,1164400A1045,148.0 ,0,671 
620000243,タスモリン注５ｍｇ　０．５％１ｍＬ,管,1162400A1040,56.0 ,1,-
620005147,アキネトン注射液５ｍｇ　０．５％１ｍＬ,管,1162400A1059,58.0 ,0,-
620000242,セレネース注５ｍｇ　０．５％１ｍＬ,管,1179404A1070,89.0 ,0,"2,112 "
641170001,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）　２．５％１ｍＬ,管,1179401A1026,56.0 ,0,"1,895 "
620004718,ノバミン筋注５ｍｇ　０．５％１ｍＬ,管,1172404A1037,59.0 ,0,"1,096 "
641170002,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）　５％１ｍＬ,管,1179401A2022,59.0 ,0,-
641170056,コントミン筋注２５ｍｇ　０．５％５ｍＬ,管,1171400A2011,92.0 ,0,-
641170052,コントミン筋注１０ｍｇ　０．５％２ｍＬ,管,1171400A1015,92.0 ,0,-
622210701,ジプレキサ筋注用１０ｍｇ,瓶,1179408E1020,"2,126.0 ",0,-
622409701,エビリファイ持続性水懸筋注用４００ｍｇ　（懸濁用液付）,瓶,1179410E2023,"46,480.0 ",0,-
621974901,ラジカット点滴静注バッグ３０ｍｇ　１００ｍＬ,キット,1190401G1026,"5,115.0 ",0,"17,551 "
640451014,ラジカット注３０ｍｇ　２０ｍＬ,管,1190401A1023,"5,115.0 ",0,"1,795 "
622044801,エダラボン点滴静注液３０ｍｇバッグ「明治」　１００ｍＬ,キット,1190401G1093,"1,879.0 ",1,-
641210105,静注用キシロカイン２％　５ｍＬ,管,1214401A5014,92.0 ,0,496 
641210018,マーカイン注０．２５％,ｍＬＶ,1214403A2022,14.7 ,0,-
621651601,リドカイン塩酸塩注２％「日新」　５ｍＬ,管,1214400A9066,58.0 ,1,-
641210023,リドカイン注射液　２％,ｍＬＶ,1214401A4018,14.0 ,0,-
640451001,アナペイン注２ｍｇ／ｍＬ　０．２％１００ｍＬ,袋,1214405A2021,"1,673.0 ",0,-
640443006,マーカイン注脊麻用０．５％等比重　４ｍＬ,管,1214403A5021,395.0 ,0,-
620007265,キシロカイン注ポリアンプ２％　１０ｍＬ,管,1214400H1055,140.0 ,0,-
640443005,マーカイン注脊麻用０．５％高比重　４ｍＬ,管,1214403A4025,395.0 ,0,-
620007264,キシロカイン注ポリアンプ２％　５ｍＬ,管,1214400A9058,78.0 ,0,-
641210065,１％塩酸プロカイン注射液「ニッシン」　５ｍＬ,管,1211401A6019,92.0 ,0,-
620002572,オリベス点滴用１％　２００ｍＬ,袋,1214404A2027,523.0 ,1,-
641210093,キシロカイン注射液０．５％,ｍＬＶ,1214401A1027,10.1 ,0,-
640451003,アナペイン注７．５ｍｇ／ｍＬ　０．７５％２０ｍＬ,管,1214405A4024,"1,138.0 ",0,-
641210103,リドカイン注「ＮＭ」２％,ｍＬＶ,1214401A4018,14.0 ,0,-
641210102,キシロカイン注射液２％,ｍＬＶ,1214401A4026,16.1 ,0,-
641210005,キシロカイン注射液「２％」エピレナミン（１：８０，０００）含有,ｍＬＶ,1214400A3025,16.0 ,0,-
620007263,キシロカイン注ポリアンプ１％　１０ｍＬ,管,1214400A8051,98.0 ,0,-
641210024,リドカイン注射液　２％５ｍＬ,管,1214401A5014,92.0 ,0,-
621537302,リドカイン塩酸塩注射液２％「ファイザー」　５ｍＬ,管,1214400A9074,58.0 ,1,-
620006354,ロキシーン注２ｍｇ　０．２％１ｍＬ,管,1229401A1089,56.0 ,0,-
620008364,オビソート注射用０．１ｇ　１００ｍｇ（溶解液付）,管,1232400X1015,364.0 ,0,-
620008403,硫酸Ｍｇ補正液１ｍＥｑ／ｍＬ　０．５モル２０ｍＬ,管,1244401A1018,93.0 ,0,"10,998 "
620008918,ブスコパン注２０ｍｇ　２％１ｍＬ,管,1242401A1315,58.0 ,0,"5,535 "
641240041,硫酸マグネシウム注射液　０．５モル２０ｍＬ,管,1244401A1018,93.0 ,0,527 
621669601,ブチルスコポラミン臭化物注２０ｍｇシリンジ「ＮＰ」　１ｍＬ,筒,1242401G1032,148.0 ,1,-
620005855,アトロピン硫酸塩注０．５ｍｇ「タナベ」　０．０５％１ｍＬ,管,1242405A1011,93.0 ,0,-
620004683,スコルパン注２０ｍｇ　２％１ｍＬ,管,1242401A1277,56.0 ,1,-
620007425,ハイスコ皮下注０．５ｍｇ　０．０５％１ｍＬ,管,1242400A1035,61.0 ,0,-
620008920,ブチルスコポラミン臭化物注２０ｍｇ「日医工」　２％１ｍＬ,管,1242401A1331,56.0 ,1,-
641160001,トラベルミン注　１ｍＬ,管,1339500A1025,65.0 ,0,-
622363401,レスピア静注・経口液６０ｍｇ　３ｍＬ,瓶,2115405A1021,810.0 ,0,898 
620004320,ジゴシン注０．２５ｍｇ　０．０２５％１ｍＬ,管,2113400A1016,92.0 ,0,426 
620005805,ネオフィリン注２５０ｍｇ　２．５％１０ｍＬ,管,2115400A1010,92.0 ,0,-
620003205,カコージンＤ注０．１％　２００ｍＬ,袋,2119402P1089,886.0 ,1,-
620008357,アミノフィリン静注液２５０ｍｇ「ツルハラ」　２．５％１０ｍＬ,管,2115400A1010,92.0 ,0,-
620001937,ネオフィリン注点滴用バッグ２５０ｍｇ　２５０ｍＬ,袋,2115404G1020,215.0 ,0,-
620008828,ジプロフィリン注３００ｍｇ「エーザイ」　１５％２ｍＬ,管,2115401A1201,62.0 ,0,-
620008805,エホチール注１０ｍｇ　１％１ｍＬ,管,2119401A1057,58.0 ,0,-
622395801,ネオフィリン注ＰＬ２５０ｍｇ　２．５％１０ｍＬ,管,2115404A1043,90.0 ,0,-
620002610,リドカイン静注用２％シリンジ「テルモ」　５ｍＬ,筒,2129409G1036,157.0 ,1,-
620005243,ワソラン静注５ｍｇ　０．２５％２ｍＬ,管,2129402A1040,263.0 ,0,-
620000339,ラシックス注２０ｍｇ,管,2139401A2137,61.0 ,0,"9,572 "
620271902,フロセミド注射液２０ｍｇ「日医工」,管,2139401A2196,57.0 ,1,"1,999 "
620272101,フロセミド注２０ｍｇ「テバ」,管,2139401A2200,57.0 ,1,"1,168 "
620004758,フロセミド注２０ｍｇ「トーワ」,管,2139401A2161,57.0 ,1,-
620008863,ソルダクトン静注用１００ｍｇ,管,2133400D1082,438.0 ,0,-
620000340,ラシックス注１００ｍｇ,管,2139401A1033,144.0 ,0,-
620008864,ソルダクトン静注用２００ｍｇ,管,2133400D2097,744.0 ,0,-
621782401,フロセミド注２０ｍｇシリンジ「テバ」　２ｍＬ,筒,2139401G1036,125.0 ,1,-
622327400,カンレノ酸カリウム２００ｍｇ注射用,管,2133400D2011,202.0 ,1,-
622098801,カンレノ酸カリウム静注用１００ｍｇ「サワイ」,瓶,2133400D4022,138.0 ,1,-
620267805,カンレノ酸カリウム静注用２００ｍｇ「サワイ」,瓶,2133400D3034,230.0 ,1,-
642140023,ペルジピン注射液１０ｍｇ　１０ｍＬ,管,2149400A2023,642.0 ,0,714 
620006199,イミグランキット皮下注３ｍｇ　０．５ｍＬ,筒,2160402G1026,"2,934.0 ",0,"82,494 "
640443001,イミグラン注３　３ｍｇ１ｍＬ,管,2160402A1023,"3,100.0 ",0,-
640407007,ハンプ注射用１０００　１，０００μｇ,瓶,2179400D1022,"2,017.0 ",0,-
622488901,レパーサ皮下注１４０ｍｇペン　１ｍＬ,キット,2189401G2026,"22,948.0 ",0,-
622471801,レパーサ皮下注１４０ｍｇシリンジ　１ｍＬ,筒,2189401G1020,"22,948.0 ",0,-
622262501,エポプロステノール静注用１．５ｍｇ「ＡＣＴ」,瓶,2190413F3055,"14,176.0 ",1,"184,698 "
640453085,静注用フローラン１．５ｍｇ,瓶,2190413F3020,"22,343.0 ",0,"165,661 "
640453083,静注用フローラン専用溶解液　５０ｍＬ,瓶,2190415A1020,"1,791.0 ",0,"115,819 "
622262301,エポプロステノール静注用０．５ｍｇ「ＡＣＴ」,瓶,2190413F2059,"7,474.0 ",1,"50,779 "
640453084,静注用フローラン０．５ｍｇ,瓶,2190413F2024,"11,150.0 ",0,"42,538 "
621976102,エポプロステノール静注用１．５ｍｇ「テバ」,瓶,2190413F3063,"14,176.0 ",1,"6,101 "
621976302,エポプロステノール静注用「テバ」専用溶解用液　５０ｍＬ,瓶,2190415A1054,894.0 ,1,"2,807 "
622121901,エポプロステノール静注用「Ｆ」専用溶解液　５０ｍＬ,瓶,2190415A1038,936.0 ,1,870 
622349701,トレプロスト注射液２００ｍｇ　２０ｍＬ,瓶,2190416A4023,"842,076.0 ",0,851 
640432002,静注用フローラン０．５ｍｇ　（溶解液付）,瓶,2190413F1028,"14,389.0 ",0,845 
622121801,エポプロステノール静注用１．５ｍｇ「Ｆ」,瓶,2190413F3039,"14,176.0 ",1,500 
640453086,静注用フローラン１．５ｍｇ　（溶解液付）,瓶,2190413F4027,"25,368.0 ",0,479 
622349601,トレプロスト注射液１００ｍｇ　２０ｍＬ,瓶,2190416A3027,"534,711.0 ",0,471 
622349501,トレプロスト注射液５０ｍｇ　２０ｍＬ,瓶,2190416A2020,"339,537.0 ",0,421 
622121701,エポプロステノール静注用０．５ｍｇ「Ｆ」,瓶,2190413F2032,"7,474.0 ",1,-
621975902,エポプロステノール静注用０．５ｍｇ「テバ」,瓶,2190413F2067,"7,474.0 ",1,-
620002974,ノバスタンＨＩ注１０ｍｇ／２ｍＬ,管,2190408A2034,"3,053.0 ",0,-
620002191,グリセオール注　２００ｍＬ,袋,2190501A4084,256.0 ,0,-
622262601,エポプロステノール静注用１．５ｍｇ「ＡＣＴ」　（溶解液付）,瓶,2190413F4051,"18,089.0 ",1,-
622349401,トレプロスト注射液２０ｍｇ　２０ｍＬ,瓶,2190416A1024,"186,277.0 ",0,-
621471902,アルプロスタジル注５μｇ「Ｆ」　１ｍＬ,管,2190406A1128,"1,514.0 ",1,-
640454028,ニコリンＨ注射液１ｇ　２５％４ｍＬ,管,2190404H5084,684.0 ,0,-
620003006,リプルキット注１０μｇ　２ｍＬ,筒,2190406G2046,"4,072.0 ",0,-
640454035,パルクス注１０μｇ　２ｍＬ,管,2190406A2051,"4,449.0 ",0,-
640454034,パルクス注５μｇ　１ｍＬ,管,2190406A1055,"2,739.0 ",0,-
622262401,エポプロステノール静注用０．５ｍｇ「ＡＣＴ」　（溶解液付）,瓶,2190413F1052,"8,414.0 ",1,-
620009612,２０％マンニットール注射液「ＹＤ」　５００ｍＬ,瓶,2190400A4014,560.0 ,0,-
620009506,アルプロスタジル注１０μｇ「サワイ」　２ｍＬ,管,2190406A2116,"1,540.0 ",1,-
620369101,グリセレブ配合点滴静注　２００ｍＬ,袋,2190501A4114,178.0 ,1,-
620002192,グリセオール注　３００ｍＬ,袋,2190501A6087,382.0 ,0,-
620009611,２０％マンニットール注射液「ＹＤ」　３００ｍＬ,瓶,2190400A3018,477.0 ,0,-
620002976,パルクス注ディスポ１０μｇ　２ｍＬ,筒,2190406G2038,"4,492.0 ",0,-
620009508,アルプロスタジル注１０μｇシリンジ「サワイ」　２ｍＬ,筒,2190406G2062,"1,648.0 ",1,-
620004406,シチコリン注５００ｍｇ／２ｍＬ「日医工」　２５％,管,2190404H4010,70.0 ,1,-
620370601,ナロキソン塩酸塩静注０．２ｍｇ「第一三共」　１ｍＬ,管,2219402A1030,929.0 ,0,-
642220020,エフェドリン塩酸塩注射液　４％１ｍＬ,管,2221400A2010,92.0 ,0,-
642220029,ヱフェドリン「ナガヰ」注射液４０ｍｇ　４％１ｍＬ,管,2221400A2010,92.0 ,0,-
620008900,ビソルボン注４ｍｇ　０．２％２ｍＬ,管,2234400A1062,57.0 ,0,"1,110 "
620005222,ブロムヘキシン塩酸塩注射液４ｍｇ「タイヨー」　０．２％２ｍＬ,管,2234400A1054,56.0 ,1,-
620002923,ガスター注射液２０ｍｇ　２ｍＬ,管,2325401A2027,232.0 ,0,"48,584 "
620003789,ファモチジン注射用２０ｍｇ「サワイ」,管,2325401D1086,123.0 ,1,"4,176 "
620002922,ガスター注射液１０ｍｇ　１ｍＬ,管,2325401A1020,146.0 ,0,"3,423 "
640451009,オメプラール注用２０　２０ｍｇ,瓶,2329403D1025,433.0 ,0,"3,322 "
620005709,ラニチジン注射液５０ｍｇ「タイヨー」　２．５％２ｍＬ,管,2325402A1041,74.0 ,1,"2,804 "
620002579,ザンタック注射液１００ｍｇ　２．５％４ｍＬ,管,2325402A2030,195.0 ,0,"2,270 "
620004427,タケプロン静注用３０ｍｇ,瓶,2329404F1020,477.0 ,0,"2,037 "
620005877,ラニチジン注５０ｍｇシリンジ「ＮＰ」　２ｍＬ,筒,2325402G1036,207.0 ,1,"1,857 "
620002578,ザンタック注射液５０ｍｇ　２．５％２ｍＬ,管,2325402A1033,113.0 ,0,"1,820 "
622063601,ファモチジン静注２０ｍｇ「日新」　２０ｍＬ,管,2325401A3031,123.0 ,1,"1,507 "
622036301,オメプラゾール注射用２０ｍｇ「日医工」,瓶,2329403D1068,265.0 ,1,"1,399 "
621622201,ファモチジン注射用２０ｍｇ「テバ」,管,2325401D1124,108.0 ,1,"1,192 "
642320013,タガメット注射液２００ｍｇ　１０％２ｍＬ,管,2325400A1077,137.0 ,0,"1,165 "
620005878,ラニチジン注１００ｍｇシリンジ「ＮＰ」　４ｍＬ,筒,2325402G2032,235.0 ,1,"1,147 "
622033301,オメプラゾール注用２０ｍｇ「ＮＰ」,瓶,2329403D1041,265.0 ,1,785 
620431906,シメチジン注射液２００ｍｇ「トーワ」　１０％２ｍＬ,管,2325400A1247,56.0 ,1,700 
620431902,シメチジン注射液２００ｍｇ「サワイ」　１０％２ｍＬ,管,2325400A1220,56.0 ,1,641 
622063501,ファモチジン静注１０ｍｇ「日新」　１０ｍＬ,管,2325401A4020,95.0 ,1,511 
621653001,ファモチジン注射用２０ｍｇ「日医工」,瓶,2325401D3046,123.0 ,1,410 
620003788,ファモチジン注射用１０ｍｇ「サワイ」,管,2325401D2040,95.0 ,1,-
621651001,ファモチジン注用２０ｍｇ「トーワ」,管,2325401D1132,108.0 ,1,-
621697702,ファモチジン静注２０ｍｇ「杏林」　２０ｍＬ,管,2325401A3040,123.0 ,1,-
620008917,ファモチジン注射用２０ｍｇ「タカタ」,管,2325401D1108,108.0 ,1,-
620005710,ラニチジン注射液１００ｍｇ「タイヨー」　２．５％４ｍＬ,管,2325402A2048,134.0 ,1,-
621645303,ファモチジン注射用２０ｍｇ「オーハラ」,管,2325401D1116,123.0 ,1,-
622000501,オメプラゾール注用２０ｍｇ「アメル」,瓶,2329403D1050,265.0 ,1,-
620432602,アルタット静注用７５ｍｇ,管,2325403D1069,209.0 ,0,-
620005174,ソルコセリル注２ｍＬ,管,2329604A1054,127.0 ,0,-
620004711,ドグマチール筋注５０ｍｇ,管,2329401A1100,92.0 ,0,-
622019802,オメプラゾール注用２０ｍｇ「ＴＹＫ」,瓶,2329403D1084,265.0 ,1,-
622040601,オメプラゾール静注用２０ｍｇ「サンド」,瓶,2329403D1076,265.0 ,1,-
620003796,プリンペラン注射液１０ｍｇ　０．５％２ｍＬ,管,2399401A1083,57.0 ,0,"25,279 "
620007226,エリーテン注１０ｍｇ／２ｍＬ　０．５％,管,2399401A1105,56.0 ,1,"1,750 "
620007386,テルペラン注射液１０ｍｇ　０．５％２ｍＬ,管,2399401A1113,56.0 ,1,-
620507802,メトクロプラミド注１０ｍｇ「テバ」　０．５％２ｍＬ,管,2399401A1130,56.0 ,1,-
621841401,グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＨＫ」,袋,2391400G1156,"1,978.0 ",1,-
622004201,ノルディトロピン　フレックスプロ注　１０ｍｇ,キット,2412402P7023,"90,097.0 ",0,"125,676 "
621998101,ジェノトロピンゴークイック注用１２ｍｇ,キット,2412402P5020,"92,353.0 ",0,"71,705 "
621283401,グロウジェクトＢＣ注射用８ｍｇ　（溶解液付）,筒,2412402L2038,"65,657.0 ",0,"53,040 "
620514304,ゴナトロピン注用５０００単位　５，０００単位,管,2413402X4137,573.0 ,0,"47,609 "
621998001,ジェノトロピンゴークイック注用５．３ｍｇ　５．３３ｍｇ,キット,2412402P4024,"37,306.0 ",0,"41,718 "
620008906,ヒューマトロープ注射用１２ｍｇ　（溶解液付）,筒,2412402L4049,"81,860.0 ",0,"36,051 "
620008905,ヒューマトロープ注射用６ｍｇ　（溶解液付）,筒,2412402L1031,"44,507.0 ",0,"27,035 "
622004101,ノルディトロピン　フレックスプロ注　５ｍｇ,キット,2412402P6027,"47,842.0 ",0,"19,280 "
620009108,ゴナールエフ皮下注ペン９００　９００国際単位１．５ｍＬ,筒,2413404G2028,"46,148.0 ",0,"10,409 "
622004301,ノルディトロピン　フレックスプロ注　１５ｍｇ,キット,2412402P8020,"133,557.0 ",0,"9,987 "
621561101,ジェノトロピンＴＣ注用１２ｍｇ　（溶解液付）,筒,2412402L4057,"78,592.0 ",0,"9,494 "
621282901,ジェノトロピンＴＣ注用５．３ｍｇ　５．３３ｍｇ（溶解液付）,筒,2412402D9038,"32,125.0 ",0,"8,004 "
620006206,ＨＣＧモチダ筋注用５千単位　５，０００単位,管,2413402X4110,573.0 ,0,"7,821 "
620009107,ゴナールエフ皮下注ペン４５０　４５０国際単位０．７５ｍＬ,筒,2413404G1021,"25,028.0 ",0,"6,263 "
620003472,ゴナールエフ皮下注用７５　７５国際単位（溶解液付）,瓶,2413404D1025,"3,806.0 ",0,"4,956 "
621283501,グロウジェクト注射用８ｍｇ　（溶解液付）,瓶,2412402L3050,"68,657.0 ",0,"4,355 "
620003473,ゴナールエフ皮下注用１５０　１５０国際単位（溶解液付）,瓶,2413404D2021,"5,723.0 ",0,"4,250 "
620006205,ＨＣＧモチダ筋注用３千単位　３，０００単位,管,2413402X3076,419.0 ,0,"4,044 "
622017201,ゴナールエフ皮下注ペン３００　３００国際単位０．５ｍＬ,筒,2413404G3024,"16,646.0 ",0,"4,004 "
620514201,ゴナトロピン筋注用３０００単位　３，０００単位,管,2413402X3084,419.0 ,0,"3,818 "
