"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,錠,1124009F2076,9.9,1,"5,536,296 "
622148801,ルネスタ錠１ｍｇ,錠,1129010F1028,51,0,"5,348,856 "
620006049,トリクロリールシロップ１０％,ｍＬ,1129004Q1031,11.1,0,"4,180,916 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,錠,1124022F1083,5,1,"3,974,419 "
610463174,フルニトラゼパム錠２ｍｇ「アメル」,錠,1124008F2012,5.8,1,"3,283,710 "
610453117,ベンザリン錠５　５ｍｇ,錠,1124003F2222,10.4,0,"3,209,303 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,錠,1124008F1067,5.6,1,"3,139,782 "
611170470,ワイパックス錠０．５　０．５ｍｇ,錠,1124022F1067,5.8,0,"3,045,068 "
610463223,レンドルミンＤ錠０．２５ｍｇ,錠,1124009F2025,24.3,0,"2,608,211 "
611120097,ロヒプノール錠１　１ｍｇ,錠,1124008F1032,13.3,0,"2,374,985 "
622148901,ルネスタ錠２ｍｇ,錠,1129010F2024,80.9,0,"2,292,374 "
610443047,マイスリー錠５ｍｇ,錠,1129009F1025,40.6,0,"2,186,388 "
611170005,２ｍｇセルシン錠,錠,1124017F2135,5.9,0,"1,922,386 "
611170508,ソラナックス０．４ｍｇ錠,錠,1124023F1037,8.5,0,"1,887,142 "
611120098,ロヒプノール錠２　２ｍｇ,錠,1124008F2039,19.6,0,"1,882,086 "
622137201,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「ＥＥ」,錠,1129009F3028,15.6,1,"1,832,645 "
611120055,ハルシオン０．２５ｍｇ錠,錠,1124007F2026,13.8,0,"1,726,923 "
610422093,グッドミン錠０．２５ｍｇ,錠,1124009F1037,9.9,1,"1,723,920 "
621671201,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,錠,1124009F2092,9.9,1,"1,695,120 "
611120063,フェノバール錠３０ｍｇ,錠,1125004F1023,6.9,0,"1,509,275 "
620004625,レンドルミン錠０．２５ｍｇ,錠,1124009F1223,24.3,0,"1,466,900 "
620049401,ロラゼパム錠１ｍｇ「サワイ」,錠,1124022F2110,5.6,1,"1,432,680 "
620000465,フェノバール散１０％,ｇ,1125003B2031,8.1,0,"1,429,530 "
611120081,ユーロジン２ｍｇ錠,錠,1124001F2029,14.4,0,"1,368,772 "
622168001,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「サワイ」,錠,1129009F3044,15.6,1,"1,262,223 "
611170435,レキソタン錠２　２ｍｇ,錠,1124020F2030,5.8,0,"1,223,003 "
611170471,ワイパックス錠１．０　１ｍｇ,錠,1124022F2071,10.4,0,"1,214,179 "
611120076,ベンザリン錠１０　１０ｍｇ,錠,1124003F3121,16.2,0,"1,180,753 "
611120087,サイレース錠１ｍｇ,錠,1124008F1024,14,0,"1,150,048 "
