,,,,,,
,,,,,,
"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
,,,,,,
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,ｍＬＶ,1119401A1036,112.0 ,0,"1,768,315 "
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,管,1119402A1030,648.0 ,1,"1,562,579 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,筒,1119402G2021,"1,754.0 ",0,"1,325,152 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,瓶,1119402A2037,877.0 ,1,"646,935 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,筒,1119402G1025,"1,249.0 ",0,"171,726 "
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,瓶,1119402A3025,"1,343.0 ",1,"162,078 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3019,463.0 ,0,"138,991 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,管,1119402A1103,555.0 ,1,"134,660 "
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,瓶,1119402A2134,697.0 ,1,"111,260 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,管,1119402A1022,"1,122.0 ",0,"98,450 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,管,1115400X2015,"1,028.0 ",0,"96,958 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,管,1119400A3026,287.0 ,0,"88,488 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,管,1115400X1019,851.0 ,0,"85,865 "
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,瓶,1119402A2029,"1,629.0 ",0,"80,673 "
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,瓶,1119402A5028,"1,343.0 ",1,"65,640 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,瓶,1119400A1031,705.0 ,0,"63,221 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,管,1119402A1111,648.0 ,1,"43,117 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,管,1119402A1073,648.0 ,1,"39,472 "
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,瓶,1119402A3084,"1,343.0 ",1,"26,478 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,瓶,1119402A2142,877.0 ,1,"15,551 "
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,瓶,1119402A2100,877.0 ,1,"12,783 "
620008171,１％ディプリバン注　１ｇ１００ｍＬ,瓶,1119402A3033,"1,660.0 ",0,"11,721 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3051,475.0 ,0,"9,249 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,瓶,1115403D4015,460.0 ,0,"5,724 "
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,瓶,1115403D3019,463.0 ,0,"3,502 "
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,瓶,1119400A2038,"1,501.0 ",0,"2,291 "
622224202,プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,瓶,1119402A3092,"1,343.0 ",1,"2,208 "
