"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
622086501,スープレン吸入麻酔液,ｍＬ,1119703G1024,42.9 ,0,"68,930,019 "
620006715,セボフルラン吸入麻酔液「マイラン」,ｍＬ,1119702G1054,40.4 ,1,"27,526,582 "
661110030,笑気ガス（住友精化）,ｇ,1116700X1010,3.1 ,0,"24,906,054 "
622526901,セボフルラン吸入麻酔液「ニッコー」,ｍＬ,1119702G1070,40.4 ,1,"24,313,096 "
661110023,マルワ亜酸化窒素,ｇ,1116700X1045,3.9 ,0,"19,100,527 "
661110006,亜酸化窒素,ｇ,1116700X1010,3.1 ,0,"15,336,936 "
620032201,セボフレン吸入麻酔液,ｍＬ,1119702G1062,49.2 ,0,"13,465,057 "
661110027,小池笑気,ｇ,1116700X1088,3.9 ,0,"13,287,707 "
620006769,液化亜酸化窒素（日産）,ｇ,1116700X1061,3.9 ,0,"12,521,668 "
620001380,液化亜酸化窒素（日本エア・リキード）,ｇ,1116700X1053,3.9 ,0,"5,870,105 "
660431001,アネスタ,ｇ,1116700X1010,3.1 ,0,"5,294,153 "
620032001,フォーレン吸入麻酔液,ｍＬ,1119701G1084,63.0 ,0,"217,079 "
621389402,イソフルラン吸入麻酔液「ファイザー」,ｍＬ,1119701G1092,25.2 ,1,"111,140 "
661110004,ハロタン,ｍＬ,1112700X1011,52.8 ,0,"5,803 "
661110007,麻酔用エーテル,ｍＬ,1114700X1016,9.4 ,0,-
661120010,ダイアップ坐剤４　４ｍｇ,個,1124701J1022,58.2 ,0,"98,951 "
661120011,ダイアップ坐剤６　６ｍｇ,個,1124701J2029,65.8 ,0,"97,178 "
661120012,ダイアップ坐剤１０　１０ｍｇ,個,1124701J3025,77.1 ,0,"89,894 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,個,1123700J2027,46.1 ,0,"42,801 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,個,1123700J1020,35.7 ,0,"39,715 "
661120009,ワコビタール坐剤５０　５０ｍｇ,個,1125700J4032,55.8 ,0,"36,982 "
620055901,セニラン坐剤３ｍｇ,個,1124700J1036,94.2 ,0,"24,507 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,筒,1123700X1023,369.1 ,0,"22,795 "
661120006,ワコビタール坐剤１００　１００ｍｇ,個,1125700J5039,71.0 ,0,"22,681 "
661120008,ワコビタール坐剤３０　３０ｍｇ,個,1125700J3028,44.9 ,0,"17,969 "
661120007,ワコビタール坐剤１５　１５ｍｇ,個,1125700J1025,31.5 ,0,"11,380 "
661120005,ルピアール坐剤５０　５０ｍｇ,個,1125700J4024,52.1 ,0,"10,473 "
661120003,ルピアール坐剤１００　１００ｍｇ,個,1125700J5020,65.1 ,0,"4,261 "
661120004,ルピアール坐剤２５　２５ｍｇ,個,1125700J2021,38.0 ,0,"3,693 "
661140080,ボルタレンサポ２５ｍｇ,個,1147700J2061,42.3 ,0,"1,062,856 "
661140081,ボルタレンサポ５０ｍｇ,個,1147700J3084,48.8 ,0,"855,300 "
620002622,アンヒバ坐剤小児用２００ｍｇ,個,1141700J3110,26.2 ,0,"666,065 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,個,1147700J2207,19.9 ,1,"461,449 "
621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,個,1147700J2231,19.9 ,1,"397,677 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,個,1147700J3238,19.9 ,1,"334,651 "
622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,個,1141700J3153,19.9 ,1,"294,470 "
621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,個,1147700J3254,19.9 ,1,"277,010 "
620002621,アンヒバ坐剤小児用１００ｍｇ,個,1141700J2130,19.3 ,0,"269,827 "
621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,個,1147700J2258,19.9 ,1,"216,256 "
621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,個,1147700J3270,19.9 ,1,"190,669 "
661140091,アルピニー坐剤２００　２００ｍｇ,個,1141700J3021,25.8 ,0,"184,953 "
661140198,ボンフェナック坐剤２５　２５ｍｇ,個,1147700J2088,19.9 ,1,"176,188 "
661140193,アデフロニックズポ２５　２５ｍｇ,個,1147700J2029,19.9 ,1,"167,269 "
661140201,アデフロニックズポ５０　５０ｍｇ,個,1147700J3033,19.9 ,1,"149,271 "
661140181,カロナール坐剤２００　２００ｍｇ,個,1141700J3048,26.5 ,0,"140,933 "
621362241,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,個,1147700J2223,19.9 ,1,"135,264 "
621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,個,1141700J3137,19.9 ,1,"127,766 "
661140079,ボルタレンサポ１２．５ｍｇ,個,1147700J1057,37.0 ,0,"113,405 "
661140207,ボンフェナック坐剤５０　５０ｍｇ,個,1147700J3106,19.9 ,1,"106,398 "
621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,個,1147700J3262,19.9 ,1,"92,305 "
660454001,アルピニー坐剤１００　１００ｍｇ,個,1141700J2092,19.3 ,0,"86,358 "
622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,個,1141700J2181,19.3 ,0,"64,153 "
620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,個,1141700J3161,19.9 ,1,"62,348 "
661140188,レペタン坐剤０．２ｍｇ,個,1149703J1020,158.7 ,0,"59,654 "
622057601,ノルスパンテープ５ｍｇ,枚,1149704S1020,"1,567.6 ",0,"58,746 "
661140216,インテバン坐剤２５　２５ｍｇ,個,1145700J2016,19.3 ,0,"56,964 "
661140242,インテバン坐剤５０　５０ｍｇ,個,1145700J3012,19.3 ,0,"41,690 "
621939501,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,個,1147700J1146,19.3 ,1,"35,925 "
622440201,カロナール坐剤４００　４００ｍｇ,個,1141700J4028,41.4 ,0,"35,862 "
661140180,カロナール坐剤１００　１００ｍｇ,個,1141700J2050,19.3 ,0,"32,088 "
621362116,ジクロフェナクナトリウム坐剤１２．５ｍｇ「日医工」,個,1147700J1170,19.3 ,1,"30,141 "
660453033,パラセタ坐剤２００　２００ｍｇ,個,1141700J3072,19.9 ,1,"27,461 "
621556901,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,個,1141700J2165,19.3 ,0,"27,399 "
661140190,アデフロニックズポ１２．５　１２．５ｍｇ,個,1147700J1022,19.3 ,1,"21,397 "
661140274,ボンフェナック坐剤１２．５　１２．５ｍｇ,個,1147700J1090,19.3 ,1,"19,627 "
661140189,レペタン坐剤０．４ｍｇ,個,1149703J2027,206.6 ,0,"17,254 "
620115402,ケトプロフェン坐剤７５ｍｇ「ＳＮ」,個,1149700J2120,23.1 ,1,"15,697 "
621362109,ジクロフェナクＮａ坐剤１２．５ｍｇ「日新」,個,1147700J1197,19.3 ,1,"15,196 "
622057701,ノルスパンテープ１０ｍｇ,枚,1149704S2027,"2,415.2 ",0,"13,519 "
620078542,インドメタシン坐剤２５ｍｇ「ＪＧ」,個,1145700J2016,19.3 ,0,"12,940 "
620114703,ケトプロフェン坐剤５０ｍｇ「ＪＧ」,個,1149700J1108,19.9 ,1,"12,331 "
620078653,インドメタシン坐剤５０「ＮＰ」　５０ｍｇ,個,1145700J3012,19.3 ,0,"10,614 "
620115303,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,個,1149700J2104,23.1 ,1,"10,285 "
621362118,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＣＨ」,個,1147700J1162,19.3 ,1,"9,922 "
661140020,インドメタシン坐剤　５０ｍｇ,個,1145700J3012,19.3 ,0,"9,737 "
660453032,パラセタ坐剤１００　１００ｍｇ,個,1141700J2084,19.3 ,0,"9,301 "
620078654,インドメタシン坐剤５０ｍｇ「ＪＧ」,個,1145700J3012,19.3 ,0,"9,267 "
661140092,アルピニー坐剤５０　５０ｍｇ,個,1141700J1029,19.3 ,0,"9,001 "
620072001,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,個,1141700J2190,19.3 ,0,"8,667 "
620078541,インドメタシン坐剤２５「ＮＰ」　２５ｍｇ,個,1145700J2016,19.3 ,0,"7,617 "
622054402,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,個,1141700J1118,19.3 ,0,"7,370 "
