"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
660431001,アネスタ,ｇ,1116700X1010,3.1 ,0,-
661120011,ダイアップ坐剤６　６ｍｇ,個,1124701J2029,65.8 ,0,"640,742 "
661120010,ダイアップ坐剤４　４ｍｇ,個,1124701J1022,58.2 ,0,"531,606 "
661120012,ダイアップ坐剤１０　１０ｍｇ,個,1124701J3025,77.1 ,0,"505,737 "
620055901,セニラン坐剤３ｍｇ,個,1124700J1036,94.2 ,0,"78,156 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,個,1123700J2027,46.1 ,0,"57,208 "
661120009,ワコビタール坐剤５０　５０ｍｇ,個,1125700J4032,55.8 ,0,"36,839 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,個,1123700J1020,35.7 ,0,"32,593 "
661120006,ワコビタール坐剤１００　１００ｍｇ,個,1125700J5039,71.0 ,0,"31,832 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,筒,1123700X1023,369.1 ,0,"27,985 "
661120008,ワコビタール坐剤３０　３０ｍｇ,個,1125700J3028,44.9 ,0,"27,396 "
661120007,ワコビタール坐剤１５　１５ｍｇ,個,1125700J1025,31.5 ,0,"7,092 "
661120005,ルピアール坐剤５０　５０ｍｇ,個,1125700J4024,52.1 ,0,"6,641 "
661120003,ルピアール坐剤１００　１００ｍｇ,個,1125700J5020,65.1 ,0,"4,524 "
661120004,ルピアール坐剤２５　２５ｍｇ,個,1125700J2021,38.0 ,0,"3,034 "
620002621,アンヒバ坐剤小児用１００ｍｇ,個,1141700J2130,19.3 ,0,"8,230,069 "
661140081,ボルタレンサポ５０ｍｇ,個,1147700J3084,48.8 ,0,"6,941,626 "
661140080,ボルタレンサポ２５ｍｇ,個,1147700J2061,42.3 ,0,"6,401,996 "
620002622,アンヒバ坐剤小児用２００ｍｇ,個,1141700J3110,26.2 ,0,"4,044,551 "
660454001,アルピニー坐剤１００　１００ｍｇ,個,1141700J2092,19.3 ,0,"3,011,855 "
621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,個,1147700J3270,19.9 ,1,"1,385,127 "
621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,個,1147700J3254,19.9 ,1,"1,376,131 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,個,1147700J3238,19.9 ,1,"1,303,548 "
661140201,アデフロニックズポ５０　５０ｍｇ,個,1147700J3033,19.9 ,1,"1,241,598 "
621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,個,1147700J2231,19.9 ,1,"1,180,795 "
