"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
611170508,ソラナックス０．４ｍｇ錠,錠,1124023F1037,8 ,0 ,"34,373,543 "
610443047,マイスリー錠５ｍｇ,錠,1129009F1025,37.0 ,0 ,"29,722,054 "
611120055,ハルシオン０．２５ｍｇ錠,錠,1124007F2026,13 ,0 ,"25,389,331 "
610443048,マイスリー錠１０ｍｇ,錠,1129009F2021,59 ,0 ,"22,769,618 "
620004625,レンドルミン錠０．２５ｍｇ,錠,1124009F1223,23 ,0 ,"22,203,867 "
610463223,レンドルミンＤ錠０．２５ｍｇ,錠,1124009F2025,23 ,0 ,"20,434,186 "
620049101,ロラゼパム錠０．５ｍｇ「サワイ」,錠,1124022F1083,5 ,1 ,"16,920,189 "
622148801,ルネスタ錠１ｍｇ,錠,1129010F1028,49 ,0 ,"15,641,571 "
611170499,コンスタン０．４ｍｇ錠,錠,1124023F1029,8 ,0 ,"15,026,243 "
611120087,サイレース錠１ｍｇ,錠,1124008F1024,13 ,0 ,"14,550,567 "
611170689,メイラックス錠１ｍｇ,錠,1124029F1026,17 ,0 ,"13,204,298 "
611170470,ワイパックス錠０．５　０．５ｍｇ,錠,1124022F1067,6 ,0 ,"13,011,324 "
611170005,２ｍｇセルシン錠,錠,1124017F2135,6 ,0 ,"12,886,990 "
611170435,レキソタン錠２　２ｍｇ,錠,1124020F2030,6 ,0 ,"12,016,189 "
621920901,ブロチゾラムＯＤ錠０．２５ｍｇ「サワイ」,錠,1124009F2076,10 ,1 ,"11,740,091 "
622148901,ルネスタ錠２ｍｇ,錠,1129010F2024,78 ,0 ,"11,470,796 "
620049901,アルプラゾラム錠０．４ｍｇ「サワイ」,錠,1124023F1118,6 ,1 ,"10,682,646 "
611170639,グランダキシン錠５０　５０ｍｇ,錠,1124026F1022,14 ,0 ,"10,450,766 "
610444126,フルニトラゼパム錠１ｍｇ「アメル」,錠,1124008F1067,6 ,1 ,"10,308,407 "
620006836,アルプラゾラム錠０．４ｍｇ「トーワ」,錠,1124023F1100,6 ,1 ,"9,799,821 "
620038001,トリアゾラム錠０．２５ｍｇ「日医工」,錠,1124007F2239,6 ,1 ,"9,296,470 "
620038802,ブロチゾラム錠０．２５ｍｇ「ヨシトミ」,錠,1124009F1398,10 ,1 ,"8,763,409 "
610453117,ベンザリン錠５　５ｍｇ,錠,1124003F2222,10 ,0 ,"8,620,141 "
611120088,サイレース錠２ｍｇ,錠,1124008F2020,15 ,0 ,"7,513,255 "
620039001,ブロチゾラム錠０．２５ｍｇ「トーワ」,錠,1124009F1347,10 ,1 ,"7,104,575 "
611120081,ユーロジン２ｍｇ錠,錠,1124001F2029,13 ,0 ,"6,858,725 "
610463174,フルニトラゼパム錠２ｍｇ「アメル」,錠,1124008F2047,6 ,1 ,"6,415,336 "
622141901,ゾルピデム酒石酸塩錠５ｍｇ「トーワ」,錠,1129009F1289,13 ,1 ,"6,337,849 "
620049801,アルプラゾラム錠０．４ｍｇ「アメル」,錠,1124023F1126,6 ,1 ,"5,868,229 "
611120111,アモバン錠７．５　７．５ｍｇ,錠,1129007F1026,18 ,0 ,"5,593,708 "
611170436,レキソタン錠５　５ｍｇ,錠,1124020F4032,12 ,0 ,"5,580,245 "
611120118,エバミール錠１．０　１ｍｇ,錠,1124010F1021,19 ,0 ,"5,187,923 "
620039501,ブロチゾラム錠０．２５ｍｇ「サワイ」,錠,1124009F1312,10 ,1 ,"5,058,522 "
611170159,セパゾン錠１　１ｍｇ,錠,1124014F1038,6 ,0 ,"5,036,666 "
620005022,セディール錠１０ｍｇ,錠,1129008F2035,27 ,0 ,"4,740,273 "
620003151,ジアゼパム錠２ｍｇ「アメル」,錠,1124017F2194,6 ,1 ,"4,712,958 "
620049401,ロラゼパム錠１ｍｇ「サワイ」,錠,1124022F2110,6 ,1 ,"4,709,484 "
620039402,ブロチゾラム錠０．２５ｍｇ「オーハラ」,錠,1124009F1304,10 ,1 ,"4,672,399 "
620039601,ブロチゾラム錠０．２５ｍｇ「アメル」,錠,1124009F1339,10 ,1 ,"4,654,604 "
620039901,ブロチゾラム錠０．２５ｍｇ「日医工」,錠,1124009F1355,10 ,1 ,"4,635,459 "
611120063,フェノバール錠３０ｍｇ,錠,1125004F1023,7 ,0 ,"4,284,225 "
620047101,セニラン錠２ｍｇ,錠,1124020F2048,6 ,1 ,"4,275,166 "
620053801,ロフラゼプ酸エチル錠１ｍｇ「サワイ」,錠,1124029F1123,7 ,1 ,"4,141,088 "
622276601,ブロチゾラムＯＤ錠０．２５ｍｇ「アメル」,錠,1124009F2084,10 ,1 ,"4,105,019 "
611120114,リスミー錠２ｍｇ,錠,1129006F2028,25 ,0 ,"3,666,006 "
611170471,ワイパックス錠１．０　１ｍｇ,錠,1124022F2071,10 ,0 ,"3,428,139 "
620059301,ゾピクロン錠７．５ｍｇ「サワイ」,錠,1129007F1123,7 ,1 ,"3,266,245 "
611170160,セパゾン錠２　２ｍｇ,錠,1124014F2034,6 ,0 ,"3,231,631 "
611170127,ジアゼパム錠２「トーワ」　２ｍｇ,錠,1124017F2054,6 ,1 ,"3,146,359 "
611170181,セレナール錠１０　１０ｍｇ,錠,1124013F2064,6 ,0 ,"3,122,521 "
622142001,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,錠,1129009F2285,21 ,1 ,"3,113,830 "
622168001,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「サワイ」,錠,1129009F3044,13 ,1 ,"2,968,474 "
620037301,トリアゾラム錠０．２５ｍｇ「日新」,錠,1124007F2263,6 ,1 ,"2,838,398 "
611170008,５ｍｇセルシン錠,錠,1124017F4049,9 ,0 ,"2,808,710 "
622279601,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「トーワ」,錠,1129009F3060,13 ,1 ,"2,777,444 "
622164601,ゾルピデム酒石酸塩錠５ｍｇ「ＮＰ」,錠,1129009F1017,10 ,1 ,"2,768,750 "
622156101,ゾルピデム酒石酸塩錠５ｍｇ「ＴＣＫ」,錠,1129009F1165,19 ,1 ,"2,637,811 "
620037802,トリアゾラム錠０．２５ｍｇ「テバ」,錠,1124007F2220,6 ,1 ,"2,542,897 "
611120080,ユーロジン１ｍｇ錠,錠,1124001F1022,8 ,0 ,"2,502,581 "
611120117,ハルシオン０．１２５ｍｇ錠,錠,1124007F1020,9 ,0 ,"2,465,201 "
620003588,ニトラゼパム錠５ｍｇ「トーワ」,錠,1124003F2249,5 ,1 ,"2,439,161 "
611170434,レキソタン錠１　１ｍｇ,錠,1124020F1025,6 ,0 ,"2,433,433 "
622174001,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,錠,1129009F1297,13 ,1 ,"2,431,142 "
620037601,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,錠,1124007F2204,6 ,1 ,"2,395,332 "
611170373,ホリゾン錠２ｍｇ,錠,1124017F2151,6 ,0 ,"2,383,171 "
621671201,ブロチゾラムＯＤ錠０．２５ｍｇ「テバ」,錠,1124009F2092,10 ,1 ,"2,262,119 "
611170126,ジアゼパム錠２「サワイ」　２ｍｇ,錠,1124017F2046,6 ,1 ,"2,261,075 "
620037205,トリアゾラム錠０．２５ｍｇ「ＣＨ」,錠,1124007F2247,6 ,1 ,"2,224,534 "
622153301,ゾルピデム酒石酸塩錠５ｍｇ「日新」,錠,1129009F1300,13 ,1 ,"2,181,715 "
622156201,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,錠,1129009F2161,32 ,1 ,"2,156,099 "
620047401,セニラン錠５ｍｇ,錠,1124020F4040,7 ,1 ,"2,154,270 "
622109101,フルニトラゼパム錠１ｍｇ「ＪＧ」,錠,1124008F1075,6 ,1 ,"2,137,629 "
622175801,ゾルピデム酒石酸塩錠５ｍｇ「杏林」,錠,1129009F1220,13 ,1 ,"2,136,023 "
620006049,トリクロリールシロップ１０％,ｍＬ,1129004Q1031,11 ,0 ,"2,124,548 "
620038401,フルニトラゼパム錠１ｍｇ「ＴＣＫ」,錠,1124008F1091,6 ,1 ,"2,115,354 "
620003152,ジアゼパム錠５ｍｇ「アメル」,錠,1124017F4200,6 ,1 ,"2,085,099 "
621361502,トフィソパム錠５０ｍｇ「サワイ」,錠,1124026F1332,6 ,1 ,"2,082,095 "
622170301,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,錠,1129009F1068,13 ,1 ,"2,069,821 "
611120148,ハルラック錠０．２５ｍｇ,錠,1124007F2107,6 ,1 ,"2,035,679 "
622167801,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,錠,1129009F1246,13 ,1 ,"2,030,246 "
622137201,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「ＥＥ」,錠,1129009F3028,13 ,1 ,"1,995,203 "
620004462,エリスパン錠０．２５ｍｇ,錠,1124019F1030,8 ,0 ,"1,992,614 "
622144101,ゾルピデム酒石酸塩錠５ｍｇ「アメル」,錠,1129009F1017,10 ,1 ,"1,972,460 "
610453023,エスタゾラム錠２ｍｇ「アメル」,錠,1124001F2037,10 ,1 ,"1,951,312 "
611120076,ベンザリン錠１０　１０ｍｇ,錠,1124003F3121,15 ,0 ,"1,886,937 "
621361522,トフィソパム錠５０ｍｇ「日医工」,錠,1124026F1324,6 ,1 ,"1,874,990 "
622176401,ゾルピデム酒石酸塩錠５ｍｇ「サンド」,錠,1129009F1017,10 ,1 ,"1,832,835 "
620006013,ゾピクロン錠７．５ｍｇ「トーワ」,錠,1129007F1107,7 ,1 ,"1,747,795 "
611120112,アモバン錠１０　１０ｍｇ,錠,1129007F2022,21 ,0 ,"1,735,208 "
611120113,リスミー錠１ｍｇ,錠,1129006F1021,16 ,0 ,"1,734,845 "
622153401,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,錠,1129009F2307,21 ,1 ,"1,728,340 "
620038901,ブロチゾラム錠０．２５ｍｇ「テバ」,錠,1124009F1371,10 ,1 ,"1,661,201 "
610463183,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」　０．２５ｍｇ,錠,1124009F1185,10 ,1 ,"1,638,208 "
621361508,トフィソパム錠５０ｍｇ「トーワ」,錠,1124026F1340,6 ,1 ,"1,609,477 "
622174101,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,錠,1129009F2293,21 ,1 ,"1,552,830 "
621210201,ロフラゼプ酸エチル錠１ｍｇ「トーワ」,錠,1124029F1131,7 ,1 ,"1,536,332 "
622148301,ゾルピデム酒石酸塩錠５ｍｇ「ファイザー」,錠,1129009F1319,13 ,1 ,"1,491,657 "
622149001,ルネスタ錠３ｍｇ,錠,1129010F3020,98 ,0 ,"1,490,218 "
622164701,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰ」,錠,1129009F2013,17 ,1 ,"1,451,453 "
611170690,メイラックス錠２ｍｇ,錠,1124029F2022,27 ,0 ,"1,443,053 "
620066201,デパケンＲ錠２００ｍｇ,錠,1139004G2063,16 ,0 ,"40,063,950 "
621997501,イーケプラ錠５００ｍｇ,錠,1139010F2020,201 ,0 ,"18,825,201 "
620003654,リボトリール錠０．５ｍｇ,錠,1139003F1040,9 ,0 ,"18,179,155 "
620007132,ランドセン錠０．５ｍｇ,錠,1139003F1059,9 ,0 ,"11,535,876 "
621748201,バルプロ酸Ｎａ徐放Ｂ錠２００ｍｇ「トーワ」,錠,1139004G2071,11 ,1 ,"11,214,957 "
611130101,テグレトール錠２００ｍｇ,錠,1139002F1062,10 ,0 ,"9,496,914 "
611130100,テグレトール錠１００ｍｇ,錠,1139002F2026,6 ,0 ,"9,363,460 "
610453094,バレリン錠２００ｍｇ,錠,1139004F2106,10 ,1 ,"6,421,478 "
620066101,デパケンＲ錠１００ｍｇ,錠,1139004G1040,10 ,0 ,"6,057,774 "
620008564,ラミクタール錠２５ｍｇ,錠,1139009F3024,87 ,0 ,"5,897,900 "
611130087,エクセグラン錠１００ｍｇ,錠,1139005F1023,27 ,0 ,"5,680,293 "
621997401,イーケプラ錠２５０ｍｇ,錠,1139010F1024,123 ,0 ,"5,317,269 "
620004028,バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,錠,1139004G2055,11 ,1 ,"4,450,278 "
620008565,ラミクタール錠１００ｍｇ,錠,1139009F4020,232 ,0 ,"4,262,911 "
620065701,デパケン錠２００ｍｇ,錠,1139004F2173,12 ,0 ,"4,199,867 "
620067201,ヒダントールＦ配合錠,錠,1139105X1035,6 ,0 ,"4,197,410 "
611130096,アレビアチン錠１００ｍｇ,錠,1132002F2017,13 ,0 ,"3,874,866 "
620006033,デパケンシロップ５％,ｍＬ,1139004Q1100,8 ,0 ,"3,493,351 "
610453041,カルバマゼピン錠２００ｍｇ「アメル」,錠,1139002F1070,7 ,1 ,"3,192,588 "
610421006,アレビアチン散１０％,ｇ,1132002B1019,12 ,0 ,"2,655,129 "
620002054,セレニカＲ錠２００ｍｇ,錠,1139004G2039,20 ,0 ,"2,495,161 "
622507901,ビムパット錠５０ｍｇ,錠,1139015F1027,215 ,0 ,"2,494,942 "
620003156,セレニカＲ顆粒４０％,ｇ,1139004D1052,34 ,0 ,"2,384,812 "
620062901,カルバマゼピン錠２００ｍｇ「フジナガ」,錠,1139002F1100,7 ,1 ,"2,351,135 "
620003655,リボトリール錠１ｍｇ,錠,1139003F2047,13 ,0 ,"2,301,264 "
610453040,カルバマゼピン錠１００ｍｇ「アメル」,錠,1139002F2042,6 ,1 ,"2,234,595 "
611130095,ヒダントール錠２５ｍｇ,錠,1132002F1010,12 ,0 ,"2,020,664 "
620063201,カルバマゼピン錠１００ｍｇ「フジナガ」,錠,1139002F2050,6 ,1 ,"1,896,224 "
620004350,ガバペン錠２００ｍｇ,錠,1139007F1022,40 ,0 ,"1,889,112 "
620004550,バレリンシロップ５％,ｍＬ,1139004Q1089,7 ,1 ,"1,868,292 "
622508001,ビムパット錠１００ｍｇ,錠,1139015F2023,351 ,0 ,"1,798,475 "
621210704,バルプロ酸ナトリウムシロップ５％「日医工」,ｍＬ,1139004Q1119,7 ,1 ,"1,770,254 "
622012302,バルプロ酸Ｎａ徐放Ｂ錠１００ｍｇ「トーワ」,錠,1139004G1059,7 ,1 ,"1,719,208 "
611130039,バレリン錠１００ｍｇ,錠,1139004F1045,9 ,1 ,"1,707,939 "
621390901,ゾニサミド錠１００ｍｇ「アメル」,錠,1139005F1040,17 ,1 ,"1,658,808 "
622254801,イーケプラドライシロップ５０％,ｇ,1139010R1020,221 ,0 ,"1,625,311 "
620005827,トピナ錠５０ｍｇ,錠,1139008F1027,88 ,0 ,"1,582,314 "
620007133,ランドセン錠１ｍｇ,錠,1139003F2055,14 ,0 ,"1,549,895 "
620003578,デパケン細粒４０％,ｇ,1139004C2061,22 ,0 ,"1,353,897 "
620007035,バルプロ酸ナトリウム錠２００ｍｇ「アメル」,錠,1139004F2165,6 ,1 ,"1,329,826 "
622484601,フィコンパ錠２ｍｇ,錠,1139014F1022,190 ,0 ,"1,276,194 "
620066301,バルプロ酸Ｎａシロップ５％「フジナガ」,ｍＬ,1139004Q1127,7 ,1 ,"1,204,223 "
610443011,マイスタン錠５ｍｇ,錠,1139006F1028,21 ,0 ,"1,129,198 "
622628001,ラモトリギン錠１００ｍｇ「トーワ」,錠,1139009F4063,92 ,1 ,"1,034,300 "
621748202,バルプロ酸ナトリウム徐放錠Ａ２００ｍｇ「トーワ」,錠,1139004G2080,10 ,1 ,"927,121 "
622627901,ラモトリギン錠２５ｍｇ「トーワ」,錠,1139009F3067,34 ,1 ,"914,328 "
620002065,テグレトール細粒５０％,ｇ,1139002C1082,22 ,0 ,"910,808 "
620003976,セレニカＲ錠４００ｍｇ,錠,1139004G3027,33 ,0 ,"803,412 "
610443012,マイスタン錠１０ｍｇ,錠,1139006F2024,36 ,0 ,"768,781 "
620065401,バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,錠,1139004F2190,10 ,1 ,"637,642 "
620065001,デパケン錠１００ｍｇ,錠,1139004F1096,10 ,0 ,"633,796 "
620003652,リボトリール細粒０．１％,ｇ,1139003C1044,13 ,0 ,"627,708 "
620067001,ヒダントールＤ配合錠,錠,1139103X1036,6 ,0 ,"601,409 "
620008563,ラミクタール錠小児用５ｍｇ,錠,1139009F2028,28 ,0 ,"569,333 "
610421009,アレビアチン錠２５ｍｇ,錠,1132002F1010,12 ,0 ,"549,564 "
622042801,バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,ｇ,1139004C2070,16 ,1 ,"547,503 "
622276201,バルプロ酸ナトリウムＳＲ錠１００ｍｇ「アメル」,錠,1139004G1067,7 ,1 ,"546,713 "
622629801,ラモトリギン錠２５ｍｇ「日医工」,錠,1139009F3075,34 ,1 ,"506,533 "
