"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,ｍＬＶ,1119401A1036,112 ,0 ,"1,799,506 "
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,管,1119402A1030,648.0 ,1 ,"1,600,997 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,筒,1119402G2021,"1,754 ",0 ,"1,405,661 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,瓶,1119402A2037,877 ,1 ,"634,345 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,筒,1119402G1025,"1,249 ",0 ,"176,168 "
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,瓶,1119402A3025,"1,343 ",1 ,"160,971 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,管,1119402A1103,555 ,1 ,"137,485 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3019,463 ,0 ,"133,833 "
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,瓶,1119402A2134,697 ,1 ,"111,630 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,管,1115400X2015,"1,028 ",0 ,"95,694 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,管,1119402A1022,"1,122 ",0 ,"93,943 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,管,1119400A3026,287 ,0 ,"92,306 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,管,1115400X1019,851 ,0 ,"81,490 "
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,瓶,1119402A2029,"1,629 ",0 ,"76,537 "
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,瓶,1119402A5028,"1,343 ",1 ,"69,833 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,瓶,1119400A1031,705 ,0 ,"59,188 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,管,1119402A1111,648 ,1 ,"44,754 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,管,1119402A1073,648 ,1 ,"40,599 "
621535801,プロポフォール静注１％５０ｍＬ「マルイシ」　５００ｍｇ,瓶,1119402A2150,770 ,1 ,"35,797 "
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,瓶,1119402A3084,"1,343 ",1 ,"27,785 "
621535701,プロポフォール静注１％２０ｍＬ「マルイシ」　２００ｍｇ,管,1119402A1120,594 ,1 ,"21,449 "
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,瓶,1119402A2100,877 ,1 ,"15,653 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,瓶,1119402A2142,877 ,1 ,"12,496 "
620008171,１％ディプリバン注　１ｇ１００ｍＬ,瓶,1119402A3033,"1,660 ",0 ,"11,438 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3051,475 ,0 ,"8,307 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,瓶,1115403D4015,460 ,0 ,"5,878 "
621535901,プロポフォール静注１％１００ｍＬ「マルイシ」　１ｇ,瓶,1119402A3106,"1,215 ",1 ,"5,523 "
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,瓶,1115403D3019,463 ,0 ,"2,598 "
622224202,プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,瓶,1119402A3092,"1,343 ",1 ,"2,482 "
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,瓶,1119400A2038,"1,501 ",0 ,"2,359 "
622207301,プロポフォール１％静注１００ｍＬ「日医工」　１ｇ,瓶,1119402A3050,"1,343 ",1 ,"1,228 "
641110010,注射用チオペンタールナトリウム　５００ｍｇ,管,1115400X2015,"1,028 ",0 ,914 
621700801,プロポフォール静注２％５０ｍＬ「マルイシ」　１ｇ,瓶,1119402A5036,"1,215 ",1 ,522 
641110009,注射用チオペンタールナトリウム　３００ｍｇ,管,1115400X1019,851 ,0 ,-
620005677,注射用チアミラールナトリウム　３００ｍｇ（溶解液付）,瓶,1115403D4015,460 ,0 ,-
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,管,1124401A1060,65 ,1 ,"2,288,016 "
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,管,1124401A1052,116 ,0 ,"1,258,118 "
621837101,ミダゾラム注射液１０ｍｇ「テバ」　２ｍＬ,管,1124401A1087,65 ,1 ,"940,956 "
622630901,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,筒,1129400G1022,"5,212 ",0 ,"317,759 "
622625801,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「マルイシ」,筒,1129400G1030,"5,413 ",0 ,"289,395 "
620005164,サイレース静注２ｍｇ,管,1124400A1058,141 ,0 ,"250,510 "
622667301,デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,筒,1129400G1049,"2,223 ",1 ,"215,202 "
641170026,ホリゾン注射液１０ｍｇ,管,1124402A2045,88 ,0 ,"198,192 "
640454022,セルシン注射液１０ｍｇ,管,1124402A2053,88 ,0 ,"186,438 "
620001913,プレセデックス静注液２００μｇ「マルイシ」　２ｍＬ,瓶,1129400A1038,"5,098 ",0 ,"180,665 "
621711302,プレセデックス静注液２００μｇ「ファイザー」　２ｍＬ,瓶,1129400A1054,"4,897 ",0 ,"133,260 "
620005169,ジアゼパム注射液１０ｍｇ「タイヨー」,管,1124402A2061,58 ,1 ,"106,158 "
640454021,セルシン注射液５ｍｇ,管,1124402A1030,62 ,0 ,"95,176 "
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,管,1125402A1054,72 ,0 ,"50,157 "
622667401,デクスメデトミジン静注液２００μｇ「ニプロ」　２ｍＬ,瓶,1129400A1070,"1,908 ",1 ,"30,136 "
622661401,デクスメデトミジン静注液２００μｇ「サンド」　２ｍＬ,瓶,1129400A1062,"1,908 ",1 ,"24,645 "
622103701,ジアゼパム注射液５ｍｇ「タイヨー」,管,1124402A1049,56 ,1 ,"20,626 "
620004156,注射用アイオナール・ナトリウム（０．２）　２００ｍｇ,瓶,1125401D2028,226 ,0 ,"2,992 "
622308401,イーケプラ点滴静注５００ｍｇ　５ｍＬ,瓶,1139402A1025,"1,972 ",0 ,"1,026,121 "
622093701,ホストイン静注７５０ｍｇ　１０ｍＬ,瓶,1132401A1020,"6,361 ",0 ,"113,848 "
