"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620000199,１％プロポフォール注「マルイシ」　２００ｍｇ２０ｍＬ,管,1119402A1030,648.0 ,1 ,"79,695 "
620008541,プロポフォール１％静注２０ｍＬ「日医工」　２００ｍｇ,管,1119402A1073,648 ,1 ,"22,909 "
620008359,イソゾール注射用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3019,463 ,0 ,"19,380 "
641110021,ラボナール注射用０．３ｇ　３００ｍｇ,管,1115400X1019,851 ,0 ,"15,786 "
640407085,１％ディプリバン注　２００ｍｇ２０ｍＬ,管,1119402A1022,"1,122 ",0 ,"13,811 "
641110022,ラボナール注射用０．５ｇ　５００ｍｇ,管,1115400X2015,"1,028 ",0 ,"13,032 "
621702402,プロポフォール１％静注２０ｍＬ「ファイザー」　２００ｍｇ,管,1119402A1111,648 ,1 ,"12,649 "
622339801,プロポフォール静注１％２０ｍＬ「ＦＫ」　２００ｍｇ,管,1119402A1103,555 ,1 ,"9,340 "
640451018,１％ディプリバン注－キット　５００ｍｇ５０ｍＬ,筒,1119402G2021,"1,754 ",0 ,"6,783 "
640451017,１％ディプリバン注－キット　２００ｍｇ２０ｍＬ,筒,1119402G1025,"1,249 ",0 ,"5,547 "
620002195,ケタラール静注用２００ｍｇ　２０ｍＬ,瓶,1119400A1031,705 ,0 ,"5,179 "
621984701,ケタラール静注用５０ｍｇ　５ｍＬ,管,1119400A3026,287 ,0 ,"5,007 "
620000200,１％プロポフォール注「マルイシ」　５００ｍｇ５０ｍＬ,瓶,1119402A2037,877 ,1 ,"4,773 "
621702502,プロポフォール１％静注５０ｍＬ「ファイザー」　５００ｍｇ,瓶,1119402A2142,877 ,1 ,"3,687 "
620003772,ドロレプタン注射液２５ｍｇ　２．５ｍｇ,ｍＬＶ,1119401A1036,112 ,0 ,"3,426 "
620000201,１％プロポフォール注「マルイシ」　１ｇ１００ｍＬ,瓶,1119402A3025,"1,343 ",1 ,"2,617 "
620009266,チトゾール注用０．３ｇ　３００ｍｇ（溶解液付）,瓶,1115403D4015,460 ,0 ,"1,445 "
622339901,プロポフォール静注１％５０ｍＬ「ＦＫ」　５００ｍｇ,瓶,1119402A2134,697 ,1 ,"1,409 "
620009267,チトゾール注用０．５ｇ　５００ｍｇ（溶解液付）,瓶,1115403D3051,475 ,0 ,873 
621535701,プロポフォール静注１％２０ｍＬ「マルイシ」　２００ｍｇ,管,1119402A1120,594 ,1 ,778 
620008542,プロポフォール１％静注５０ｍＬ「日医工」　５００ｍｇ,瓶,1119402A2100,877 ,1 ,658 
620002194,ケタラール筋注用５００ｍｇ　１０ｍＬ,瓶,1119400A2038,"1,501 ",0 ,-
640407086,１％ディプリバン注　５００ｍｇ５０ｍＬ,瓶,1119402A2029,"1,629 ",0 ,-
620002963,注射用チアミラールナトリウム　５００ｍｇ（溶解液付）,瓶,1115403D3019,463 ,0 ,-
620002972,２％プロポフォール注「マルイシ」　１ｇ５０ｍＬ,瓶,1119402A5028,"1,343 ",1 ,-
621535801,プロポフォール静注１％５０ｍＬ「マルイシ」　５００ｍｇ,瓶,1119402A2150,770 ,1 ,-
622340001,プロポフォール静注１％１００ｍＬ「ＦＫ」　１ｇ,瓶,1119402A3084,"1,343 ",1 ,-
641110010,注射用チオペンタールナトリウム　５００ｍｇ,管,1115400X2015,"1,028 ",0 ,-
622224202,プロポフォール１％静注１００ｍＬ「ファイザー」　１ｇ,瓶,1119402A3092,"1,343 ",1 ,-
641110009,注射用チオペンタールナトリウム　３００ｍｇ,管,1115400X1019,851 ,0 ,-
620005677,注射用チアミラールナトリウム　３００ｍｇ（溶解液付）,瓶,1115403D4015,460 ,0 ,-
621535901,プロポフォール静注１％１００ｍＬ「マルイシ」　１ｇ,瓶,1119402A3106,"1,215 ",1 ,-
620008171,１％ディプリバン注　１ｇ１００ｍＬ,瓶,1119402A3033,"1,660 ",0 ,-
621700801,プロポフォール静注２％５０ｍＬ「マルイシ」　１ｇ,瓶,1119402A5036,"1,215 ",1 ,-
622207301,プロポフォール１％静注１００ｍＬ「日医工」　１ｇ,瓶,1119402A3050,"1,343 ",1 ,-
620003228,ドルミカム注射液１０ｍｇ　２ｍＬ,管,1124401A1052,116 ,0 ,"1,160,403 "
620004200,ミダゾラム注１０ｍｇ「サンド」　２ｍＬ,管,1124401A1060,65 ,1 ,"864,256 "
620005164,サイレース静注２ｍｇ,管,1124400A1058,141 ,0 ,"492,727 "
621837101,ミダゾラム注射液１０ｍｇ「テバ」　２ｍＬ,管,1124401A1087,65 ,1 ,"423,090 "
640454022,セルシン注射液１０ｍｇ,管,1124402A2053,88 ,0 ,"420,233 "
640454021,セルシン注射液５ｍｇ,管,1124402A1030,62 ,0 ,"419,686 "
641170026,ホリゾン注射液１０ｍｇ,管,1124402A2045,88 ,0 ,"384,039 "
620005169,ジアゼパム注射液１０ｍｇ「タイヨー」,管,1124402A2061,58 ,1 ,"155,513 "
622103701,ジアゼパム注射液５ｍｇ「タイヨー」,管,1124402A1049,56 ,1 ,"39,715 "
620003795,フェノバール注射液１００ｍｇ　１０％１ｍＬ,管,1125402A1054,72 ,0 ,"13,961 "
622630901,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,筒,1129400G1022,"5,212 ",0 ,"1,103 "
620001913,プレセデックス静注液２００μｇ「マルイシ」　２ｍＬ,瓶,1129400A1038,"5,098 ",0 ,"1,058 "
621711302,プレセデックス静注液２００μｇ「ファイザー」　２ｍＬ,瓶,1129400A1054,"4,897 ",0 ,707 
620004156,注射用アイオナール・ナトリウム（０．２）　２００ｍｇ,瓶,1125401D2028,226 ,0 ,621 
622625801,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「マルイシ」,筒,1129400G1030,"5,413 ",0 ,536 
622667301,デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,筒,1129400G1049,"2,223 ",1 ,-
622667401,デクスメデトミジン静注液２００μｇ「ニプロ」　２ｍＬ,瓶,1129400A1070,"1,908 ",1 ,-
622661401,デクスメデトミジン静注液２００μｇ「サンド」　２ｍＬ,瓶,1129400A1062,"1,908 ",1 ,-
622308401,イーケプラ点滴静注５００ｍｇ　５ｍＬ,瓶,1139402A1025,"1,972 ",0 ,"20,849 "
622093701,ホストイン静注７５０ｍｇ　１０ｍＬ,瓶,1132401A1020,"6,361 ",0 ,"5,169 "
620000188,アレビアチン注２５０ｍｇ　５％５ｍＬ,管,1132400A1033,125 ,0 ,"3,273 "
620008567,ノーベルバール静注用２５０ｍｇ,瓶,1139400F1023,"2,119 ",0 ,948 
622370301,ミダフレッサ静注０．１％　１０ｍｇ１０ｍＬ,瓶,1139401A1020,"3,336 ",0 ,579 
622653401,ロラピタ静注２ｍｇ　１ｍＬ,瓶,1139403A1020,"2,225 ",0 ,-
622670501,ビムパット点滴静注２００ｍｇ　２０ｍＬ,瓶,1139404A1024,"4,252 ",0 ,-
620004717,ノイロトロピン注射液３．６単位　３ｍＬ,管,1149601A2062,160 ,0 ,"13,083,331 "
620001936,ネオビタカイン注シリンジ５ｍＬ,筒,1149503G1027,341 ,0 ,"5,016,944 "
620003776,ネオビタカイン注５ｍＬ,管,1149503A1083,223 ,0 ,"1,327,729 "
620004651,カピステン筋注５０ｍｇ,管,1149402A1056,118 ,0 ,"872,321 "
620111101,ザルソロイチン静注２０ｍＬ,管,1149500A1128,58 ,1 ,"781,831 "
