"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
661110030,笑気ガス（住友精化）,ｇ,1116700X1010,3 ,0 ,"660,823 "
620006769,液化亜酸化窒素（日産）,ｇ,1116700X1061,4 ,0 ,"584,124 "
661110023,マルワ亜酸化窒素,ｇ,1116700X1045,4 ,0 ,"559,564 "
661110027,小池笑気,ｇ,1116700X1088,4 ,0 ,"324,165 "
661110006,亜酸化窒素,ｇ,1116700X1010,3 ,0 ,"299,033 "
660431001,アネスタ,ｇ,1116700X1010,3 ,0 ,"244,155 "
620001380,液化亜酸化窒素（日本エア・リキード）,ｇ,1116700X1053,3.9 ,0 ,"186,320 "
620032201,セボフレン吸入麻酔液,ｍＬ,1119702G1062,49 ,0 ,"170,718 "
622526901,セボフルラン吸入麻酔液「ニッコー」,ｍＬ,1119702G1070,40 ,1 ,"71,690 "
622086501,スープレン吸入麻酔液,ｍＬ,1119703G1024,43 ,0 ,"68,162 "
620006715,セボフルラン吸入麻酔液「マイラン」,ｍＬ,1119702G1054,40 ,1 ,"64,266 "
620032001,フォーレン吸入麻酔液,ｍＬ,1119701G1084,63 ,0 ,-
661120011,ダイアップ坐剤６　６ｍｇ,個,1124701J2029,66 ,0 ,"134,844 "
661120010,ダイアップ坐剤４　４ｍｇ,個,1124701J1022,58 ,0 ,"109,330 "
661120012,ダイアップ坐剤１０　１０ｍｇ,個,1124701J3025,77 ,0 ,"50,540 "
661120001,エスクレ坐剤「２５０」　２５０ｍｇ,個,1123700J1020,36 ,0 ,"15,302 "
661120002,エスクレ坐剤「５００」　５００ｍｇ,個,1123700J2027,46 ,0 ,"14,212 "
620002623,エスクレ注腸用キット「５００」　５００ｍｇ,筒,1123700X1023,369 ,0 ,"11,857 "
661120009,ワコビタール坐剤５０　５０ｍｇ,個,1125700J4032,56 ,0 ,"5,822 "
620055901,セニラン坐剤３ｍｇ,個,1124700J1036,94 ,0 ,"3,437 "
661120008,ワコビタール坐剤３０　３０ｍｇ,個,1125700J3028,45 ,0 ,"2,427 "
661120006,ワコビタール坐剤１００　１００ｍｇ,個,1125700J5039,71 ,0 ,"2,016 "
661120007,ワコビタール坐剤１５　１５ｍｇ,個,1125700J1025,32 ,0 ,"1,090 "
661120005,ルピアール坐剤５０　５０ｍｇ,個,1125700J4024,52 ,0 ,"1,007 "
661120003,ルピアール坐剤１００　１００ｍｇ,個,1125700J5020,65 ,0 ,-
661120004,ルピアール坐剤２５　２５ｍｇ,個,1125700J2021,38 ,0 ,-
661140081,ボルタレンサポ５０ｍｇ,個,1147700J3084,49 ,0 ,"2,704,499 "
661140080,ボルタレンサポ２５ｍｇ,個,1147700J2061,42 ,0 ,"2,033,216 "
620002621,アンヒバ坐剤小児用１００ｍｇ,個,1141700J2130,19 ,0 ,"974,606 "
620002622,アンヒバ坐剤小児用２００ｍｇ,個,1141700J3110,26 ,0 ,"874,548 "
621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,個,1147700J3270,20 ,1 ,"567,191 "
660454001,アルピニー坐剤１００　１００ｍｇ,個,1141700J2092,19 ,0 ,"562,383 "
621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,個,1147700J3238,20 ,1 ,"482,968 "
661140091,アルピニー坐剤２００　２００ｍｇ,個,1141700J3021,26 ,0 ,"376,347 "
621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,個,1147700J2258,20 ,1 ,"344,895 "
621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,個,1147700J2207,20 ,1 ,"307,790 "
621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,個,1147700J3254,20 ,1 ,"245,709 "
661140201,アデフロニックズポ５０　５０ｍｇ,個,1147700J3033,20 ,1 ,"238,613 "
621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,個,1147700J2231,20 ,1 ,"179,359 "
661140181,カロナール坐剤２００　２００ｍｇ,個,1141700J3048,27 ,0 ,"179,334 "
622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,個,1141700J3153,20 ,1 ,"168,364 "
622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,個,1141700J2181,19 ,0 ,"161,666 "
661140180,カロナール坐剤１００　１００ｍｇ,個,1141700J2050,19 ,0 ,"154,012 "
661140193,アデフロニックズポ２５　２５ｍｇ,個,1147700J2029,20 ,1 ,"151,026 "
661140242,インテバン坐剤５０　５０ｍｇ,個,1145700J3012,19 ,0 ,"132,852 "
622057601,ノルスパンテープ５ｍｇ,枚,1149704S1020,"1,568 ",0 ,"109,597 "
661140207,ボンフェナック坐剤５０　５０ｍｇ,個,1147700J3106,20 ,1 ,"105,632 "
661140079,ボルタレンサポ１２．５ｍｇ,個,1147700J1057,37 ,0 ,"95,148 "
620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,個,1141700J3161,20 ,1 ,"88,773 "
620072001,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,個,1141700J2190,19 ,0 ,"87,155 "
620078654,インドメタシン坐剤５０ｍｇ「ＪＧ」,個,1145700J3012,19 ,0 ,"79,306 "
621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,個,1141700J3137,20 ,1 ,"66,237 "
661140198,ボンフェナック坐剤２５　２５ｍｇ,個,1147700J2088,20 ,1 ,"61,476 "
620002620,アンヒバ坐剤小児用５０ｍｇ,個,1141700J1045,19 ,0 ,"57,129 "
621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,個,1147700J3262,20 ,1 ,"56,531 "
