診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
effect_code,effect,code,name,measure,shusai_code,price,generic,total,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
111,全身麻酔剤,660431001,アネスタ,ｇ,1116700X1010,3.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120011,ダイアップ坐剤６　６ｍｇ,個,1124701J2029,65.8,0,640742.13,214552.13,91459,14031,8389,7063,5880,5801,4378,5346,3418,1066,-,1513,1954,3144,3341,3137,2928,1327,-,-,124884,58975,12155,6934,5231,5048,6863,5562,5965,4535,2736,1650,1657,1929,2402,3255,2530,4054,2855,1318,-
112,催眠鎮静剤，抗不安剤,661120010,ダイアップ坐剤４　４ｍｇ,個,1124701J1022,58.2,0,531606,238422.5,18050,4464,2461,2596,3145,1886,-,2310,1417,-,-,-,-,1295,1204,2561,1066,-,-,-,192113,14288.5,5547,4110,3105,3479,2615,3600,2133,1539,1041,1054,1280,1348,1316,1322,1351,2753,1641,-,-
112,催眠鎮静剤，抗不安剤,661120012,ダイアップ坐剤１０　１０ｍｇ,個,1124701J3025,77.1,0,505736.6,7649.5,35464,23957,28919,29246,21556,23937,21598,17851,12344,9925,5904,4877,4321,5775,5073,5385,3965,1761,-,-,4183,20792.8,18536,20607,21289,23625,21711,17137,18644,18722,7284,5946,4386,6694.3,4249,4140,6032,5103,4572,1816,-
112,催眠鎮静剤，抗不安剤,620055901,セニラン坐剤３ｍｇ,個,1124700J1036,94.2,0,78156,-,-,-,1098,-,-,-,-,-,-,1170,-,1292,2979,3931,5451,5182,4828,2317,-,-,-,-,-,1303,1173,-,-,-,2421,2213,1022,2848,1619,3718,3296,3385,4409,4551,4249,2136,-
112,催眠鎮静剤，抗不安剤,661120002,エスクレ坐剤「５００」　５００ｍｇ,個,1123700J2027,46.1,0,57208,-,3099,4809,5468,1516,3237,2037,3125,1434,1298,1471,-,1513,-,-,-,-,-,-,-,-,-,2738,1448,4884,2287,3012,2098,1047,1612,1266,-,-,-,-,-,-,-,-,1697,-,-
112,催眠鎮静剤，抗不安剤,661120009,ワコビタール坐剤５０　５０ｍｇ,個,1125700J4032,55.8,0,36839,-,1662,3309,1662,-,-,-,1449,2566,-,-,-,-,-,-,-,-,-,-,-,-,1301,2531,1775,-,1950,-,1112,-,1019,-,-,-,-,-,-,-,1310,1139,1679,-,-
112,催眠鎮静剤，抗不安剤,661120001,エスクレ坐剤「２５０」　２５０ｍｇ,個,1123700J1020,35.7,0,32593,1998,3356,2767,-,2040,1283,1606,1049,-,-,-,-,-,-,-,-,-,-,-,-,-,1422,2139,-,3345,-,-,-,-,-,-,-,2330,1070,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120006,ワコビタール坐剤１００　１００ｍｇ,個,1125700J5039,71,0,31832,-,1825,-,-,-,-,-,-,-,-,-,-,-,1224,1677,1576,1560,-,-,-,-,-,-,2242,-,-,-,-,-,-,1247,-,-,-,1309,1164,-,1080,1994,1514,-,-
112,催眠鎮静剤，抗不安剤,620002623,エスクレ注腸用キット「５００」　５００ｍｇ,筒,1123700X1023,369.1,0,27985,1074,2079,2267,3614,2236,-,1149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2297,3674,2224,1391,1159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120008,ワコビタール坐剤３０　３０ｍｇ,個,1125700J3028,44.9,0,27395.5,2507,1409,-,-,1474,-,-,3386,-,-,-,-,-,-,-,-,-,-,-,-,-,2931.5,1934,2444,-,-,1005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120007,ワコビタール坐剤１５　１５ｍｇ,個,1125700J1025,31.5,0,7092,1193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2597,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120005,ルピアール坐剤５０　５０ｍｇ,個,1125700J4024,52.1,0,6641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
