診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上
111,全身麻酔剤,660431001,アネスタ,ｇ,1116700X1010,3.1 ,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120011,ダイアップ坐剤６　６ｍｇ,個,1124701J2029,65.8 ,0,"640,742 ","214,552 ","91,459 ","14,031 ","8,389 ","7,063 ","5,880 ","5,801 ","4,378 ","5,346 ","3,418 ","1,066 ",-,"1,513 ","1,954 ","3,144 ","3,341 ","3,137 ","2,928 ","1,327 ",-,-,"124,884 ","58,975 ","12,155 ","6,934 ","5,231 ","5,048 ","6,863 ","5,562 ","5,965 ","4,535 ","2,736 ","1,650 ","1,657 ","1,929 ","2,402 ","3,255 ","2,530 ","4,054 ","2,855 ","1,318 ",-
,,661120010,ダイアップ坐剤４　４ｍｇ,個,1124701J1022,58.2 ,0,"531,606 ","238,423 ","18,050 ","4,464 ","2,461 ","2,596 ","3,145 ","1,886 ",-,"2,310 ","1,417 ",-,-,-,-,"1,295 ","1,204 ","2,561 ","1,066 ",-,-,-,"192,113 ","14,289 ","5,547 ","4,110 ","3,105 ","3,479 ","2,615 ","3,600 ","2,133 ","1,539 ","1,041 ","1,054 ","1,280 ","1,348 ","1,316 ","1,322 ","1,351 ","2,753 ","1,641 ",-,-
,,661120012,ダイアップ坐剤１０　１０ｍｇ,個,1124701J3025,77.1 ,0,"505,737 ","7,650 ","35,464 ","23,957 ","28,919 ","29,246 ","21,556 ","23,937 ","21,598 ","17,851 ","12,344 ","9,925 ","5,904 ","4,877 ","4,321 ","5,775 ","5,073 ","5,385 ","3,965 ","1,761 ",-,-,"4,183 ","20,793 ","18,536 ","20,607 ","21,289 ","23,625 ","21,711 ","17,137 ","18,644 ","18,722 ","7,284 ","5,946 ","4,386 ","6,694 ","4,249 ","4,140 ","6,032 ","5,103 ","4,572 ","1,816 ",-
,,620055901,セニラン坐剤３ｍｇ,個,1124700J1036,94.2 ,0,"78,156 ",-,-,-,"1,098 ",-,-,-,-,-,-,"1,170 ",-,"1,292 ","2,979 ","3,931 ","5,451 ","5,182 ","4,828 ","2,317 ",-,-,-,-,-,"1,303 ","1,173 ",-,-,-,"2,421 ","2,213 ","1,022 ","2,848 ","1,619 ","3,718 ","3,296 ","3,385 ","4,409 ","4,551 ","4,249 ","2,136 ",-
,,661120002,エスクレ坐剤「５００」　５００ｍｇ,個,1123700J2027,46.1 ,0,"57,208 ",-,"3,099 ","4,809 ","5,468 ","1,516 ","3,237 ","2,037 ","3,125 ","1,434 ","1,298 ","1,471 ",-,"1,513 ",-,-,-,-,-,-,-,-,-,"2,738 ","1,448 ","4,884 ","2,287 ","3,012 ","2,098 ","1,047 ","1,612 ","1,266 ",-,-,-,-,-,-,-,-,"1,697 ",-,-
,,661120009,ワコビタール坐剤５０　５０ｍｇ,個,1125700J4032,55.8 ,0,"36,839 ",-,"1,662 ","3,309 ","1,662 ",-,-,-,"1,449 ","2,566 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,301 ","2,531 ","1,775 ",-,"1,950 ",-,"1,112 ",-,"1,019 ",-,-,-,-,-,-,-,"1,310 ","1,139 ","1,679 ",-,-
,,661120001,エスクレ坐剤「２５０」　２５０ｍｇ,個,1123700J1020,35.7 ,0,"32,593 ","1,998 ","3,356 ","2,767 ",-,"2,040 ","1,283 ","1,606 ","1,049 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,422 ","2,139 ",-,"3,345 ",-,-,-,-,-,-,-,"2,330 ","1,070 ",-,-,-,-,-,-,-,-
,,661120006,ワコビタール坐剤１００　１００ｍｇ,個,1125700J5039,71.0 ,0,"31,832 ",-,"1,825 ",-,-,-,-,-,-,-,-,-,-,-,"1,224 ","1,677 ","1,576 ","1,560 ",-,-,-,-,-,-,"2,242 ",-,-,-,-,-,-,"1,247 ",-,-,-,"1,309 ","1,164 ",-,"1,080 ","1,994 ","1,514 ",-,-
,,620002623,エスクレ注腸用キット「５００」　５００ｍｇ,筒,1123700X1023,369.1 ,0,"27,985 ","1,074 ","2,079 ","2,267 ","3,614 ","2,236 ",-,"1,149 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,297 ","3,674 ","2,224 ","1,391 ","1,159 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661120008,ワコビタール坐剤３０　３０ｍｇ,個,1125700J3028,44.9 ,0,"27,396 ","2,507 ","1,409 ",-,-,"1,474 ",-,-,"3,386 ",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,932 ","1,934 ","2,444 ",-,-,"1,005 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661120007,ワコビタール坐剤１５　１５ｍｇ,個,1125700J1025,31.5 ,0,"7,092 ","1,193 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,597 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661120005,ルピアール坐剤５０　５０ｍｇ,個,1125700J4024,52.1 ,0,"6,641 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661120003,ルピアール坐剤１００　１００ｍｇ,個,1125700J5020,65.1 ,0,"4,524 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,661120004,ルピアール坐剤２５　２５ｍｇ,個,1125700J2021,38.0 ,0,"3,034 ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,620002621,アンヒバ坐剤小児用１００ｍｇ,個,1141700J2130,19.3 ,0,"8,230,069 ","4,229,087 ","58,703 ","3,627 ",-,-,-,-,-,-,-,-,-,-,-,-,"1,568 ","2,441 ","2,089 ","2,514 ",-,-,"3,829,295 ","50,299 ","1,851 ",-,-,-,-,-,-,-,-,-,-,-,"1,456 ","2,793 ","6,305 ","9,235 ","9,690 ","6,671 ","1,857 "
,,661140081,ボルタレンサポ５０ｍｇ,個,1147700J3084,48.8 ,0,"6,941,626 ",-,-,"1,304 ","10,114 ","19,611 ","39,250 ","69,843 ","117,464 ","174,408 ","237,000 ","253,924 ","275,915 ","286,291 ","358,224 ","363,347 ","369,929 ","315,260 ","177,175 ","48,252 ","5,678 ",-,-,-,"1,137 ","7,019 ","13,648 ","23,299 ","44,024 ","70,094 ","131,709 ","192,335 ","208,253 ","243,596 ","266,528 ","391,166 ","482,968 ","621,756 ","578,427 ","405,322 ","116,897 ","19,256 ","1,089 "
,,661140080,ボルタレンサポ２５ｍｇ,個,1147700J2061,42.3 ,0,"6,401,996 ",-,-,"3,279 ","4,252 ","5,032 ","7,832 ","12,615 ","18,798 ","26,839 ","38,195 ","44,406 ","60,236 ","80,915 ","119,959 ","159,510 ","220,389 ","268,336 ","226,525 ","98,774 ","16,804 ","1,610 ",-,-,"3,655 ","8,612 ","10,939 ","17,279 ","25,213 ","43,803 ","69,686 ","91,621 ","96,460 ","127,308 ","173,046 ","306,648 ","488,725 ","809,222 ","1,102,028 ","1,010,230 ","471,678 ","116,453 ","13,507 "
