区分,薬価基準収載医薬品コード,成分名,規格,品名,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,薬価,経過措置による使用期限,備考
内用薬,1121001X1018,ブロモバレリル尿素,１ｇ,局,,ブロモバレリル尿素,,,8.80,,H23.11.11一般名等
内用薬,1121001X1042,ブロモバレリル尿素,１ｇ,局,,ブロムワレリル尿素「三恵」,三恵薬品,,9.10,,
内用薬,1121001X1050,ブロモバレリル尿素,１ｇ,局,,「純生」ブロムワレリル尿素,純生薬品工業,,9.10,H24.3.31まで,
内用薬,1121001X1085,ブロモバレリル尿素,１ｇ,局,,ブロムワレリル尿素「メタル」,中北薬品,,9.60,,
内用薬,1121001X1107,ブロモバレリル尿素,１ｇ,局,,ブロムワレリル尿素「ホエイ」,マイラン製薬,,9.10,,
内用薬,1121001X1131,ブロモバレリル尿素,１ｇ,局,※,ブロムワレリル尿素（山善）,山善製薬,,9.60,,
内用薬,1121001X1166,ブロモバレリル尿素,１ｇ,局,,ブロムワレリル尿素〈ハチ〉,東洋製薬化成,,9.10,,
内用薬,1121001X1204,ブロモバレリル尿素,１ｇ,局,,ブロバリン原末,日本新薬,,10.00,,
内用薬,1121001X1212,ブロモバレリル尿素,１ｇ,局,,ブロモバレリル尿素「ヨシダ」,吉田製薬,,10.40,,
内用薬,1121001X1220,ブロモバレリル尿素,１ｇ,局,,ブロムワレリル尿素「ＪＧ」,日本ジェネリック,,10.00,,
内用薬,1121001X1239,ブロモバレリル尿素,１ｇ,局,,ブロモバレリル尿素原末「マルイシ」,丸石製薬,,9.10,,
内用薬,1123001X1012,抱水クロラール,１ｇ,局,,抱水クロラール,,,36.20,,
内用薬,1124001B1039,エスタゾラム,１％１ｇ,,,ユーロジン散１％,武田薬品工業,,64.40,,
内用薬,1124001F1022,エスタゾラム,１ｍｇ１錠,,,ユーロジン１ｍｇ錠,武田薬品工業,,11.00,,
内用薬,1124001F1030,エスタゾラム,１ｍｇ１錠,,,エスタゾラム錠１ｍｇ「アメル」,共和薬品工業,後発品,8.30,,
内用薬,1124001F2029,エスタゾラム,２ｍｇ１錠,,,ユーロジン２ｍｇ錠,武田薬品工業,,17.20,,
内用薬,1124001F2037,エスタゾラム,２ｍｇ１錠,,,エスタゾラム錠２ｍｇ「アメル」,共和薬品工業,後発品,13.70,,
