区分,薬価基準収載医薬品コード,成分名,規格,品名,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,薬価,経過措置による使用期限,備考
外用薬,1112700X1011,ハロタン,１ｍＬ,局,,ハロタン,,,54.10,,
外用薬,1114700X1016,麻酔用エーテル,１ｍＬ,局,,麻酔用エーテル,,,9.40,,
外用薬,1116700X1010,亜酸化窒素,１ｇ,局,,亜酸化窒素,,,4.10,,
外用薬,1116700X1045,亜酸化窒素,１ｇ,局,,マルワ亜酸化窒素,和歌山酸素,,4.50,,
外用薬,1116700X1053,亜酸化窒素,１ｇ,局,※,液化亜酸化窒素（日本エア・リキード）,日本エア・リキード,,4.50,,
外用薬,1116700X1061,亜酸化窒素,１ｇ,局,※,液化亜酸化窒素（日産）,日産化学工業,,4.50,,
外用薬,1116700X1088,亜酸化窒素,１ｇ,局,,小池笑気,小池メディカル,,4.50,,
外用薬,1116700X1100,亜酸化窒素,１ｇ,局,,笑気ガス〈ショウワ〉,昭和電工,,4.50,,
外用薬,1116700X1126,亜酸化窒素,１ｇ,局,,アネスタ,星医療酸器,,4.50,,
外用薬,1116700X1142,亜酸化窒素,１ｇ,局,,液化亜酸化窒素（エア・ウォーター）,エア・ウォーター,,4.50,,
外用薬,1116701X1023,亜酸化窒素・酸素,３０％１Ｌ,,,アネソキシン－３０,昭和電工,後発品,6.30,,
外用薬,1116701X1031,亜酸化窒素・酸素,３０％１Ｌ,,,アネックス－３０,和歌山酸素,後発品,6.30,,
外用薬,1116702X1028,亜酸化窒素・酸素,５０％１Ｌ,,,アネソキシン－５０,昭和電工,後発品,7.60,,
外用薬,1116702X1036,亜酸化窒素・酸素,５０％１Ｌ,,,アネックス－５０,和歌山酸素,後発品,7.60,,
外用薬,1119701G1025,イソフルラン,１ｍＬ,局,,フォーレン,アボットジャパン,,71.50,H22.6.30まで,
外用薬,1119701G1050,イソフルラン,１ｍＬ,局,,エスカイン,マイラン製薬,後発品,34.10,H22.6.30まで,
外用薬,1119701G1068,イソフルラン,１ｍＬ,局,,イソフルラン「ＡＷ」,エア・ウォーター,後発品,40.10,,
外用薬,1119701G1076,イソフルラン,１ｍＬ,局,,エスカイン吸入麻酔液,マイラン製薬,後発品,34.10,,
外用薬,1119701G1084,イソフルラン,１ｍＬ,局,,フォーレン吸入麻酔液,アボットジャパン,,71.50,,
外用薬,1119702G1020,セボフルラン,１ｍＬ,,,セボフレン,丸石製薬,,68.90,H22.6.30まで,
外用薬,1119702G1038,セボフルラン,１ｍＬ,,,セボネス,バクスター,後発品,53.20,,
外用薬,1119702G1054,セボフルラン,１ｍＬ,,,セボフルラン吸入麻酔液「マイラン」,マイラン製薬,後発品,53.20,,
外用薬,1119702G1062,セボフルラン,１ｍＬ,局,,セボフレン吸入麻酔液,丸石製薬,,68.90,,H23.4.1局方品
外用薬,1119703G1024,デスフルラン,１ｍＬ,,,スープレン吸入麻酔液,バクスター,,43.70,,H23.7.19収載
外用薬,1123700J1020,抱水クロラール,２５０ｍｇ１個,,,エスクレ坐剤「２５０」,久光製薬,,40.30,,
外用薬,1123700J2027,抱水クロラール,５００ｍｇ１個,,,エスクレ坐剤「５００」,久光製薬,,51.90,,
外用薬,1123700X1023,抱水クロラール,５００ｍｇ１筒,,,エスクレ注腸用キット「５００」,久光製薬,,176.10,,
外用薬,1124700J1028,ブロマゼパム,３ｍｇ１個,,,セニラン坐剤３,サンド,,113.30,H22.6.30まで,
外用薬,1124700J1036,ブロマゼパム,３ｍｇ１個,,,セニラン坐剤３ｍｇ,サンド,,113.30,,
外用薬,1124701J1022,ジアゼパム,４ｍｇ１個,,,ダイアップ坐剤４,和光堂,,63.10,,
外用薬,1124701J2029,ジアゼパム,６ｍｇ１個,,,ダイアップ坐剤６,和光堂,,72.20,,
外用薬,1124701J3025,ジアゼパム,１０ｍｇ１個,,,ダイアップ坐剤１０,和光堂,,84.90,,
外用薬,1125700J1025,フェノバルビタールナトリウム,１５ｍｇ１個,,,ワコビタール坐剤１５,和光堂,,34.80,,
外用薬,1125700J2021,フェノバルビタールナトリウム,２５ｍｇ１個,,,ルピアール坐剤２５,久光製薬,,40.50,,
外用薬,1125700J3028,フェノバルビタールナトリウム,３０ｍｇ１個,,,ワコビタール坐剤３０,和光堂,,48.50,,
外用薬,1125700J4024,フェノバルビタールナトリウム,５０ｍｇ１個,,,ルピアール坐剤５０,久光製薬,,56.50,,
外用薬,1125700J4032,フェノバルビタールナトリウム,５０ｍｇ１個,,,ワコビタール坐剤５０,和光堂,,59.30,,
外用薬,1125700J5020,フェノバルビタールナトリウム,１００ｍｇ１個,,,ルピアール坐剤１００,久光製薬,,71.60,,
外用薬,1125700J5039,フェノバルビタールナトリウム,１００ｍｇ１個,,,ワコビタール坐剤１００,和光堂,,73.90,,
外用薬,1141700J1029,アセトアミノフェン,５０ｍｇ１個,,,アルピニー坐剤５０,久光製薬,,19.50,,
外用薬,1141700J1045,アセトアミノフェン,５０ｍｇ１個,,,アンヒバ坐剤小児用５０ｍｇ,アボットジャパン,,19.50,,
外用薬,1141700J1053,アセトアミノフェン,５０ｍｇ１個,,,アセトアミノフェン坐剤小児用５０ｍｇ「ＴＹＫ」,大正薬品工業,後発品,19.30,,
外用薬,1141700J1061,アセトアミノフェン,５０ｍｇ１個,,,アニルーメ坐剤小児用５０ｍｇ,長生堂製薬,後発品,19.30,H24.3.31まで,
外用薬,1141700J1070,アセトアミノフェン,５０ｍｇ１個,,,アフロギス坐剤５０,日新製薬（山形）,後発品,19.30,,
外用薬,1141700J1088,アセトアミノフェン,５０ｍｇ１個,,,カロナール坐剤小児用５０,昭和薬品化工,,19.50,,
外用薬,1141700J1096,アセトアミノフェン,５０ｍｇ１個,,,アセトアミノフェン坐剤小児用５０ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H23.6.24収載
外用薬,1141700J1100,アセトアミノフェン,５０ｍｇ１個,,,パラセタ坐剤小児用５０,シオエ製薬,後発品,17.50,,H23.11.28収載
外用薬,1141700J2050,アセトアミノフェン,１００ｍｇ１個,,,カロナール坐剤１００,昭和薬品化工,,20.10,,
外用薬,1141700J2076,アセトアミノフェン,１００ｍｇ１個,,,アフロギス坐剤１００,日新製薬（山形）,後発品,19.30,,
外用薬,1141700J2084,アセトアミノフェン,１００ｍｇ１個,,,パラセタ坐剤１００,シオエ製薬,後発品,19.30,,
外用薬,1141700J2092,アセトアミノフェン,１００ｍｇ１個,,,アルピニー坐剤１００,久光製薬,,20.10,,
外用薬,1141700J2122,アセトアミノフェン,１００ｍｇ１個,,,アテネメン坐剤１００ｍｇ,鶴原製薬,後発品,19.30,H24.3.31まで,
外用薬,1141700J2130,アセトアミノフェン,１００ｍｇ１個,,,アンヒバ坐剤小児用１００ｍｇ,アボットジャパン,,20.10,,
外用薬,1141700J2149,アセトアミノフェン,１００ｍｇ１個,,,アセトアミノフェン坐剤１００（ＴＹＫ）,大正薬品工業,後発品,19.30,H22.6.30まで,
外用薬,1141700J2157,アセトアミノフェン,１００ｍｇ１個,,,アニルーメ坐剤小児用１００ｍｇ,長生堂製薬,後発品,19.30,H24.3.31まで,
外用薬,1141700J2165,アセトアミノフェン,１００ｍｇ１個,,,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,大正薬品工業,後発品,19.30,,
外用薬,1141700J2173,アセトアミノフェン,１００ｍｇ１個,,,アセトアミノフェン坐剤小児用１００ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H23.6.24収載
外用薬,1141700J3021,アセトアミノフェン,２００ｍｇ１個,,,アルピニー坐剤２００,久光製薬,,32.30,,
外用薬,1141700J3048,アセトアミノフェン,２００ｍｇ１個,,,カロナール坐剤２００,昭和薬品化工,,32.30,,
外用薬,1141700J3056,アセトアミノフェン,２００ｍｇ１個,,,アニルーメＳ坐剤２００,長生堂製薬,後発品,19.30,H24.3.31まで,
外用薬,1141700J3064,アセトアミノフェン,２００ｍｇ１個,,,アフロギス坐剤２００,日新製薬（山形）,後発品,19.30,,
外用薬,1141700J3072,アセトアミノフェン,２００ｍｇ１個,,,パラセタ坐剤２００,シオエ製薬,後発品,21.30,,
外用薬,1141700J3102,アセトアミノフェン,２００ｍｇ１個,,,アテネメン坐剤２００ｍｇ,鶴原製薬,後発品,19.30,H24.3.31まで,
外用薬,1141700J3110,アセトアミノフェン,２００ｍｇ１個,,,アンヒバ坐剤小児用２００ｍｇ,アボットジャパン,,32.30,,
外用薬,1141700J3129,アセトアミノフェン,２００ｍｇ１個,,,アセトアミノフェン坐剤２００（ＴＹＫ）,大正薬品工業,後発品,19.30,H22.6.30まで,
外用薬,1141700J3137,アセトアミノフェン,２００ｍｇ１個,,,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,大正薬品工業,後発品,19.30,,
外用薬,1141700J3145,アセトアミノフェン,２００ｍｇ１個,,,アセトアミノフェン坐剤小児用２００ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H23.6.24収載
外用薬,1143700J5029,アスピリン,７５０ｍｇ１個,,,サリチゾン坐薬７５０,昭和薬品化工,後発品,21.30,,
外用薬,1145700J1010,インドメタシン,１２．５ｍｇ１個,局,,インドメタシン坐剤,,,19.30,,
外用薬,1145700J2016,インドメタシン,２５ｍｇ１個,局,,インドメタシン坐剤,,,19.30,,
外用薬,1145700J2075,インドメタシン,２５ｍｇ１個,局,,インテバン坐剤２５,大日本住友製薬,,19.90,,
外用薬,1145700J3012,インドメタシン,５０ｍｇ１個,局,,インドメタシン坐剤,,,19.30,,
外用薬,1145700J3101,インドメタシン,５０ｍｇ１個,局,,インテバン坐剤５０,大日本住友製薬,,20.10,,
外用薬,1145700J3144,インドメタシン,５０ｍｇ１個,局,,インドメタシン坐剤シオエ５０,シオエ製薬,,19.60,,
外用薬,1147700J1022,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,アデフロニックズポ１２．５,大洋薬品工業,後発品,19.30,,
外用薬,1147700J1030,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,アナバン坐剤１２．５,富士化学工業,後発品,31.90,,
外用薬,1147700J1057,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ボルタレンサポ１２．５ｍｇ,ノバルティス　ファーマ,,49.30,,
外用薬,1147700J1073,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,フェニタレン坐剤１２．５,長生堂製薬,後発品,19.30,H23.3.31まで,
外用薬,1147700J1081,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ボラボミン坐剤１２．５ｍｇ,鶴原製薬,後発品,19.30,,
外用薬,1147700J1090,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ボンフェナック坐剤１２．５,京都薬品工業,後発品,19.80,,
外用薬,1147700J1111,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ベギータ坐剤１２．５,シオノケミカル,後発品,19.30,,
外用薬,1147700J1120,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ボナフェック坐剤１２．５,日新製薬（山形）,後発品,19.30,,
外用薬,1147700J1138,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,メリカット坐剤１２．５,日医工ファーマ,後発品,19.80,,
外用薬,1147700J1146,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,日本ジェネリック,後発品,19.30,,
外用薬,1147700J1154,ジクロフェナクナトリウム,１２．５ｍｇ１個,,,ジクロフェナクナトリウム坐剤１２．５ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H22.5.28収載
外用薬,1147700J2029,ジクロフェナクナトリウム,２５ｍｇ１個,,,アデフロニックズポ２５,大洋薬品工業,後発品,19.30,,
外用薬,1147700J2037,ジクロフェナクナトリウム,２５ｍｇ１個,,,アナバン坐剤２５,富士化学工業,後発品,36.00,,
外用薬,1147700J2045,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボナフェック坐剤２５,日新製薬（山形）,後発品,19.30,,
外用薬,1147700J2053,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボラボミン坐剤２５ｍｇ,鶴原製薬,後発品,19.30,,
外用薬,1147700J2061,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボルタレンサポ２５ｍｇ,ノバルティス　ファーマ,,57.90,,
外用薬,1147700J2070,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボルマゲン坐剤２５,大正薬品工業,後発品,19.60,H22.6.30まで,
外用薬,1147700J2088,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボンフェナック坐剤２５,京都薬品工業,後発品,27.90,,
外用薬,1147700J2096,ジクロフェナクナトリウム,２５ｍｇ１個,,,メクロフェン坐剤２５,日医工,後発品,21.30,H23.3.31まで,
外用薬,1147700J2126,ジクロフェナクナトリウム,２５ｍｇ１個,,,フェニタレン坐剤２５,長生堂製薬,後発品,19.30,H23.3.31まで,
外用薬,1147700J2169,ジクロフェナクナトリウム,２５ｍｇ１個,,,ベギータ坐剤２５,シオノケミカル,後発品,19.30,,
外用薬,1147700J2177,ジクロフェナクナトリウム,２５ｍｇ１個,,,メリカット坐剤２５,日医工ファーマ,後発品,20.10,,
外用薬,1147700J2193,ジクロフェナクナトリウム,２５ｍｇ１個,,,ボルマゲン坐剤２５ｍｇ,大正薬品工業,後発品,19.60,,
外用薬,1147700J2207,ジクロフェナクナトリウム,２５ｍｇ１個,,,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,日本ジェネリック,後発品,19.30,,
外用薬,1147700J2215,ジクロフェナクナトリウム,２５ｍｇ１個,,,ジクロフェナクナトリウム坐剤２５ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H22.5.28収載
外用薬,1147700J3033,ジクロフェナクナトリウム,５０ｍｇ１個,,,アデフロニックズポ５０,大洋薬品工業,後発品,19.30,,
外用薬,1147700J3041,ジクロフェナクナトリウム,５０ｍｇ１個,,,アナバン坐剤５０,富士化学工業,後発品,49.90,,
外用薬,1147700J3076,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボナフェック坐剤５０,日新製薬（山形）,後発品,20.10,,
外用薬,1147700J3084,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボルタレンサポ５０ｍｇ,ノバルティス　ファーマ,,71.00,,
外用薬,1147700J3092,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボルマゲン坐剤５０,大正薬品工業,後発品,21.70,H22.6.30まで,
外用薬,1147700J3106,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボンフェナック坐剤５０,京都薬品工業,後発品,32.60,,
外用薬,1147700J3114,ジクロフェナクナトリウム,５０ｍｇ１個,,,メクロフェン坐剤５０,日医工,後発品,22.70,H23.3.31まで,
外用薬,1147700J3149,ジクロフェナクナトリウム,５０ｍｇ１個,,,フェニタレン坐剤５０,長生堂製薬,後発品,19.30,H23.3.31まで,
外用薬,1147700J3181,ジクロフェナクナトリウム,５０ｍｇ１個,,,ベギータ坐剤５０,シオノケミカル,後発品,19.30,,
外用薬,1147700J3190,ジクロフェナクナトリウム,５０ｍｇ１個,,,メリカット坐剤５０,日医工ファーマ,後発品,24.50,,
外用薬,1147700J3211,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボラボミン坐剤５０ｍｇ,鶴原製薬,後発品,21.70,,
外用薬,1147700J3220,ジクロフェナクナトリウム,５０ｍｇ１個,,,ボルマゲン坐剤５０ｍｇ,大正薬品工業,後発品,21.70,,
外用薬,1147700J3238,ジクロフェナクナトリウム,５０ｍｇ１個,,,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,日本ジェネリック,後発品,19.30,,
外用薬,1147700J3246,ジクロフェナクナトリウム,５０ｍｇ１個,,,ジクロフェナクナトリウム坐剤５０ｍｇ「タナベ」,長生堂製薬,後発品,19.30,,H22.5.28収載
外用薬,1147700J4021,ジクロフェナクナトリウム,２５ｍｇ１筒,,,レクトス２５,日医工ファーマ,後発品,108.40,H22.6.30まで,
外用薬,1147700J4030,ジクロフェナクナトリウム,２５ｍｇ１筒,,,レクトス注腸軟膏２５ｍｇ,日医工ファーマ,後発品,108.40,,
外用薬,1147700J5028,ジクロフェナクナトリウム,５０ｍｇ１筒,,,レクトス５０,日医工ファーマ,後発品,114.00,H22.6.30まで,
外用薬,1147700J5036,ジクロフェナクナトリウム,５０ｍｇ１筒,,,レクトス注腸軟膏５０ｍｇ,日医工ファーマ,後発品,114.00,,
外用薬,1149700J1027,ケトプロフェン,５０ｍｇ１個,,,アネオール坐剤５０,岩城製薬,,41.80,,
外用薬,1149700J1035,ケトプロフェン,５０ｍｇ１個,,,エパテック坐剤５０,ビオメディクス,,41.80,,
外用薬,1149700J1060,ケトプロフェン,５０ｍｇ１個,,,メジェイド坐剤５０,日新製薬（山形）,後発品,27.80,,
外用薬,1149700J1078,ケトプロフェン,５０ｍｇ１個,,,オルサポス坐剤５０,長生堂製薬,後発品,19.40,H22.6.30まで,
外用薬,1149700J1086,ケトプロフェン,５０ｍｇ１個,,,ケトプロフェン坐剤５０ｍｇ「タナベ」,長生堂製薬,後発品,19.40,,
外用薬,1149700J1094,ケトプロフェン,５０ｍｇ１個,,,レイナノン坐剤５０,シオノケミカル,後発品,27.80,,H23.11.28収載
外用薬,1149700J2023,ケトプロフェン,７５ｍｇ１個,,,アネオール坐剤７５,岩城製薬,,41.90,,
外用薬,1149700J2031,ケトプロフェン,７５ｍｇ１個,,,エパテック坐剤７５,ビオメディクス,,48.70,,
外用薬,1149700J2066,ケトプロフェン,７５ｍｇ１個,,,メジェイド坐剤７５,日新製薬（山形）,後発品,29.00,,
