区分,薬価基準収載医薬品コード,成分名,規格,品名,,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,,,,,
外用薬,1112700X1011,ハロタン,１ｍＬ,局,,,ハロタン,,,,,54.40,,,,,,,
外用薬,1114700X1016,麻酔用エーテル,１ｍＬ,局,,,麻酔用エーテル,,,,,9.40,,,,,,,
外用薬,1116700X1010,亜酸化窒素,１ｇ,局,,,亜酸化窒素,,,,,3.90,,,,,,,
外用薬,1116700X1045,亜酸化窒素,１ｇ,局,,,マルワ亜酸化窒素,和歌山酸素,,,,4.30,,,,,,,
外用薬,1116700X1053,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日本エア・リキード）,日本エア・リキード,,,,4.30,,,,,,,
外用薬,1116700X1061,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日産）,日産化学工業,,,,4.30,,,,,,,
外用薬,1116700X1088,亜酸化窒素,１ｇ,局,,,小池笑気,小池メディカル,,,,4.30,,,,,,,
外用薬,1116700X1100,亜酸化窒素,１ｇ,局,,,笑気ガス〈ショウワ〉,昭和電工,,,,4.30,,,,,,,
外用薬,1116700X1126,亜酸化窒素,１ｇ,局,,,アネスタ,星医療酸器,,,,4.30,,,,,,,
外用薬,1119701G1076,イソフルラン,１ｍＬ,局,,,エスカイン吸入麻酔液,マイラン製薬,後発品,,,27.00,H28.3.31まで,,,,,,
外用薬,1119701G1084,イソフルラン,１ｍＬ,局,,,フォーレン吸入麻酔液,アッヴィ,,先発品,○,68.90,,,,,,,
外用薬,1119701G1092,イソフルラン,１ｍＬ,局,,,イソフルラン吸入麻酔液「ファイザー」,マイラン製薬,後発品,,,27.00,,H27.6.19収載,,,,,
外用薬,1119702G1038,セボフルラン,１ｍＬ,,,,セボネス,バクスター,後発品,,,46.80,H27.3.31まで,,,,,,
外用薬,1119702G1054,セボフルラン,１ｍＬ,局,,,セボフルラン吸入麻酔液「マイラン」,マイラン製薬,後発品,,,46.80,,,,,,,
外用薬,1119702G1062,セボフルラン,１ｍＬ,局,,,セボフレン吸入麻酔液,丸石製薬,,先発品,○,58.30,,,,,,,
外用薬,1119703G1024,デスフルラン,１ｍＬ,,,,スープレン吸入麻酔液,バクスター,,先発品,,44.90,,,,,,,
外用薬,1123700J1020,抱水クロラール,２５０ｍｇ１個,,,,エスクレ坐剤「２５０」,久光製薬,,先発品,,38.60,,,,,,,
外用薬,1123700J2027,抱水クロラール,５００ｍｇ１個,,,,エスクレ坐剤「５００」,久光製薬,,先発品,,49.50,,,,,,,
外用薬,1123700X1023,抱水クロラール,５００ｍｇ１筒,,,,エスクレ注腸用キット「５００」,久光製薬,,先発品,,259.80,,,,,,,
外用薬,1124700J1036,ブロマゼパム,３ｍｇ１個,,,,セニラン坐剤３ｍｇ,サンド,,先発品,,104.00,,,,,,,
