区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1115400X1019,チオペンタールナトリウム,３００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,872,,
注射薬,1115400X2015,チオペンタールナトリウム,５００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,"1,071",,
注射薬,1115403D3019,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,476,,
注射薬,1115403D4015,チアミラールナトリウム,３００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,460,,
注射薬,1119400A1031,ケタミン塩酸塩,２００ｍｇ２０ｍＬ１瓶,,麻,,ケタラール静注用２００ｍｇ,第一三共プロファーマ,,先発品,,705,,
注射薬,1119400A2038,ケタミン塩酸塩,５００ｍｇ１０ｍＬ１瓶,,麻,,ケタラール筋注用５００ｍｇ,第一三共プロファーマ,,先発品,,"1,501",,
注射薬,1119400A3026,ケタミン塩酸塩,５０ｍｇ５ｍＬ１管,,麻,,ケタラール静注用５０ｍｇ,第一三共プロファーマ,,先発品,,287,,
注射薬,1119401A1036,ドロペリドール,２．５ｍｇ１ｍＬバイアル,,,,ドロレプタン注射液２５ｍｇ,第一三共,,先発品,,117,,
注射薬,1119402A1022,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,171",,
注射薬,1119402A1030,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,734,,
注射薬,1119402A1073,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「日医工」,日医工,後発品,,,734,,
注射薬,1119402A1103,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール静注１％２０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,734,,
注射薬,1119402A1111,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「ファイザー」,マイラン製薬,後発品,,,734,,
注射薬,1119402A2029,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,712",,
注射薬,1119402A2037,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,016",,
注射薬,1119402A2053,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール注１％「Ｆ」,富士製薬工業,後発品,,,"1,016",H29.3.31まで,
注射薬,1119402A2100,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「日医工」,日医工,後発品,,,"1,016",,
注射薬,1119402A2134,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール静注１％５０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,772,,
