区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,
注射薬,1115400X1019,チオペンタールナトリウム,３００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,848,,,
注射薬,1115400X2015,チオペンタールナトリウム,５００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,"1,021",,,
注射薬,1115403D3019,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,465,,,
注射薬,1115403D3051,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,局,,,チトゾール注用０．５ｇ,杏林製薬,,,,479,,,
注射薬,1115403D4015,チアミラールナトリウム,３００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,469,,,
注射薬,1119400A1031,ケタミン塩酸塩,２００ｍｇ２０ｍＬ１瓶,,麻,,ケタラール静注用２００ｍｇ,第一三共プロファーマ,,先発品,,718,,,
注射薬,1119400A2038,ケタミン塩酸塩,５００ｍｇ１０ｍＬ１瓶,,麻,,ケタラール筋注用５００ｍｇ,第一三共プロファーマ,,先発品,,"1,529",,,
注射薬,1119400A3026,ケタミン塩酸塩,５０ｍｇ５ｍＬ１管,,麻,,ケタラール静注用５０ｍｇ,第一三共プロファーマ,,先発品,,292,,,
注射薬,1119401A1036,ドロペリドール,２．５ｍｇ１ｍＬバイアル,,,,ドロレプタン注射液２５ｍｇ,アルフレッサファーマ,,先発品,,110,,,
注射薬,1119402A1022,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,099",,,
注射薬,1119402A1030,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,594,R2.3.31まで,,
注射薬,1119402A1073,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「日医工」,日医工,後発品,,,594,,,
注射薬,1119402A1103,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール静注１％２０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,492,,,
注射薬,1119402A1111,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「ファイザー」,マイラン製薬,後発品,,,594,,,
注射薬,1119402A1120,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール静注１％２０ｍＬ「マルイシ」,丸石製薬,後発品,,,594,,R1.12.13収載,
注射薬,1119402A2029,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,569",,,
注射薬,1119402A2037,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,770,R2.3.31まで,,
注射薬,1119402A2100,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「日医工」,日医工,後発品,,,862,,,
注射薬,1119402A2134,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール静注１％５０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,770,,,
注射薬,1119402A2142,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「ファイザー」,マイラン製薬,後発品,,,862,,,
注射薬,1119402A2150,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール静注１％５０ｍＬ「マルイシ」,丸石製薬,後発品,,,770,,R1.12.13収載,
注射薬,1119402A3025,プロポフォール,１ｇ１００ｍＬ１瓶,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,215",R2.3.31まで,,
注射薬,1119402A3033,プロポフォール,１ｇ１００ｍＬ１瓶,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,502",,,
注射薬,1119402A3050,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「日医工」,日医工,後発品,,,"1,215",,,
注射薬,1119402A3084,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール静注１％１００ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,"1,215",,,
注射薬,1119402A3092,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「ファイザー」,マイラン製薬,後発品,,,"1,215",,,
注射薬,1119402A3106,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール静注１％１００ｍＬ「マルイシ」,丸石製薬,後発品,,,"1,215",,R1.12.13収載,
注射薬,1119402A5028,プロポフォール,１ｇ５０ｍＬ１瓶,,,,２％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,215",R2.3.31まで,,
注射薬,1119402A5036,プロポフォール,１ｇ５０ｍＬ１瓶,,,,プロポフォール静注２％５０ｍＬ「マルイシ」,丸石製薬,後発品,,,"1,215",,R1.12.13収載,
注射薬,1119402G1025,プロポフォール,２００ｍｇ２０ｍＬ１筒,,,,１％ディプリバン注－キット,アスペンジャパン,,先発品,,"1,205",,,
注射薬,1119402G2021,プロポフォール,５００ｍｇ５０ｍＬ１筒,,,,１％ディプリバン注－キット,アスペンジャパン,,先発品,,"1,668",,,
注射薬,1124400A1058,フルニトラゼパム,２ｍｇ１管,,,,サイレース静注２ｍｇ,エーザイ,,先発品,,141,,,
注射薬,1124401A1052,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ドルミカム注射液１０ｍｇ,丸石製薬,,先発品,○,114,,,
注射薬,1124401A1060,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注１０ｍｇ「サンド」,サンド,後発品,,,64,,,
注射薬,1124401A1087,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注射液１０ｍｇ「テバ」,武田テバファーマ,後発品,,,64,,,
注射薬,1124402A1030,ジアゼパム,５ｍｇ１管,,,,セルシン注射液５ｍｇ,武田テバ薬品,,先発品,○,62,,,
注射薬,1124402A1049,ジアゼパム,５ｍｇ１管,,,,ジアゼパム注射液５ｍｇ「タイヨー」,武田テバファーマ,後発品,,,57,,,
注射薬,1124402A2045,ジアゼパム,１０ｍｇ１管,,,,ホリゾン注射液１０ｍｇ,丸石製薬,,先発品,○,88,,,
注射薬,1124402A2053,ジアゼパム,１０ｍｇ１管,,,,セルシン注射液１０ｍｇ,武田テバ薬品,,先発品,○,88,,,
注射薬,1124402A2061,ジアゼパム,１０ｍｇ１管,,,,ジアゼパム注射液１０ｍｇ「タイヨー」,武田テバファーマ,後発品,,,59,,,
注射薬,1125401D2028,セコバルビタールナトリウム,２００ｍｇ１瓶,,,,注射用アイオナール・ナトリウム（０．２）,日医工,,,,230,,,
注射薬,1125402A1054,フェノバルビタール,１０％１ｍＬ１管,,,,フェノバール注射液１００ｍｇ,藤永製薬,,,,73,,,
注射薬,1129400A1038,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「マルイシ」,丸石製薬,,先発品,○,"4,890",,,
注射薬,1129400A1054,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「ファイザー」,ファイザー,,先発品,○,"4,649",,,
注射薬,1129400A1062,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,デクスメデトミジン静注液２００μｇ「サンド」,サンド,後発品,,,"1,821",,,
注射薬,1129400A1070,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,デクスメデトミジン静注液２００μｇ「ニプロ」,ニプロ,後発品,,,"1,821",,,
注射薬,1129400G1022,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,,,,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,ファイザー,,先発品,○,"4,886",,,
注射薬,1129400G1030,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,,,,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「マルイシ」,丸石製薬,,先発品,○,"4,812",,,
注射薬,1129400G1049,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,,,,デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,ニプロ,後発品,,,"2,030",,,
注射薬,1132400A1033,フェニトインナトリウム,５％５ｍＬ１管,,,,アレビアチン注２５０ｍｇ,大日本住友製薬,,先発品,,126,,,
注射薬,1132401A1020,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,,,,ホストイン静注７５０ｍｇ,ノーベルファーマ,,先発品,,"6,479",,,
注射薬,1139400F1023,フェノバルビタールナトリウム,２５０ｍｇ１瓶,,,,ノーベルバール静注用２５０ｍｇ,ノーベルファーマ,,先発品,,"2,158",,,
注射薬,1139401A1020,ミダゾラム,１０ｍｇ１０ｍＬ１瓶,,,,ミダフレッサ静注０．１％,アルフレッサファーマ,,先発品,,"3,396",,,
注射薬,1139402A1025,レベチラセタム,５００ｍｇ５ｍＬ１瓶,,,,イーケプラ点滴静注５００ｍｇ,ユーシービージャパン,,先発品,,"2,004",,,
注射薬,1139403A1020,ロラゼパム,２ｍｇ１ｍＬ１瓶,,,,ロラピタ静注２ｍｇ,ファイザー,,先発品,,"2,266",,,
注射薬,1139404A1024,ラコサミド,２００ｍｇ２０ｍＬ１瓶,,,,ビムパット点滴静注２００ｍｇ,ユーシービージャパン,,先発品,,"4,330",,,
注射薬,1141400A2020,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１袋,,,,アセリオ静注液１０００ｍｇバッグ,テルモ,,先発品,,323,,,
注射薬,1143400A1045,サリチル酸ナトリウム,５％５ｍＬ１管,,,,サリチル酸Ｎａ静注０．２５ｇ「フソー」,扶桑薬品工業,後発品,,,57,,,
注射薬,1143400A2092,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,ハフトロン静注０．５ｇ,東和薬品,後発品,,,59,,,
注射薬,1143400A2114,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,ザルソロン静注５００ｍｇ,共和薬品工業,後発品,,,59,R2.3.31まで,,
注射薬,1143400A2149,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サリチル酸ナトリウム静注０．５ｇ「日新」,日新製薬（山形）,後発品,,,59,,,
注射薬,1143400A2157,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サリチル酸Ｎａ静注０．５ｇ「イセイ」,コーアイセイ,後発品,,,59,,,
注射薬,1143400A2165,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サリチル酸Ｎａ静注０．５ｇ「フソー」,扶桑薬品工業,後発品,,,59,,,
注射薬,1144400A1018,スルピリン水和物,１０％２ｍＬ１管,局,,,スルピリン注射液,,,,,94,,,
注射薬,1144400A2014,スルピリン水和物,２５％１ｍＬ１管,局,,,スルピリン注射液,,,,,94,,,
注射薬,1144400A3010,スルピリン水和物,２５％２ｍＬ１管,局,,,スルピリン注射液,,,,,94,,,
