区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,
外用薬,1112700X1011,ハロタン,１ｍＬ,局,,,ハロタン,,,,,53.80,,,
外用薬,1114700X1016,麻酔用エーテル,１ｍＬ,局,,,麻酔用エーテル,,,,,9.60,,,
外用薬,1116700X1010,亜酸化窒素,１ｇ,局,,,亜酸化窒素,,,,,2.90,,,
外用薬,1116700X1045,亜酸化窒素,１ｇ,局,,,マルワ亜酸化窒素,和歌山酸素,,,,3.70,,,
外用薬,1116700X1053,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日本エア・リキード）,日本エア・リキード,,,,3.70,,,
外用薬,1116700X1061,亜酸化窒素,１ｇ,局,,※,液化亜酸化窒素（日産）,日産化学,,,,3.70,,,
外用薬,1116700X1088,亜酸化窒素,１ｇ,局,,,小池笑気,小池メディカル,,,,3.70,,,
外用薬,1119701G1084,イソフルラン,１ｍＬ,局,,,フォーレン吸入麻酔液,アッヴィ,,先発品,○,64.10,R2.3.31まで,,
外用薬,1119701G1092,イソフルラン,１ｍＬ,局,,,イソフルラン吸入麻酔液「ファイザー」,マイラン製薬,後発品,,,25.60,,,
外用薬,1119702G1054,セボフルラン,１ｍＬ,局,,,セボフルラン吸入麻酔液「マイラン」,マイラン製薬,後発品,,,37.90,,,
外用薬,1119702G1062,セボフルラン,１ｍＬ,局,,,セボフレン吸入麻酔液,丸石製薬,,先発品,○,47.80,,,
外用薬,1119702G1070,セボフルラン,１ｍＬ,局,,,セボフルラン吸入麻酔液「ニッコー」,日興製薬,後発品,,,37.90,,,
外用薬,1119703G1024,デスフルラン,１ｍＬ,,,,スープレン吸入麻酔液,バクスター,,先発品,,42.90,,,
外用薬,1123700J1020,抱水クロラール,２５０ｍｇ１個,,,,エスクレ坐剤「２５０」,久光製薬,,先発品,,35.60,,,
外用薬,1123700J2027,抱水クロラール,５００ｍｇ１個,,,,エスクレ坐剤「５００」,久光製薬,,先発品,,45.90,,,
外用薬,1123700X1023,抱水クロラール,５００ｍｇ１筒,,,,エスクレ注腸用キット「５００」,久光製薬,,先発品,,362.90,,,
外用薬,1124700J1036,ブロマゼパム,３ｍｇ１個,,,,セニラン坐剤３ｍｇ,サンド,,先発品,,91.60,R2.3.31まで,,
外用薬,1124700J1044,ブロマゼパム,３ｍｇ１個,,,,ブロマゼパム坐剤３ｍｇ「サンド」,サンド,,先発品,,91.60,,R1.12.13収載,
外用薬,1124701J1022,ジアゼパム,４ｍｇ１個,,,,ダイアップ坐剤４,高田製薬,,先発品,,58.00,,,
外用薬,1124701J2029,ジアゼパム,６ｍｇ１個,,,,ダイアップ坐剤６,高田製薬,,先発品,,65.60,,,
外用薬,1124701J3025,ジアゼパム,１０ｍｇ１個,,,,ダイアップ坐剤１０,高田製薬,,先発品,,76.40,,,
外用薬,1125700J1025,フェノバルビタールナトリウム,１５ｍｇ１個,,,,ワコビタール坐剤１５,高田製薬,,先発品,,31.90,,,
外用薬,1125700J2021,フェノバルビタールナトリウム,２５ｍｇ１個,,,,ルピアール坐剤２５,久光製薬,,先発品,,37.90,,,
外用薬,1125700J3028,フェノバルビタールナトリウム,３０ｍｇ１個,,,,ワコビタール坐剤３０,高田製薬,,先発品,,44.70,,,
外用薬,1125700J4024,フェノバルビタールナトリウム,５０ｍｇ１個,,,,ルピアール坐剤５０,久光製薬,,先発品,,51.70,,,
外用薬,1125700J4032,フェノバルビタールナトリウム,５０ｍｇ１個,,,,ワコビタール坐剤５０,高田製薬,,先発品,,56.20,,,
外用薬,1125700J5020,フェノバルビタールナトリウム,１００ｍｇ１個,,,,ルピアール坐剤１００,久光製薬,,先発品,,65.20,,,
外用薬,1125700J5039,フェノバルビタールナトリウム,１００ｍｇ１個,,,,ワコビタール坐剤１００,高田製薬,,先発品,,71.20,,,
外用薬,1141700J1029,アセトアミノフェン,５０ｍｇ１個,,,,アルピニー坐剤５０,久光製薬,,先発品,,19.70,,,
外用薬,1141700J1045,アセトアミノフェン,５０ｍｇ１個,,,,アンヒバ坐剤小児用５０ｍｇ,マイランＥＰＤ,,先発品,,19.70,,,
外用薬,1141700J1053,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「ＴＹＫ」,武田テバ薬品,★,,,19.70,,,
外用薬,1141700J1088,アセトアミノフェン,５０ｍｇ１個,,,,カロナール坐剤小児用５０,あゆみ製薬,,先発品,,19.70,,,
外用薬,1141700J1100,アセトアミノフェン,５０ｍｇ１個,,,,パラセタ坐剤小児用５０,シオエ製薬,★,,,19.70,,,
外用薬,1141700J1118,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,長生堂製薬,★,,,19.70,,,
外用薬,1141700J1126,アセトアミノフェン,５０ｍｇ１個,,,,アセトアミノフェン坐剤小児用５０ｍｇ「日新」,日新製薬（山形）,★,,,19.70,,,
外用薬,1141700J2050,アセトアミノフェン,１００ｍｇ１個,,,,カロナール坐剤１００,あゆみ製薬,,先発品,,19.70,,,
外用薬,1141700J2084,アセトアミノフェン,１００ｍｇ１個,,,,パラセタ坐剤１００,シオエ製薬,★,,,19.70,,,
外用薬,1141700J2092,アセトアミノフェン,１００ｍｇ１個,,,,アルピニー坐剤１００,久光製薬,,先発品,,19.70,,,
外用薬,1141700J2130,アセトアミノフェン,１００ｍｇ１個,,,,アンヒバ坐剤小児用１００ｍｇ,マイランＥＰＤ,,先発品,,19.70,,,
外用薬,1141700J2165,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,武田テバ薬品,★,,,19.70,,,
外用薬,1141700J2181,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,長生堂製薬,★,,,19.70,,,
外用薬,1141700J2190,アセトアミノフェン,１００ｍｇ１個,,,,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,日新製薬（山形）,★,,,19.70,,,
外用薬,1141700J3021,アセトアミノフェン,２００ｍｇ１個,,,,アルピニー坐剤２００,久光製薬,,先発品,○,25.20,,,
